Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2021-06-23,08:28:49,0.0,24.71,14866988.62,2.9686522880795892e-05
2021-06-23,08:28:50,0.61,24.71,14866988.6,2.9687022337311964e-05
2021-06-23,08:28:51,1.42,24.71,14866988.58,2.9687066251168446e-05
2021-06-23,08:28:51,2.03,24.71,14866988.56,2.96870267335643e-05
2021-06-23,08:28:52,2.64,24.71,14866988.55,2.9688076640178563e-05
2021-06-23,08:28:52,3.27,24.71,14866988.53,2.9689333769031537e-05
2021-06-23,08:28:53,4.06,24.71,14866988.48,2.96901616469299e-05
2021-06-23,08:28:54,4.67,24.71,14866988.47,2.9691173602264116e-05
2021-06-23,08:28:54,5.28,24.71,14866988.45,2.969224280477109e-05
2021-06-23,08:28:55,6.09,24.71,14866988.4,2.9693002118525907e-05
2021-06-23,08:28:56,6.7,24.71,14866988.38,2.969255102363446e-05
2021-06-23,08:28:57,7.31,24.71,14866988.36,2.969290033674901e-05
2021-06-23,08:28:57,7.92,24.71,14866988.35,2.969284916859057e-05
2021-06-23,08:28:58,8.73,24.71,14866988.33,2.9693423937565735e-05
2021-06-23,08:28:59,9.34,24.71,14866988.28,2.9694032674960018e-05
2021-06-23,08:28:59,9.95,24.71,14866988.26,2.9694585640309272e-05
2021-06-23,08:29:00,10.56,24.72,14866988.24,2.96952288148123e-05
2021-06-23,08:29:01,11.37,24.72,14866988.22,2.9695821908876044e-05
2021-06-23,08:29:01,11.98,24.72,14866988.2,2.9695887779102107e-05
2021-06-23,08:29:02,12.59,24.72,14866988.18,2.969641719946747e-05
2021-06-23,08:29:02,13.22,24.72,14866988.16,2.969637289924401e-05
2021-06-23,08:29:03,14.02,24.72,14866988.14,2.9697340187662467e-05
2021-06-23,08:29:04,14.62,24.72,14866988.12,2.9698172433322164e-05
2021-06-23,08:29:04,15.23,24.72,14866988.1,2.9699005339089056e-05
2021-06-23,08:29:05,16.05,24.72,14866988.08,2.96996492051112e-05
2021-06-23,08:29:06,16.66,24.72,14866988.07,2.969918541444505e-05
2021-06-23,08:29:06,17.27,24.72,14866988.01,2.969971738121174e-05
2021-06-23,08:29:07,17.87,24.72,14866988.02,2.9698896353174067e-05
2021-06-23,08:29:08,18.69,24.72,14866988.0,2.969906984241509e-05
2021-06-23,08:29:08,19.3,24.72,14866987.97,2.9700046224198128e-05
2021-06-23,08:29:09,19.91,24.73,14866987.96,2.970047823436624e-05
2021-06-23,08:29:10,20.51,24.72,14866987.96,2.9700881586279625e-05
2021-06-23,08:29:11,21.33,24.73,14866987.91,2.970183195296527e-05
2021-06-23,08:29:11,21.94,24.73,14866987.91,2.9701541268122817e-05
2021-06-23,08:29:12,22.55,24.73,14866987.92,2.9701223538163104e-05
2021-06-23,08:29:12,23.17,24.73,14866987.92,2.9700930085314745e-05
2021-06-23,08:29:13,23.97,24.73,14866987.92,2.970102436316526e-05
2021-06-23,08:29:14,24.58,24.73,14866987.92,2.9701089646037547e-05
2021-06-23,08:29:14,25.19,24.73,14866987.89,2.9700899826519242e-05
2021-06-23,08:29:15,26.0,24.73,14866987.89,2.970142314357826e-05
2021-06-23,08:29:16,26.61,24.73,14866987.87,2.9701417565474594e-05
2021-06-23,08:29:16,27.22,24.74,14866987.86,2.9701787551104503e-05
2021-06-23,08:29:17,27.84,24.74,14866987.84,2.9702457847523147e-05
2021-06-23,08:29:18,28.66,24.74,14866987.82,2.9702951372869622e-05
2021-06-23,08:29:18,29.26,24.74,14866987.8,2.9702808973486674e-05
2021-06-23,08:29:19,29.87,24.74,14866987.78,2.9703346740878197e-05
2021-06-23,08:29:20,30.48,24.74,14866987.76,2.9703868789891503e-05
2021-06-23,08:29:20,31.3,24.74,14866987.75,2.970305305865102e-05
2021-06-23,08:29:21,31.91,24.74,14866987.73,2.9703179644210654e-05
2021-06-23,08:29:22,32.51,24.74,14866987.73,2.970251116061938e-05
2021-06-23,08:29:22,33.12,24.74,14866987.74,2.970229408738271e-05
2021-06-23,08:29:23,33.94,24.74,14866987.71,2.9702389042006006e-05
2021-06-23,08:29:24,34.55,24.75,14866987.7,2.970317770153261e-05
2021-06-23,08:29:24,35.16,24.75,14866987.68,2.970306586580574e-05
2021-06-23,08:29:25,35.78,24.75,14866987.67,2.970286327435381e-05
2021-06-23,08:29:26,36.58,24.75,14866987.65,2.970273839764465e-05
2021-06-23,08:29:26,37.19,24.75,14866987.64,2.9703307484638103e-05
2021-06-23,08:29:27,37.8,24.75,14866987.63,2.970201873019267e-05
2021-06-23,08:29:28,38.61,24.75,14866987.61,2.970248629282969e-05
2021-06-23,08:29:28,39.22,24.75,14866987.6,2.9701504030338228e-05
2021-06-23,08:29:29,39.83,24.75,14866987.58,2.970143246286469e-05
2021-06-23,08:29:30,40.44,24.75,14866987.56,2.9701256594152765e-05
2021-06-23,08:29:30,41.26,24.76,14866987.54,2.9700511383546237e-05
2021-06-23,08:29:31,41.87,24.76,14866987.52,2.9700537928546047e-05
2021-06-23,08:29:32,42.47,24.76,14866987.5,2.9701044890617254e-05
2021-06-23,08:29:32,43.11,24.76,14866987.48,2.9701017760777934e-05
2021-06-23,08:29:33,43.92,24.76,14866987.46,2.9700873910990083e-05
2021-06-23,08:29:34,44.53,24.76,14866987.44,2.9700883460007953e-05
2021-06-23,08:29:34,45.14,24.76,14866987.42,2.9699953102358174e-05
2021-06-23,08:29:35,45.74,24.76,14866987.4,2.9700145488081127e-05
2021-06-23,08:29:36,46.56,24.76,14866987.38,2.969968784136625e-05
2021-06-23,08:29:36,47.17,24.76,14866987.36,2.9698828569439994e-05
2021-06-23,08:29:37,47.78,24.76,14866987.34,2.9698031936350644e-05
2021-06-23,08:29:38,48.4,24.77,14866987.32,2.9697592019517594e-05
2021-06-23,08:29:38,49.2,24.77,14866987.31,2.969682623576159e-05
2021-06-23,08:29:39,49.81,24.77,14866987.29,2.969697275358602e-05
2021-06-23,08:29:40,50.42,24.77,14866987.29,2.9697068317629268e-05
2021-06-23,08:29:40,51.04,24.77,14866987.27,2.9698485584534465e-05
2021-06-23,08:29:41,51.84,24.77,14866987.27,2.9699162234198597e-05
2021-06-23,08:29:42,52.45,24.77,14866987.25,2.9697779104186877e-05
2021-06-23,08:29:42,53.06,24.77,14866987.25,2.969794953236705e-05
2021-06-23,08:29:43,53.87,24.77,14866987.23,2.969826556678696e-05
2021-06-23,08:29:44,54.48,24.77,14866987.22,2.9697524788241495e-05
2021-06-23,08:29:44,55.09,24.77,14866987.2,2.9697818196400423e-05
2021-06-23,08:29:45,55.7,24.77,14866987.18,2.9696944031413864e-05
2021-06-23,08:29:46,56.51,24.77,14866987.16,2.9696904947911798e-05
2021-06-23,08:29:46,57.12,24.77,14866987.15,2.9697045897196576e-05
2021-06-23,08:29:47,57.73,24.77,14866987.13,2.96966986692252e-05
2021-06-23,08:29:48,58.35,24.77,14866987.1,2.9697425559930428e-05
2021-06-23,08:29:48,59.15,24.77,14866987.06,2.969806241783517e-05
2021-06-23,08:29:49,59.76,24.78,14866987.05,2.9697951709745595e-05
2021-06-23,08:29:50,60.37,24.78,14866987.06,2.969747572854877e-05
2021-06-23,08:29:50,60.99,24.78,14866987.06,2.969747572854877e-05
2021-06-23,08:29:51,61.79,24.78,14866987.06,2.969655119280651e-05
2021-06-23,08:29:52,62.4,24.78,14866987.06,2.969644436950972e-05
2021-06-23,08:29:52,63.01,24.78,14866987.07,2.9696366688128532e-05
2021-06-23,08:29:53,63.82,24.78,14866987.07,2.969580288845859e-05
2021-06-23,08:29:54,64.43,24.78,14866987.05,2.9696132046195218e-05
2021-06-23,08:29:54,65.04,24.78,14866987.04,2.969607652247985e-05
2021-06-23,08:29:55,65.65,24.78,14866987.03,2.9696676340915736e-05
2021-06-23,08:29:56,66.46,24.78,14866986.97,2.969729388057703e-05
2021-06-23,08:29:56,67.07,24.78,14866986.96,2.969761514049312e-05
2021-06-23,08:29:57,67.68,24.78,14866986.96,2.969608520165598e-05
2021-06-23,08:29:57,68.31,24.78,14866986.94,2.969675720849657e-05
2021-06-23,08:29:58,69.1,24.78,14866986.9,2.969808317290593e-05
2021-06-23,08:29:59,69.71,24.78,14866986.89,2.969893728234703e-05
2021-06-23,08:30:00,70.32,24.78,14866986.87,2.969807225220585e-05
2021-06-23,08:30:00,71.13,24.78,14866986.83,2.969905512552913e-05
2021-06-23,08:30:01,71.74,24.78,14866986.81,2.9698651453287385e-05
2021-06-23,08:30:02,72.35,24.78,14866986.8,2.9700151827086758e-05
2021-06-23,08:30:02,72.96,24.78,14866986.79,2.9700201427113653e-05
2021-06-23,08:30:03,73.77,24.78,14866986.8,2.9700302454874937e-05
2021-06-23,08:30:04,74.38,24.79,14866986.8,2.9701114796613268e-05
2021-06-23,08:30:04,74.99,24.79,14866986.8,2.9700741760336778e-05
2021-06-23,08:30:05,75.6,24.79,14866986.8,2.9700357850995757e-05
2021-06-23,08:30:06,76.42,24.79,14866986.77,2.9700395144875933e-05
2021-06-23,08:30:06,77.02,24.79,14866986.76,2.9700783076973843e-05
2021-06-23,08:30:07,77.63,24.79,14866986.75,2.969966360812709e-05
2021-06-23,08:30:07,78.26,24.79,14866986.76,2.969999681237378e-05
2021-06-23,08:30:08,79.06,24.79,14866986.76,2.969863333330688e-05
2021-06-23,08:30:09,79.67,24.79,14866986.76,2.969897887545107e-05
2021-06-23,08:30:09,80.27,24.79,14866986.76,2.9699041158105405e-05
2021-06-23,08:30:10,81.09,24.79,14866986.76,2.9699527832405017e-05
2021-06-23,08:30:11,81.7,24.79,14866986.73,2.9700357184868275e-05
2021-06-23,08:30:11,82.31,24.79,14866986.73,2.970012315508723e-05
2021-06-23,08:30:12,82.92,24.79,14866986.71,2.9700683961865507e-05
2021-06-23,08:30:13,83.73,24.79,14866986.71,2.9699995060051563e-05
2021-06-23,08:30:14,84.34,24.79,14866986.72,2.9699930375053357e-05
2021-06-23,08:30:14,84.95,24.8,14866986.69,2.969816115550442e-05
2021-06-23,08:30:15,85.56,24.79,14866986.68,2.969895054020249e-05
2021-06-23,08:30:16,86.37,24.8,14866986.66,2.969986454244105e-05
2021-06-23,08:30:16,86.98,24.8,14866986.64,2.9699723524477105e-05
2021-06-23,08:30:17,87.59,24.8,14866986.63,2.9699887041879326e-05
2021-06-23,08:30:17,88.21,24.8,14866986.61,2.9699595197456864e-05
2021-06-23,08:30:18,89.01,24.8,14866986.6,2.9700145221149928e-05
2021-06-23,08:30:19,89.62,24.8,14866986.58,2.970036016017605e-05
2021-06-23,08:30:19,90.23,24.8,14866986.57,2.9700871857616722e-05
2021-06-23,08:30:20,91.04,24.8,14866986.54,2.9701788072681916e-05
2021-06-23,08:30:21,91.65,24.8,14866986.55,2.970099013149825e-05
2021-06-23,08:30:21,92.26,24.8,14866986.54,2.970009475066124e-05
2021-06-23,08:30:22,92.87,24.8,14866986.53,2.9700095158842113e-05
2021-06-23,08:30:23,93.68,24.8,14866986.51,2.9701190658326846e-05
2021-06-23,08:30:23,94.29,24.8,14866986.5,2.970138634108319e-05
2021-06-23,08:30:24,94.9,24.8,14866986.48,2.9702114437396382e-05
2021-06-23,08:30:25,95.51,24.8,14866986.46,2.9702369920271008e-05
2021-06-23,08:30:26,96.32,24.8,14866986.44,2.9702033914052344e-05
2021-06-23,08:30:26,96.93,24.8,14866986.42,2.970247508124324e-05
2021-06-23,08:30:27,97.54,24.8,14866986.4,2.9702687364300198e-05
2021-06-23,08:30:27,98.16,24.8,14866986.39,2.970345728648283e-05
2021-06-23,08:30:28,98.96,24.8,14866986.36,2.9703310393569744e-05
2021-06-23,08:30:29,99.57,24.8,14866986.37,2.9703340402782605e-05
2021-06-23,08:30:29,100.18,24.8,14866986.37,2.970330668040674e-05
2021-06-23,08:30:30,100.99,24.8,14866986.34,2.970338983138351e-05
2021-06-23,08:30:31,101.6,24.8,14866986.34,2.9703850711965638e-05
2021-06-23,08:30:31,102.21,24.8,14866986.34,2.9704101281315195e-05
2021-06-23,08:30:32,102.82,24.8,14866986.35,2.970326295418539e-05
2021-06-23,08:30:33,103.63,24.8,14866986.35,2.9703960826365644e-05
2021-06-23,08:30:33,104.24,24.81,14866986.32,2.9704608573098598e-05
2021-06-23,08:30:34,104.85,24.81,14866986.33,2.9704175602274582e-05
2021-06-23,08:30:35,105.46,24.81,14866986.32,2.9704170773527984e-05
2021-06-23,08:30:35,106.27,24.81,14866986.3,2.9704618247873936e-05
2021-06-23,08:30:36,106.88,24.81,14866986.28,2.9705385427981863e-05
2021-06-23,08:30:37,107.49,24.81,14866986.26,2.970529679747089e-05
2021-06-23,08:30:37,108.12,24.81,14866986.25,2.9706014985401934e-05
2021-06-23,08:30:38,108.92,24.81,14866986.22,2.970597883596036e-05
2021-06-23,08:30:39,109.53,24.81,14866986.23,2.970587604246532e-05
2021-06-23,08:30:39,110.13,24.81,14866986.22,2.9705405325274003e-05
2021-06-23,08:30:40,110.94,24.81,14866986.2,2.9705667380863122e-05
2021-06-23,08:30:41,111.55,24.81,14866986.18,2.9706565673809125e-05
2021-06-23,08:30:41,112.16,24.81,14866986.16,2.9706640920197702e-05
2021-06-23,08:30:42,112.77,24.81,14866986.14,2.970649225027833e-05
2021-06-23,08:30:43,113.58,24.81,14866986.13,2.9707627122265012e-05
2021-06-23,08:30:43,114.19,24.81,14866986.11,2.9707200646805213e-05
2021-06-23,08:30:44,114.8,24.81,14866986.11,2.970698264660415e-05
2021-06-23,08:30:45,115.42,24.81,14866986.09,2.970760779231347e-05
2021-06-23,08:30:45,116.22,24.81,14866986.08,2.9707500060296386e-05
2021-06-23,08:30:46,116.83,24.82,14866986.07,2.9707889653898343e-05
2021-06-23,08:30:47,117.44,24.82,14866986.04,2.9707658005828348e-05
2021-06-23,08:30:47,118.25,24.82,14866986.04,2.9707559621436165e-05
2021-06-23,08:30:48,118.86,24.82,14866986.04,2.9706891630854195e-05
2021-06-23,08:30:49,119.47,24.82,14866986.05,2.9706370866819266e-05
2021-06-23,08:30:49,120.08,24.82,14866986.05,2.97057961772737e-05
2021-06-23,08:30:50,120.89,24.82,14866985.99,2.9706427337607466e-05
2021-06-23,08:30:51,121.5,24.82,14866985.99,2.9706056939411265e-05
2021-06-23,08:30:51,122.11,24.82,14866986.0,2.970673136555458e-05
2021-06-23,08:30:52,122.73,24.82,14866986.0,2.9706744368857117e-05
2021-06-23,08:30:53,123.53,24.82,14866986.0,2.97062177769371e-05
2021-06-23,08:30:53,124.14,24.82,14866986.0,2.970618824305988e-05
2021-06-23,08:30:54,124.75,24.82,14866986.01,2.9707431884760026e-05
2021-06-23,08:30:55,125.56,24.82,14866986.01,2.970826294364485e-05
2021-06-23,08:30:55,126.17,24.82,14866985.98,2.9708630322190595e-05
2021-06-23,08:30:56,126.78,24.83,14866985.98,2.970732013138995e-05
2021-06-23,08:30:57,127.39,24.83,14866985.95,2.9707257178795975e-05
2021-06-23,08:30:57,128.2,24.83,14866985.95,2.9706311067154077e-05
2021-06-23,08:30:58,128.81,24.83,14866985.96,2.9706556369050118e-05
2021-06-23,08:30:59,129.42,24.83,14866985.96,2.970752942250527e-05
2021-06-23,08:30:59,130.03,24.83,14866985.96,2.9707711559417045e-05
2021-06-23,08:31:00,130.84,24.83,14866985.96,2.9708968445836306e-05
2021-06-23,08:31:01,131.45,24.83,14866985.96,2.970800626475315e-05
2021-06-23,08:31:01,132.06,24.83,14866985.96,2.970929507991215e-05
2021-06-23,08:31:02,132.69,24.83,14866985.96,2.9709772271578907e-05
2021-06-23,08:31:03,133.48,24.83,14866985.96,2.970964307739909e-05
2021-06-23,08:31:03,134.09,24.83,14866985.96,2.9709095086934904e-05
2021-06-23,08:31:04,134.7,24.83,14866985.96,2.970804297470924e-05
2021-06-23,08:31:05,135.51,24.84,14866985.96,2.97077642668126e-05
2021-06-23,08:31:05,136.12,24.83,14866985.96,2.9708139137749347e-05
2021-06-23,08:31:06,136.73,24.83,14866985.96,2.970829463453309e-05
2021-06-23,08:31:07,137.34,24.84,14866985.96,2.9707774763599042e-05
