Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2021-07-14,11:51:45,0.0,25.06,14852874.76,2.8601031701713272e-05
2021-07-14,11:51:46,0.61,25.06,14852874.77,2.8600969029423903e-05
2021-07-14,11:51:47,1.22,25.06,14852874.77,2.8601343456160643e-05
2021-07-14,11:51:47,1.83,25.06,14852874.78,2.860117294180943e-05
2021-07-14,11:51:48,2.64,25.06,14852874.75,2.8601068214665703e-05
2021-07-14,11:51:49,3.25,25.06,14852874.76,2.8601296867942463e-05
2021-07-14,11:51:49,3.86,25.06,14852874.77,2.8601088358168112e-05
2021-07-14,11:51:50,4.47,25.06,14852874.75,2.8601274500400572e-05
2021-07-14,11:51:51,5.28,25.06,14852874.75,2.860108502423184e-05
2021-07-14,11:51:51,5.89,25.07,14852874.73,2.8600926403571935e-05
2021-07-14,11:51:52,6.5,25.07,14852874.73,2.8600921755657354e-05
2021-07-14,11:51:53,7.12,25.07,14852874.74,2.860078563307756e-05
2021-07-14,11:51:53,7.92,25.07,14852874.74,2.8601069391631912e-05
2021-07-14,11:51:54,8.53,25.07,14852874.74,2.860132804840065e-05
2021-07-14,11:51:55,9.14,25.07,14852874.74,2.8600842329578684e-05
2021-07-14,11:51:55,9.95,25.07,14852874.74,2.860046257151448e-05
2021-07-14,11:51:56,10.56,25.07,14852874.74,2.8600246575763355e-05
2021-07-14,11:51:57,11.17,25.08,14852874.71,2.860029513402717e-05
2021-07-14,11:51:57,11.78,25.08,14852874.72,2.8600276317133756e-05
2021-07-14,11:51:58,12.59,25.08,14852874.72,2.8599856554567148e-05
2021-07-14,11:51:59,13.2,25.08,14852874.75,2.8599904550098424e-05
2021-07-14,11:51:59,13.81,25.08,14852874.76,2.8599888977485946e-05
2021-07-14,11:52:00,14.42,25.08,14852874.76,2.8599378912124023e-05
2021-07-14,11:52:01,15.23,25.08,14852874.76,2.8598710358454066e-05
2021-07-14,11:52:01,15.84,25.09,14852874.73,2.8598428066633585e-05
2021-07-14,11:52:02,16.45,25.09,14852874.73,2.8598400127211322e-05
2021-07-14,11:52:02,17.08,25.09,14852874.74,2.8598709090881454e-05
2021-07-14,11:52:03,17.87,25.09,14852874.75,2.859866866596836e-05
2021-07-14,11:52:04,18.48,25.09,14852874.74,2.8598337056855082e-05
2021-07-14,11:52:05,19.09,25.09,14852874.77,2.859816127660046e-05
2021-07-14,11:52:05,19.91,25.09,14852874.79,2.8598597921970456e-05
2021-07-14,11:52:06,20.52,25.1,14852874.79,2.8598504514487397e-05
2021-07-14,11:52:07,21.12,25.1,14852874.81,2.859800504287003e-05
2021-07-14,11:52:07,21.73,25.1,14852874.81,2.859761676863785e-05
2021-07-14,11:52:08,22.55,25.1,14852874.83,2.8597289338930576e-05
2021-07-14,11:52:09,23.16,25.1,14852874.82,2.8597582637624627e-05
2021-07-14,11:52:09,23.76,25.1,14852874.85,2.8597594828411527e-05
2021-07-14,11:52:10,24.37,25.1,14852874.86,2.8597944256664274e-05
2021-07-14,11:52:11,25.19,25.1,14852874.86,2.8597580540595554e-05
2021-07-14,11:52:11,25.8,25.1,14852874.86,2.8597504328466197e-05
2021-07-14,11:52:12,26.41,25.11,14852874.86,2.8597633634628142e-05
2021-07-14,11:52:12,27.03,25.11,14852874.87,2.8597837993864073e-05
2021-07-14,11:52:13,27.83,25.11,14852874.87,2.8598073641694762e-05
2021-07-14,11:52:14,28.44,25.11,14852874.89,2.8597408164086603e-05
2021-07-14,11:52:14,29.05,25.11,14852874.89,2.859718627246234e-05
