Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2021-07-05,15:32:28,0.0,28.0,14852933.64,2.9110464700054106e-05
2021-07-05,15:32:29,0.62,28.0,14852933.58,2.9111951664800976e-05
2021-07-05,15:32:30,1.24,28.0,14852933.52,2.911391251670871e-05
2021-07-05,15:32:30,1.88,28.0,14852933.46,2.911487285542849e-05
2021-07-05,15:32:31,2.68,28.0,14852933.4,2.9115859865316514e-05
2021-07-05,15:32:32,3.3,28.01,14852933.34,2.9116259378261616e-05
2021-07-05,15:32:32,3.92,28.01,14852933.28,2.911638575320705e-05
2021-07-05,15:32:33,4.53,28.0,14852933.22,2.911736275174616e-05
2021-07-05,15:32:34,5.35,28.0,14852933.17,2.9118823795534343e-05
2021-07-05,15:32:34,5.98,28.0,14852933.1,2.9120226223631495e-05
2021-07-05,15:32:35,6.58,28.0,14852933.07,2.9121267534786077e-05
2021-07-05,15:32:36,7.2,28.0,14852933.02,2.9122326653039534e-05
2021-07-05,15:32:36,8.01,28.0,14852932.94,2.912323351151987e-05
2021-07-05,15:32:37,8.64,28.0,14852932.86,2.912469767524662e-05
2021-07-05,15:32:38,9.26,28.0,14852932.81,2.9125351334574084e-05
2021-07-05,15:32:38,9.87,28.0,14852932.78,2.9126513204392857e-05
2021-07-05,15:32:39,10.68,28.0,14852932.74,2.912730967386287e-05
2021-07-05,15:32:40,11.3,28.0,14852932.67,2.9128112818490254e-05
2021-07-05,15:32:40,11.91,28.0,14852932.62,2.9129671632104802e-05
2021-07-05,15:32:41,12.52,28.0,14852932.57,2.913080100160347e-05
2021-07-05,15:32:42,13.34,28.0,14852932.51,2.9132255514919686e-05
2021-07-05,15:32:42,13.98,28.0,14852932.46,2.913332847694192e-05
2021-07-05,15:32:43,14.61,28.0,14852932.41,2.9133823038279098e-05
2021-07-05,15:32:44,15.23,28.0,14852932.35,2.9134678483752074e-05
2021-07-05,15:32:44,15.86,28.0,14852932.3,2.913559202913267e-05
2021-07-05,15:32:45,16.48,28.0,14852932.25,2.913595987233724e-05
2021-07-05,15:32:46,17.31,28.0,14852932.19,2.913739806315789e-05
2021-07-05,15:32:46,17.92,28.0,14852932.15,2.9138366377950715e-05
2021-07-05,15:32:47,18.55,28.0,14852932.08,2.913911674908528e-05
2021-07-05,15:32:48,19.17,28.0,14852932.04,2.9139562329076217e-05
2021-07-05,15:32:48,19.81,28.0,14852932.0,2.9140421897387857e-05
2021-07-05,15:32:49,20.61,28.0,14852931.96,2.9141458438878735e-05
2021-07-05,15:32:50,21.24,28.0,14852931.92,2.914164283029174e-05
2021-07-05,15:32:50,21.87,28.0,14852931.88,2.9142107827900437e-05
2021-07-05,15:32:51,22.49,28.0,14852931.84,2.9142298730232306e-05
2021-07-05,15:32:52,23.14,28.0,14852931.8,2.914343464942894e-05
2021-07-05,15:32:52,23.94,28.0,14852931.76,2.9143797276707018e-05
2021-07-05,15:32:53,24.56,28.0,14852931.72,2.9144437742527692e-05
2021-07-05,15:32:54,25.21,28.0,14852931.68,2.9144102760340795e-05
2021-07-05,15:32:54,25.84,28.0,14852931.64,2.9143520524460112e-05
2021-07-05,15:32:55,26.46,28.0,14852931.57,2.9143586850868033e-05
2021-07-05,15:32:56,27.11,28.0,14852931.52,2.914382370921549e-05
2021-07-05,15:32:56,27.9,28.01,14852931.47,2.914403780129926e-05
2021-07-05,15:32:57,28.52,28.01,14852931.41,2.9145050894174843e-05
2021-07-05,15:32:58,29.14,28.01,14852931.36,2.914422557984757e-05
2021-07-05,15:32:58,29.78,28.01,14852931.31,2.914528581762578e-05
2021-07-05,15:32:59,30.58,28.01,14852931.24,2.9145616283016552e-05
2021-07-05,15:33:00,31.18,28.01,14852931.2,2.9144493639667016e-05
2021-07-05,15:33:00,31.78,28.01,14852931.16,2.9144735938772583e-05
2021-07-05,15:33:01,32.61,28.01,14852931.12,2.9143969642952752e-05
2021-07-05,15:33:02,33.24,28.01,14852931.08,2.914451541719666e-05
2021-07-05,15:33:02,33.86,28.01,14852931.04,2.9145252342190898e-05
2021-07-05,15:33:03,34.48,28.01,14852931.0,2.9144480325646865e-05
2021-07-05,15:33:04,35.09,28.01,14852930.96,2.9145107767330476e-05
2021-07-05,15:33:04,35.92,28.01,14852930.89,2.9146343782961637e-05
2021-07-05,15:33:05,36.53,28.01,14852930.85,2.9147249895075967e-05
2021-07-05,15:33:06,37.15,28.01,14852930.82,2.91476193281627e-05
2021-07-05,15:33:06,37.78,28.01,14852930.75,2.9148306098283577e-05
2021-07-05,15:33:07,38.41,28.01,14852930.71,2.9147720296227212e-05
2021-07-05,15:33:08,39.21,28.01,14852930.68,2.9147315236759297e-05
2021-07-05,15:33:08,39.84,28.01,14852930.62,2.914794848996458e-05
2021-07-05,15:33:09,40.45,28.01,14852930.56,2.9148414224442493e-05
2021-07-05,15:33:10,41.1,28.01,14852930.53,2.9148596540908897e-05
2021-07-05,15:33:10,41.73,28.01,14852930.48,2.9148636279730106e-05
2021-07-05,15:33:11,42.54,28.01,14852930.42,2.9149420103788564e-05
2021-07-05,15:33:12,43.16,28.01,14852930.37,2.9149612974965736e-05
2021-07-05,15:33:12,43.76,28.01,14852930.3,2.9150273072946295e-05
2021-07-05,15:33:13,44.39,28.01,14852930.27,2.9150726960929293e-05
2021-07-05,15:33:14,45.23,28.02,14852930.23,2.9150960212834687e-05
2021-07-05,15:33:14,45.86,28.02,14852930.16,2.9151558778921668e-05
2021-07-05,15:33:15,46.48,28.02,14852930.12,2.9151071823237803e-05
2021-07-05,15:33:16,47.12,28.02,14852930.08,2.9151304114476206e-05
