Channel A QCM Time [sec]	Channel A Fundamental Boffs [mS]	Channel A Fundamental Dissipation [ ]	Channel A Fundamental Fi [rad]	Channel A Flow [ul/min]	Channel A Fundamental Frequency [Hz]	Channel A Fundamental FWHM [Hz]	Channel A Fundamental Gmax [mS]	Channel A Fundamental Goffs [mS]	Channel A Fundamental Q [ ]	Channel A Fundamental Residual [ ]	Channel A Fundamental Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A Fundamental Dissipation Variation [ ]	Channel A Fundamental Frequency Variation [Hz]	Channel A Fundamental FWHM Variation[Hz]	Channel A 3. Boffs [mS]	Channel A 3. Dissipation  [ ]	Channel A 3. Fi [rad]	Channel A Flow [ul/min]	Channel A 3. Overtone [Hz]	Channel A 3. FWHM [Hz]	Channel A 3. Gmax [mS]	Channel A 3. Goffs [mS]	Channel A 3. Q  [ ]	Channel A 3. Residual  [ ]	Channel A 3. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 3. Dissipation Variation [ ]	Channel A 3. Overtone Variation [Hz]	Channel A 3. FWHM Variation [Hz]	Channel A 5. Boffs [mS]	Channel A 5. Dissipation  [ ]	Channel A 5. Fi [rad]	Channel A Flow [ul/min]	Channel A 5. Overtone [Hz]	Channel A 5. FWHM [Hz]	Channel A 5. Gmax [mS]	Channel A 5. Goffs [mS]	Channel A 5. Q  [ ]	Channel A 5. Residual  [ ]	Channel A 5. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 5. Dissipation Variation [ ]	Channel A 5. Overtone Variation [Hz]	Channel A 5. FWHM Variation [Hz]	Channel A 7. Boffs [mS]	Channel A 7. Dissipation  [ ]	Channel A 7. Fi [rad]	Channel A Flow [ul/min]	Channel A 7. Overtone [Hz]	Channel A 7. FWHM [Hz]	Channel A 7. Gmax [mS]	Channel A 7. Goffs [mS]	Channel A 7. Q  [ ]	Channel A 7. Residual  [ ]	Channel A 7. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 7. Dissipation Variation [ ]	Channel A 7. Overtone Variation [Hz]	Channel A 7. FWHM Variation [Hz]	Channel A 9. Boffs [mS]	Channel A 9. Dissipation  [ ]	Channel A 9. Fi [rad]	Channel A Flow [ul/min]	Channel A 9. Overtone [Hz]	Channel A 9. FWHM [Hz]	Channel A 9. Gmax [mS]	Channel A 9. Goffs [mS]	Channel A 9. Q  [ ]	Channel A 9. Residual  [ ]	Channel A 9. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 9. Dissipation Variation [ ]	Channel A 9. Overtone Variation [Hz]	Channel A 9. FWHM Variation [Hz]	Channel A 11. Boffs [mS]	Channel A 11. Dissipation  [ ]	Channel A 11. Fi [rad]	Channel A Flow [ul/min]	Channel A 11. Overtone [Hz]	Channel A 11. FWHM [Hz]	Channel A 11. Gmax [mS]	Channel A 11. Goffs [mS]	Channel A 11. Q  [ ]	Channel A 11. Residual  [ ]	Channel A 11. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 11. Dissipation Variation [ ]	Channel A 11. Overtone Variation [Hz]	Channel A 11. FWHM Variation [Hz]	Channel A 13. Boffs [mS]	Channel A 13. Dissipation  [ ]	Channel A 13. Fi [rad]	Channel A Flow [ul/min]	Channel A 13. Overtone [Hz]	Channel A 13. FWHM [Hz]	Channel A 13. Gmax [mS]	Channel A 13. Goffs [mS]	Channel A 13. Q  [ ]	Channel A 13. Residual  [ ]	Channel A 13. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 13. Dissipation Variation [ ]	Channel A 13. Overtone Variation [Hz]	Channel A 13. FWHM Variation [Hz]
5.0501468	-0.801831198619065	1.31161656206037E-05	-0.0114747334924904	0	4961272.01729206	65.0728654676696	34.4014399601086	-0.0388880593006126	76241.7942046366	0.106298571074656	0	24.9844493865967	0	0	0	-1.18997997897108	4.81276643985283E-06	-0.0203235510264349	0	14866726.8670554	71.5500841362226	34.588084664065	0.030373417922441	207780.704195274	0.123121747605374	0	24.9844493865967	0	0	0	-0.284553194918256	4.3559979469848E-06	-0.0270087704409925	0	24774372.2310321	107.917114576213	21.8193656051124	0.0499999902235558	229568.519583944	0.076329578026058	0	24.9844493865967	0	0	0	0.658630862483805	4.9199425713053E-06	-0.0402549263930249	0	34680641.2679372	170.626763374292	13.1294105971663	0.0584312870883655	203254.405007149	0.0776283730414926	0	24.9844493865967	0	0	0	1.03862262126142	5.12133494039182E-06	-0.0498507769294302	0	44587621.4366331	228.348143572392	9.27253266245687	0.0690716232841338	195261.58933934	0.0338550090942351	0	24.9844493865967	0	0	0	1.25149997505532	5.80245988194616E-06	-0.0551642103578502	0	54494404.463326	316.201595688997	6.33045695058196	0.106758092759571	172340.700383196	0.0232540603674874	0	24.9844493865967	0	0	0	1.52747624403027	6.2446168676537E-06	-0.0821967547944218	0	64401754.5748804	402.164282924792	4.89183135670503	0.212504135951265	160137.926984739	0.0400634335350921	0	24.9844493865967	0	0	0
5.045002	-0.365314268694995	1.33234290197324E-05	-0.0116242700530606	0	4961264.47245154	66.1010550468283	33.9118451044993	-0.0415186886593065	75055.7531787777	0.104328669112437	133.543677175418	24.9898815155029	2.07263399128658E-07	-7.54484051838517	1.02818957915873	-0.433476628502238	5.17093553413502E-06	-0.0202480275232215	0	14866708.3309054	76.8747903838996	32.3335494228388	0.0201431004068116	193388.603164491	0.121991813972413	109.363285148703	24.9898815155029	3.58169094282188E-07	-18.5361500252038	5.32470624767707	0.110437062198916	4.75089120226083E-06	-0.0283739463877775	0	24774344.6954727	117.700216255498	20.0701771544062	0.0528060444546594	210486.823929819	0.071691519180655	97.4758804374933	24.9898815155029	3.94893255276027E-07	-27.5355594456196	9.78310167928514	0.857765517275247	5.07107677342815E-06	-0.0384247401187129	0	34680600.2359879	175.867986345265	12.760135518041	0.0463120563158631	197196.777859859	0.0369704184191041	103.752214706476	24.9898815155029	1.5113420212285E-07	-41.0319493189454	5.2412229709733	1.03993389056008	5.56250672892066E-06	-0.0512394627044856	0	44587573.6909999	248.018678682433	8.55525629929202	0.0666384814822276	179775.063426132	0.0333307093994513	93.8997453076144	24.9898815155029	4.41171788528839E-07	-47.7456332072616	19.6705351100402	1.26513686479925	6.4867564153973E-06	-0.0605355691981309	0	54494343.6763266	353.491533445277	5.65988654041384	0.10932294895864	154160.251435733	0.0276986790865267	97.8118080366742	24.9898815155029	6.84296533451133E-07	-60.7869993448257	37.2899377562799	1.53741260639278	6.81171384728852E-06	-0.0849933126659992	0	64401697.3990664	438.685933962106	4.48176596260906	0.216656067617086	146805.932019305	0.0410027329875653	77.8470697837953	24.9898815155029	5.67096979634822E-07	-57.1758139654994	36.521651037314
10.0996807	-0.179900700490031	1.32674954796356E-05	-0.0113237928604697	0	4961265.08244681	65.8235620546372	34.0033058577118	-0.0395052138637346	75372.1756706008	0.0998130219189029	122.746760910284	25.0043544769287	1.51329859031891E-07	-6.93484524916857	0.750696586967678	-0.139031334471542	5.12377602893774E-06	-0.0196057926907534	0	14866709.2544968	76.1736885073773	32.5577263896201	0.0199893118208445	195168.562082391	0.124657495501773	103.914095880277	25.0043544769287	3.11009589084908E-07	-17.6125586237758	4.62360437115478	0.295952414687163	4.73053603462553E-06	-0.0274927115924337	0	24774345.4516334	117.195933893213	20.1703308150623	0.0406103418207303	211392.534097705	0.0728213615642618	94.7990714449436	25.0043544769287	3.74538087640726E-07	-26.7793987132609	9.27881931699967	0.853414284923688	5.04679039150965E-06	-0.0382032111993685	0	34680600.946928	175.025723630737	12.7982531054432	0.0501858321149559	198145.736680946	0.0298519508069323	101.954551787355	25.0043544769287	1.26847820204344E-07	-40.3210091814399	4.39896025644492	1.03685319867929	5.54681694878935E-06	-0.0508604375027949	0	44587574.243333	247.319112518323	8.57478581657493	0.0663008531076668	180283.576911306	0.0417427602284071	92.8134900465608	25.0043544769287	4.25482008397531E-07	-47.193300023675	18.970968945931	1.26431665353357	6.43666879043354E-06	-0.0605999135080863	0	54494344.8660319	350.76204885431	5.68840535334212	0.114342235441725	155359.865880662	0.0284966536538608	95.8974640821869	25.0043544769287	6.34208908487375E-07	-59.597294062376	34.5604531653128	1.53707093019235	6.80295482256586E-06	-0.0853152527861853	0	64401697.9878417	438.121841907818	4.48361377582507	0.217563603888366	146994.949412707	0.0430433883931288	77.0454296089136	25.0043544769287	5.58337954912165E-07	-56.5870386958122	35.9575589830261
15.1454146	-0.333266408045526	1.32530456380155E-05	-0.0113135693965958	0	4961265.16992467	65.7518737193084	34.0462848013112	-0.0423364627526824	75454.354215122	0.103024864470651	121.198402886465	24.9982109069824	1.36880017411769E-07	-6.84736739471555	0.679008251638876	-0.3500303711944	5.12183307113907E-06	-0.0195258749680506	0	14866709.2764074	76.1448032309135	32.5948111305635	0.0117157355357521	195242.598911488	0.127835128348893	103.784823107347	24.9982109069824	3.09066631286242E-07	-17.5906479842961	4.59471909469089	0.217729780742852	4.72391563338128E-06	-0.0275334584896734	0	24774345.3719499	117.031917409341	20.1876213825922	0.0458009364851341	211688.79328275	0.0715902398947744	95.081150881201	24.9982109069824	3.67917686396474E-07	-26.8590821698308	9.11480283312822	0.854548285746969	5.04536049444491E-06	-0.0384629874875293	0	34680600.8540897	174.976133472836	12.7905988797531	0.0532854512991318	198201.892828279	0.041335727437504	102.189300235467	24.9982109069824	1.25417923139603E-07	-40.4138475507498	4.34937009854443	1.03553203096714	5.5488044148557E-06	-0.05066890156544	0	44587574.1102397	247.407728070604	8.57417222784024	0.0638376649532064	180219.0030924	0.0384709145837618	93.0752402861913	24.9982109069824	4.27469474463878E-07	-47.32639336586	19.0595844982114	1.26166256139087	6.44152237825035E-06	-0.0590550900121516	0	54494344.3211897	351.026538433023	5.69223152030255	0.108680325087818	155242.804616573	0.0282421367276073	96.7741646866907	24.9982109069824	6.39062496304185E-07	-60.142136245966	34.8249427440265	1.53591909802193	6.79618009644304E-06	-0.0849608068128827	0	64401697.7264345	437.685536265535	4.48015552781324	0.218907845852833	147141.480332956	0.0403099182855065	77.4013455103796	24.9982109069824	5.51563228789339E-07	-56.8484458550811	35.5212533407434
20.1919499	-0.351347858942566	1.3243662714588E-05	-0.0113759187237445	0	4961265.19287418	65.7053228520508	34.075515999321	-0.0435568708487188	75507.8124194824	0.105664077160658	120.792196472548	25.0018444061279	1.27497093984204E-07	-6.82441787980497	0.632457384381269	-0.37184377115984	5.11711517294535E-06	-0.0196443340045994	0	14866709.203549	76.0746632372469	32.6028014218748	0.0172162030260639	195422.609459152	0.1299749445155	104.214687682129	25.0018444061279	3.04348733092519E-07	-17.6635063868016	4.52457910102429	0.213752434685657	4.72461765088475E-06	-0.0275033541157987	0	24774345.2474663	117.049308845292	20.1869830217239	0.0447768343275056	211657.33904684	0.064525790174335	95.5218230766803	25.0018444061279	3.68619703899952E-07	-26.9835658408701	9.13219426907879	0.852104390464461	5.04833589923416E-06	-0.0377442189999384	0	34680600.5437318	175.079320731921	12.7843663241423	0.0510409062309971	198085.075945858	0.0269061959797795	102.974062199465	25.0018444061279	1.28393327928857E-07	-40.7242053896189	4.45255735762925	1.03727166413869	5.55249388389368E-06	-0.050677702190071	0	44587573.8437887	247.572231065295	8.57038977585382	0.0630681270689119	180099.252860185	0.035178633180418	93.5992605298758	25.0018444061279	4.31158943501864E-07	-47.592844337225	19.2240874929026	1.26315999049929	6.44793171179241E-06	-0.0593910632976594	0	54494343.6542504	351.375806561555	5.68849218623101	0.107936642583959	155088.491115862	0.0235425441225541	97.8473306325349	25.0018444061279	6.45471829846251E-07	-60.8090755343437	35.1742108725583	1.53576225449751	6.80004089317368E-06	-0.0851770079236752	0	64401697.4408521	437.934176187593	4.47575132719897	0.219498239924042	147057.939166787	0.043103005653118	77.7901770243851	25.0018444061279	5.55424025519981E-07	-57.1340283229947	35.769893262801
25.232647	-0.35713675506434	1.3230827286234E-05	-0.0113809959221667	0	4961265.19559806	65.6416429241619	34.101233043879	-0.0407668175761609	75581.0637057025	0.101089574328004	120.743983909953	25.0035018920898	1.1466166563026E-07	-6.82169400621206	0.568777456492313	-0.379655457193074	5.11595064865864E-06	-0.0194781389620657	0	14866709.1034936	76.0573500814372	32.5909899279012	0.0222607722348416	195467.092760598	0.125343564440891	104.805014763586	25.0035018920898	3.0318420880581E-07	-17.7635618243366	4.50726594521463	0.209178684819629	4.7224818269273E-06	-0.0279005703639911	0	24774345.1084143	116.996394548512	20.1767272792755	0.0500342339353333	211753.064733476	0.08425419799371	96.0140671826899	25.0035018920898	3.66483879942496E-07	-27.1226178482175	9.07927997229838	0.855089622181684	5.05623628199016E-06	-0.037950972139004	0	34680600.3238144	175.35330963847	12.7791362377401	0.047844815415806	197775.56748325	0.0366500022269493	103.530139057977	25.0035018920898	1.36293710684853E-07	-40.9441227912903	4.72654626417821	1.0368392066803	5.5511851454561E-06	-0.050795453868916	0	44587573.5321188	247.513875863429	8.56716161562611	0.0638406467717311	180141.712768947	0.0409909259365113	94.2122114817301	25.0035018920898	4.29850205064277E-07	-47.9045143127441	19.1657322910368	1.2630606316543	6.43973326761325E-06	-0.0600071986189107	0	54494343.7134591	350.929038108314	5.69402587847956	0.109464861198217	155285.93474969	0.0218138624763684	97.7520584898916	25.0035018920898	6.37273385667089E-07	-60.7498668581247	34.7274424193168	1.53463913746281	6.80544175061469E-06	-0.084425356239714	0	64401696.8575225	438.281996604614	4.4734219917427	0.218378488885665	146941.232714199	0.0406396741567176	78.5844026640058	25.0035018920898	5.60824882960988E-07	-57.7173578888178	36.1177136798225
30.2680205	-0.359270846197483	1.32211654793523E-05	-0.0113580129521021	0	4961265.19183892	65.593708088253	34.1242277332186	-0.0404516971498195	75636.2970845281	0.0964557297410855	120.810520575196	24.9996299743652	1.04999858748572E-07	-6.82545313984156	0.52084262058348	-0.387873962441645	5.11910608893999E-06	-0.0192354568254387	0	14866708.9778129	76.1042604508211	32.5837560502354	0.0180933204731462	195346.60595539	0.126177226858272	105.546530420706	24.9996299743652	3.06339649087161E-07	-17.8892424441874	4.55417631459849	0.20759866493684	4.72879465286172E-06	-0.0280093015150859	0	24774344.9209101	117.152789790152	20.1667839120697	0.0436848774494191	211470.379538437	0.0773639104915958	96.6778318208456	24.9996299743652	3.72796705876922E-07	-27.3101219832897	9.23567521393865	0.852918679483554	5.05804057715327E-06	-0.0381623522092035	0	34680600.1249932	175.415882672242	12.7704307672743	0.0500978578560641	197705.017337526	0.0306916672919636	104.032872819262	24.9996299743652	1.38098005847971E-07	-41.1429440528154	4.78911929795049	1.03486066719656	5.55588930081813E-06	-0.0503306670698573	0	44587573.1170153	247.723620430271	8.55577107182339	0.065186818915406	179989.187303056	0.0342047225571489	95.028581644843	24.9996299743652	4.3455436042631E-07	-48.3196177855134	19.375476857879	1.26197118444281	6.44565692394743E-06	-0.0596851393874417	0	54494343.3075692	351.251841256401	5.69044643341945	0.107903195746677	155143.224623811	0.0256204560906164	98.4051723436198	24.9996299743652	6.43197042001265E-07	-61.1557568237185	35.0502455674044	1.53431727748112	6.81751520384492E-06	-0.0846380547542148	0	64401696.4072554	439.059544409868	4.46962925375638	0.217343179007912	146681.007683859	0.0419775008736915	79.1974586776243	24.9996299743652	5.72898336191219E-07	-58.1676250174642	36.8952614850763
35.3232794	-0.366583611191022	1.32155813969111E-05	-0.0114131140710586	0	4961265.17037602	65.5660036907644	34.1387876536535	-0.0407593010013502	75668.2562776791	0.102170586138595	121.190414030571	24.9944133758545	9.94157763073771E-08	-6.84691604692489	0.493138223094817	-0.386330484113281	5.12402623728331E-06	-0.019468841958099	0	14866708.8551332	76.1774062357545	32.5722234800197	0.0150871479609379	195159.031919826	0.132431179863565	106.270341118611	24.9944133758545	3.11259797430483E-07	-18.0119222234935	4.62732209953192	0.205093955896839	4.72987500094118E-06	-0.0278981041383858	0	24774344.6787291	117.179553560621	20.1474941485541	0.0468066037156539	211422.077708399	0.0741303666801752	97.5351525981724	24.9944133758545	3.73877053956383E-07	-27.552302993834	9.26243898440794	0.855525509164141	5.06315002919978E-06	-0.0382568476326332	0	34680599.8954293	175.593080373209	12.7567002507658	0.0504933057620638	197505.504326928	0.0331041547069371	104.613341404285	24.9944133758545	1.43207457894475E-07	-41.3725078999996	4.96631699891691	1.03570569692333	5.56403686828753E-06	-0.0502898266937066	0	44587572.7597765	248.086898702849	8.54812550899487	0.0631754716756476	179725.624339325	0.0369487538625106	95.7311511809627	24.9944133758545	4.42701927895705E-07	-48.6768565326929	19.738755130457	1.26007383149288	6.43857052830144E-06	-0.0592418301492049	0	54494343.0308255	350.865670997422	5.69044013831643	0.108412794130729	155313.977785036	0.0288942624903259	98.8504780836403	24.9944133758545	6.36110646355277E-07	-61.4325005039573	34.664075308425	1.53471265798961	6.82488073808404E-06	-0.0848704074212433	0	64401696.0058189	439.533894570057	4.46383380763847	0.217912180675082	146522.706897986	0.0402205548119469	79.7440299125818	24.9944133758545	5.80263870430342E-07	-58.5690615177155	37.3696116452654
40.3749473	-0.369356416562258	1.32095973408835E-05	-0.0113992591115133	0	4961265.13121144	65.5363146846689	34.1524713755602	-0.0409342418454231	75702.5346189026	0.105314591160166	121.883627004828	24.9959335327148	9.34317202797958E-08	-6.88608062174171	0.463449216999337	-0.390024337780625	5.12423227176265E-06	-0.0194890520669657	0	14866708.7097321	76.1804685453041	32.5430067264274	0.0240865085901898	195151.184990296	0.122885130826708	107.128207507916	24.9959335327148	3.11465831909825E-07	-18.1573233064264	4.6303844090815	0.200620112882622	4.73408321506286E-06	-0.0274580432659226	0	24774344.398363	117.283807980477	20.1236817802991	0.0481038592684278	211234.140713499	0.0680453305603955	98.5276485539228	24.9959335327148	3.78085268078058E-07	-27.832669083029	9.36669340426383	0.853973014744899	5.06978981993688E-06	-0.0379871681195767	0	34680599.5970444	175.823350786403	12.7409056971538	0.0486029373917931	197246.835769703	0.0292072749573174	105.367829024792	24.9959335327148	1.49847248631575E-07	-41.6708928346634	5.19658741211074	1.03688331861473	5.57320858993361E-06	-0.0502436632768299	0	44587572.3630701	248.495841298148	8.54118896680233	0.061373475150585	179429.853353454	0.0379772395401843	96.5113405706982	24.9959335327148	4.51873649541788E-07	-49.0735630020499	20.1476977257562	1.2572382917865	6.42950284608543E-06	-0.0585621306176295	0	54494342.4575401	350.371529926308	5.68183069213006	0.111771597222271	155533.020816508	0.0169655536927492	99.7729463145814	24.9959335327148	6.27042964139266E-07	-62.0057858452201	34.1699342373115	1.53487665989229	6.83309126794734E-06	-0.0846215338689037	0	64401695.4864671	440.062663069582	4.45796358742937	0.217820653254941	146346.647627963	0.0424899460628501	80.451147346829	24.9959335327148	5.88474400293638E-07	-59.0884133055806	37.8983801447898
45.4283431	-0.374443741421464	1.32018581973415E-05	-0.0114566275744872	0	4961265.08206919	65.4979180928995	34.1662209805423	-0.039311449902996	75746.9126733517	0.108432957622249	122.75344476141	25.0070667266846	8.56925767377725E-08	-6.93522286787629	0.425052625229895	-0.400661266973634	5.13115358966415E-06	-0.0195656863475564	0	14866708.5263661	76.2833648215542	32.5112039366603	0.019485343730462	194887.94917664	0.124655201618809	108.2100667689	25.0070667266846	3.18387149811327E-07	-18.3406892828643	4.73328068533159	0.200652121076746	4.7448679702186E-06	-0.0273384034805219	0	24774344.0915836	117.55099176333	20.1037995942815	0.0431257155873745	210754.020191194	0.0630825698643933	99.613647601828	25.0070667266846	3.88870023233796E-07	-28.1394484750926	9.6338771871164	0.851910746136903	5.07274122910074E-06	-0.0381774431356869	0	34680599.2569042	175.925705700418	12.726745855138	0.050311350013915	197132.074126571	0.0291929725817173	106.22789785681	25.0070667266846	1.52798657795434E-07	-42.0110330507159	5.29894232612628	1.03652118453077	5.581579406406E-06	-0.050280004383346	0	44587571.9933963	248.869073619986	8.52928957523011	0.0614436150943375	179160.758485725	0.0319583931951111	97.2383657321334	25.0070667266846	4.60244466014181E-07	-49.4432368129492	20.5209300475932	1.2586393746161	6.42719650912707E-06	-0.0589597318106207	0	54494342.5588855	350.245848261644	5.68904395633794	0.112967368132452	155588.832328361	0.0203854111737951	99.6098723807118	25.0070667266846	6.24736627180909E-07	-61.9044404625893	34.0442525726469	1.53477899091068	6.84286792257896E-06	-0.0850929685146156	0	64401695.0029511	440.692292895408	4.45249776219362	0.217477557160535	146137.556842266	0.0408780037179871	81.1094729373088	25.0070667266846	5.98251054925264E-07	-59.5719292759895	38.5280099706163
