Channel A QCM Time [sec]	Channel A Fundamental Boffs [mS]	Channel A Fundamental Dissipation [ ]	Channel A Fundamental Fi [rad]	Channel A Flow [ul/min]	Channel A Fundamental Frequency [Hz]	Channel A Fundamental FWHM [Hz]	Channel A Fundamental Gmax [mS]	Channel A Fundamental Goffs [mS]	Channel A Fundamental Q [ ]	Channel A Fundamental Residual [ ]	Channel A Fundamental Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A Fundamental Dissipation Variation [ ]	Channel A Fundamental Frequency Variation [Hz]	Channel A Fundamental FWHM Variation[Hz]	Channel A 3. Boffs [mS]	Channel A 3. Dissipation  [ ]	Channel A 3. Fi [rad]	Channel A Flow [ul/min]	Channel A 3. Overtone [Hz]	Channel A 3. FWHM [Hz]	Channel A 3. Gmax [mS]	Channel A 3. Goffs [mS]	Channel A 3. Q  [ ]	Channel A 3. Residual  [ ]	Channel A 3. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 3. Dissipation Variation [ ]	Channel A 3. Overtone Variation [Hz]	Channel A 3. FWHM Variation [Hz]	Channel A 5. Boffs [mS]	Channel A 5. Dissipation  [ ]	Channel A 5. Fi [rad]	Channel A Flow [ul/min]	Channel A 5. Overtone [Hz]	Channel A 5. FWHM [Hz]	Channel A 5. Gmax [mS]	Channel A 5. Goffs [mS]	Channel A 5. Q  [ ]	Channel A 5. Residual  [ ]	Channel A 5. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 5. Dissipation Variation [ ]	Channel A 5. Overtone Variation [Hz]	Channel A 5. FWHM Variation [Hz]	Channel A 7. Boffs [mS]	Channel A 7. Dissipation  [ ]	Channel A 7. Fi [rad]	Channel A Flow [ul/min]	Channel A 7. Overtone [Hz]	Channel A 7. FWHM [Hz]	Channel A 7. Gmax [mS]	Channel A 7. Goffs [mS]	Channel A 7. Q  [ ]	Channel A 7. Residual  [ ]	Channel A 7. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 7. Dissipation Variation [ ]	Channel A 7. Overtone Variation [Hz]	Channel A 7. FWHM Variation [Hz]	Channel A 9. Boffs [mS]	Channel A 9. Dissipation  [ ]	Channel A 9. Fi [rad]	Channel A Flow [ul/min]	Channel A 9. Overtone [Hz]	Channel A 9. FWHM [Hz]	Channel A 9. Gmax [mS]	Channel A 9. Goffs [mS]	Channel A 9. Q  [ ]	Channel A 9. Residual  [ ]	Channel A 9. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 9. Dissipation Variation [ ]	Channel A 9. Overtone Variation [Hz]	Channel A 9. FWHM Variation [Hz]	Channel A 11. Boffs [mS]	Channel A 11. Dissipation  [ ]	Channel A 11. Fi [rad]	Channel A Flow [ul/min]	Channel A 11. Overtone [Hz]	Channel A 11. FWHM [Hz]	Channel A 11. Gmax [mS]	Channel A 11. Goffs [mS]	Channel A 11. Q  [ ]	Channel A 11. Residual  [ ]	Channel A 11. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 11. Dissipation Variation [ ]	Channel A 11. Overtone Variation [Hz]	Channel A 11. FWHM Variation [Hz]	Channel A 13. Boffs [mS]	Channel A 13. Dissipation  [ ]	Channel A 13. Fi [rad]	Channel A Flow [ul/min]	Channel A 13. Overtone [Hz]	Channel A 13. FWHM [Hz]	Channel A 13. Gmax [mS]	Channel A 13. Goffs [mS]	Channel A 13. Q  [ ]	Channel A 13. Residual  [ ]	Channel A 13. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 13. Dissipation Variation [ ]	Channel A 13. Overtone Variation [Hz]	Channel A 13. FWHM Variation [Hz]
5.0461463	0.341116741717784	7.32193323613478E-05	-0.000238936293057582	0	4957277.85524264	362.968574890561	6.14999188047069	-0.037445484460656	13657.5951698775	0.0198479728196915	0	25.0005512237549	0	0	0	0.42049325450598	7.07176465269325E-05	-0.0152528492585658	0	14855392.4778832	1050.5383942698	2.35863676874093	0.0280767069469416	14140.7420794066	0.0223390122098051	0	25.0005512237549	0	0	0	0.612884809734788	6.04576467918756E-05	-0.0326289464344717	0	24755747.5437236	1496.67424106729	1.56505997474171	0.0527957183411112	16540.5048503208	0.0058840258229351	0	25.0005512237549	0	0	0	0.813252371688555	5.89080328452361E-05	-0.0517255598587574	0	34654715.1881878	2041.44110054807	1.06674864560727	0.0940034700043173	16975.6135402995	0.00619095379834115	0	25.0005512237549	0	0	0				0								25.0005512237549				1.24282421076546	5.92371739548186E-05	-0.0515110049580965	0	54453970.2242	3225.69930670145	0.589318417428721	0.120484804365076	16881.2914802911	0.010387201195338	0	25.0005512237549	0	0	0	1.51297294783114	5.9685911464582E-05	-0.052875907090314	0	64354121.3785111	3841.03439097878	0.473555703185158	0.246085026436285	16754.3726058939	0.0124643536526104	0	25.0005512237549	0	0	0
5.057726	0.346010334201285	6.60445169095495E-05	7.75550189695279E-05	0	4957308.7760796	327.403063287647	6.81627010591615	-0.0365659982866082	15141.3023638213	0.0184308021982629	-547.298814174905	24.998046875	-7.17481545179835E-06	30.9208369590342	-35.5655116029133	0.421749320219059	6.56022429182485E-05	-0.014849493453782	0	14855415.9711686	974.548607192232	2.54260792067099	0.0291828116345838	15243.3812552136	0.0182558583401583	-138.610383952595	24.998046875	-5.11540360868398E-06	23.4932854156941	-75.9897870775638	0.613151665336878	5.71615855718877E-05	-0.0327955411852417	0	24755790.7955889	1415.0802539618	1.65768095670161	0.0529148697122754	17494.266297816	0.00729327342869365	-153.111602955535	24.998046875	-3.29606121998796E-06	43.2518652416766	-81.5939871054834	0.813410604788857	5.60043207926054E-05	-0.0527680328023977	0	34654769.2984079	1940.81681678177	1.12212528647471	0.0949470994730611	17855.7651596774	0.00570557795971973	-136.821556606357	24.998046875	-2.90371205263072E-06	54.1102201268077	-100.6242837663				0								24.998046875				1.24328147985443	5.7346497689461E-05	-0.0517208738572716	0	54454044.3753846	3122.7487299548	0.609703925220768	0.122568167175371	17437.8565438317	0.011340403532465	-119.315996971997	24.998046875	-1.89067626535756E-06	74.1511845588684	-102.950576746648	1.51567813645234	5.79673228346566E-05	-0.0541270738596526	0	64354214.2103015	3730.4415108992	0.486695609003633	0.249539164135409	17251.0985689706	0.0121147753613323	-126.39405307638	24.998046875	-1.71858862992535E-06	92.831790395081	-110.592880079582
10.1054371	0.346342462740231	6.52449884198522E-05	0.000125629149072001	0	4957312.37253363	323.439788339547	6.89917855181257	-0.0365989817221005	15326.8476892814	0.0167423295959998	-610.95605052067	25.0030269622803	-7.97434394149567E-06	34.5172909898683	-39.5287865510139	0.420358041242677	6.49251601456819E-05	-0.0142252713002663	0	14855418.9935559	964.49045718782	2.57004156722777	0.0290188248357763	15402.3493782096	0.0235457235197167	-156.442468833923	25.0030269622803	-5.79248638125057E-06	26.5156726837158	-86.0479370819752	0.613217221455558	5.66336980951293E-05	-0.0330521165585878	0	24755795.9085751	1402.01227159088	1.67237735776855	0.0530456411104972	17657.3318295456	0.00743703697317191	-171.211574128345	25.0030269622803	-3.82394869674637E-06	48.3648514486849	-94.6619694764088	0.813727042500388	5.5546309259477E-05	-0.0530103747099988	0	34654774.6844977	1924.9448319426	1.13105182315415	0.0948571824685781	18002.9962986134	0.00614558311900447	-150.440669240164	25.0030269622803	-3.3617235857591E-06	59.4963098689914	-116.496268605467				0								25.0030269622803				1.24322300508847	5.69855540517293E-05	-0.0522974311067125	0	54454051.2673225	3103.09428182964	0.612520156143353	0.122381859607538	17548.3070515071	0.010802760287246	-130.405751659382	25.0030269622803	-2.25161990308931E-06	81.0431225001812	-122.605024871803	1.51443872029598	5.80051050683142E-05	-0.0541923842962715	0	64354218.8603964	3732.87322658658	0.489805125493876	0.247517043110468	17239.8618849543	0.0108783442019434	-132.725336066977	25.0030269622803	-1.68080639626773E-06	97.4818852469325	-108.161164392196
15.157858	0.347452580216434	6.4496335070356E-05	0.000127951894059126	0	4957315.57390069	319.728686303793	6.9805719219836	-0.0370734077071988	15504.7569588124	0.0170472331292256	-667.620247494243	25.0024242401123	-8.72299729099184E-06	37.7186580505222	-43.2398885867674	0.420704240780303	6.42886272486604E-05	-0.014339091182207	0	14855421.9272066	955.034682899764	2.59668865534869	0.0285104745435044	15554.8507223856	0.0208675209170029	-173.751008361764	25.0024242401123	-6.42901927827214E-06	29.4493234511465	-95.503711370032	0.613132233662972	5.61618988777318E-05	-0.0331257027695791	0	24755800.0894594	1390.33274126156	1.68694058456763	0.052870966893719	17805.6657624249	0.00672850986259051	-186.011904529855	25.0024242401123	-4.29574791414385E-06	52.5457357428968	-106.341499805725	0.8136910621428	5.5173643014897E-05	-0.052561235594246	0	34654778.5336749	1912.0303795773	1.13945571023782	0.0945373797150031	18124.596190431	0.00737485265740832	-160.173588854926	25.0024242401123	-3.73438983033913E-06	63.3454871177673	-129.410720970774				0								25.0024242401123				1.2433341951934	5.66825324368509E-05	-0.052330577668798	0	54454056.7313521	3086.59383699298	0.615568807065249	0.122114319174095	17642.1193092261	0.010660727954139	-139.197871948169	25.0024242401123	-2.55464151796766E-06	86.5071520581841	-139.105469708464	1.5145506254668	5.75746135727975E-05	-0.0559202466678223	0	64354227.1199517	3705.16975820727	0.491778693160916	0.247563503591899	17368.7661617667	0.0147392901092494	-143.971038306906	25.0024242401123	-2.11129789178444E-06	105.741440564394	-135.864632771512
20.2014501	0.347784531764508	6.37345909699326E-05	1.30422570339649E-05	0	4957318.65247205	315.952676622923	7.06242272728504	-0.0365994837927291	15690.0669602125	0.0153625741563112	-722.110960427765	24.9997158050537	-9.4847413914152E-06	40.7972294026986	-47.0158982676371	0.420079389887292	6.36235159205718E-05	-0.0140933601935814	0	14855424.6095637	945.154344153427	2.62287994672836	0.0286390533777139	15717.4589541453	0.0227534435531122	-189.576914717816	24.9997158050537	-7.09413060636072E-06	32.1316804606467	-105.384050116369	0.613203032687886	5.56608827224991E-05	-0.0330707520367173	0	24755804.1287835	1377.92991031338	1.70172970288282	0.0530406741348576	17965.9385745922	0.00683464123302964	-200.311111939922	24.9997158050537	-4.79676406937658E-06	56.5850598700345	-118.74433075391	0.813661815107272	5.47064409513091E-05	-0.0523099207231533	0	34654783.5084776	1895.83986768693	1.14828840207431	0.0949214906245993	18279.3832428258	0.00550929204098634	-172.752732737469	24.9997158050537	-4.20159189392704E-06	68.3202897831798	-145.601232861141				0								24.9997158050537				1.24315500897876	5.64385387230594E-05	-0.0527119251412389	0	54454060.826912	3073.30762060751	0.619896881017837	0.121858189610758	17718.3892890449	0.0100511972043307	-145.788000202856	24.9997158050537	-2.79863523175917E-06	90.6027119904757	-152.391686093942	1.51402340856588	5.74962862522235E-05	-0.0535337658889078	0	64354227.232752	3700.12907051495	0.492712111558139	0.247828753895347	17392.4276711233	0.0126225190637359	-144.124620294571	24.9997158050537	-2.18962521235846E-06	105.854240894318	-140.905320463829
25.250832	0.348169251818931	6.29692007162153E-05	0.000126209908763202	0	4957321.6108451	312.158579528137	7.14734765003259	-0.0365826157372756	15880.7796291829	0.0157638726049796	-774.474163432885	24.9906044006348	-1.02501316451326E-05	43.7556024538353	-50.809995362424	0.421411119577261	6.30081526733067E-05	-0.0143300569495703	0	14855427.3110684	936.01303204301	2.65069104953214	0.0284144414704192	15870.962051291	0.0247545257786898	-205.515793018602	24.9906044006348	-7.70949385362584E-06	34.8331852573901	-114.525362226785	0.613155037265503	5.52078418978055E-05	-0.0328325887037874	0	24755808.1226184	1366.71474088592	1.71656677242118	0.0527236268115698	18113.3687828459	0.0070383965169833	-214.449287333339	24.9906044006348	-5.24980489407016E-06	60.578894726932	-129.959500181363	0.81346041967931	5.43374374308445E-05	-0.0520572302258017	0	34654787.8417748	1883.05236603163	1.1583326493147	0.0940954589815903	18403.5178558559	0.0057699103597642	-183.709784249003	24.9906044006348	-4.5705954143916E-06	72.6535869911313	-158.388734516441	1.00169319935864	5.46179508944473E-05	-0.0554696731045234	0	44554522.9183217	2433.47674487843	0.83222832480689	0.115959348145886	18308.99884788	0.0802458158738273	-145.249376908938	24.9906044006348	-4.0447209379309E-06	73.8556153774261	-180.20627915953	1.24306520572298	5.61067805843307E-05	-0.0540814781456886	0	54454068.1636277	3055.24245438085	0.622961151972557	0.121935312972852	17823.1577286271	0.012047344603135	-157.593442795426	24.9906044006348	-3.13039337048787E-06	97.9394277259707	-170.456852320598	1.51458885608119	5.69365507077959E-05	-0.0557954823286578	0	64354241.8740473	3664.10855572346	0.495187075851092	0.248283724184162	17563.4102798412	0.0132117040289858	-164.059306869369	24.9906044006348	-2.74936075678604E-06	120.495536118746	-176.925835255322
30.2950707	0.348509768955495	6.21970953603553E-05	0.000120258807415284	0	4957324.59000096	308.331190256523	7.23551087995359	-0.0365863351499485	16077.9212309873	0.0153902332944822	-827.205222120322	25.0002975463867	-1.10222370009926E-05	46.7347583118826	-54.6373846340371	0.421321981743861	6.24082456142769E-05	-0.0139189834504635	0	14855429.7552765	927.101308872934	2.67719083771286	0.0279770179056527	16023.5236571245	0.0233702913455872	-219.936620657332	25.0002975463867	-8.30940091265563E-06	37.2773933317512	-123.437085396861	0.613233136387853	5.47422040818021E-05	-0.0329038109708476	0	24755812.3307402	1355.18773082017	1.73154907540351	0.0526704536998011	18267.4413055361	0.00667006391740555	-229.346038672999	25.0002975463867	-5.7154427100735E-06	64.7870165742934	-141.486510247112	0.813429459136139	5.38994781659119E-05	-0.0524888139804213	0	34654792.9636802	1867.87525669008	1.16741268102113	0.0941209838760525	18553.0553175641	0.00599637452046139	-196.660887887861	25.0002975463867	-5.00855467932427E-06	77.7754923850298	-173.565843857994				0								25.0002975463867				1.24287032179972	5.56904640274874E-05	-0.0544536678073766	0	54454074.0760326	3032.57265348143	0.626852970224311	0.122015743819907	17956.3955420882	0.0115807958111765	-167.107039714605	25.0002975463867	-3.54670992733113E-06	103.851832590997	-193.126653220017	1.51412723908779	5.68678847310026E-05	-0.0517832709690615	0	64354239.5189536	3659.68947491519	0.499053402829783	0.246881278693756	17584.6174819094	0.0128445334563379	-160.852756273517	25.0002975463867	-2.81802673357936E-06	118.140442460775	-181.344916063591
35.3298168	0.349031193932194	6.14467736673848E-05	0.000236516148524379	0	4957327.55198378	304.611784081838	7.32537488437242	-0.0370607723512908	16274.2474554167	0.0155105480684211	-879.632318054046	24.9925880432129	-1.1772558693963E-05	49.696741132997	-58.3567908087228	0.421573161233371	6.16905780411683E-05	-0.0140752302525163	0	14855432.5686601	916.440222212241	2.704091525311	0.0296160762154427	16209.9307828282	0.0252523108541576	-236.535583994724	24.9925880432129	-9.02706848576423E-06	40.0907769482583	-134.098172057554	0.613259872750291	5.42654026392977E-05	-0.0328426108980657	0	24755816.6160607	1343.38435633515	1.74700999543661	0.0525919387150039	18427.9476676328	0.00671761806929563	-244.516073011905	24.9925880432129	-6.19224415257797E-06	69.0723370090127	-153.28988473214	0.813631583185539	5.3414530573973E-05	-0.0525982063981746	0	34654798.2262119	1851.06977938886	1.17656628383249	0.0947808353952464	18721.4974886864	0.00565944945331664	-209.967575256101	24.9925880432129	-5.49350227126317E-06	83.0380241125822	-190.37132115921				0								24.9925880432129				1.24275417811876	5.54279778136857E-05	-0.0536809440642226	0	54454077.5174888	3018.27940050409	0.631003214183407	0.121593123275355	18041.4303289464	0.0105623187434307	-172.644655573978	24.9925880432129	-3.80919614113287E-06	107.293288774788	-207.419906197357	1.5145226706904	5.65459523105136E-05	-0.0551744040656143	0	64354248.8557577	3638.9722867766	0.50169642137621	0.2472295808043	17684.7317825447	0.0118844181557885	-173.565174122097	24.9925880432129	-3.13995915406833E-06	127.477246530354	-202.062104202178
40.3633943	0.349763042729149	6.06829060512806E-05	0.000182074216794972	0	4957330.54253407	300.825223577739	7.41582929939186	-0.0365190617235137	16479.105320944	0.0153800103410164	-932.56505821757	25.0076370239258	-1.25364263100673E-05	52.6872914247215	-62.1433513128221	0.42099424897296	6.10622548969308E-05	-0.013806830964691	0	14855434.8879508	907.10635173281	2.73549193577503	0.0280633132566334	16376.7289905677	0.0272700499810217	-250.219398813695	25.0076370239258	-9.65539163000166E-06	42.4100675955415	-143.432042536985	0.613066085984316	5.37950625158732E-05	-0.0327536091320131	0	24755820.9079022	1331.74093337236	1.76274283200234	0.052619097778511	18589.0666026261	0.00708393948224993	-259.709192025661	25.0076370239258	-6.66258427600245E-06	73.3641785383224	-164.933307694929	0.813305542502426	5.30064004838371E-05	-0.0527586021353601	0	34654803.4026591	1836.92638784999	1.18711546065827	0.0945034664945816	18865.6462403049	0.00624117296234931	-223.056591685436	25.0076370239258	-5.90163236139902E-06	88.2144712880254	-204.514712698081				0								25.0076370239258				1.24339478264507	5.52237592897595E-05	-0.0532628847978636	0	54454082.9330136	3007.15916823734	0.636077486128005	0.120944629727315	18108.1478852787	0.0107367249191569	-181.358727314594	25.0076370239258	-4.0134146650591E-06	112.708813585341	-218.540138464105	1.51464409822705	5.62095994612347E-05	-0.0548520399057175	0	64354254.3471026	3617.32686047706	0.504395303859948	0.247923805294441	17790.5555204971	0.0107405116693279	-181.041851478586	25.0076370239258	-3.47631200334724E-06	132.968591481447	-223.707530501716
45.3980477	0.350142615104837	5.9933400616306E-05	0.000259234114476157	0	4957333.55570927	297.109857982981	7.50893558193365	-0.0365381533411552	16685.187052909	0.014144677179441	-985.898259318899	25.0001220703125	-1.32859317450418E-05	55.7004666281864	-65.8587169075799	0.421646999111589	6.03686449701637E-05	-0.0139621030046053	0	14855437.6088314	896.802638883962	2.76418401144761	0.0294002856641695	16564.8906066094	0.0275952149002941	-266.272594604641	25.0001220703125	-1.03490015567688E-05	45.1309482380748	-153.735755385834	0.613741478181966	5.33194066578784E-05	-0.0327350413550625	0	24755825.5882796	1319.96593169299	1.77932637994021	0.0525880032744769	18754.8973756676	0.0068673977063557	-276.277728066221	25.0001220703125	-7.13824013399722E-06	78.0445559509099	-176.708309374295	0.813483671101555	5.25523820174159E-05	-0.0534639547192749	0	34654809.659079	1821.19279594475	1.1978187289906	0.0944373636217775	19028.6331772478	0.00593375736124939	-238.876396244658	25.0001220703125	-6.35565082782025E-06	94.4708911702037	-220.248304603318				0								25.0001220703125				1.24380820604943	5.47329193465975E-05	-0.0545351455907601	0	54454091.1036664	2980.43137646925	0.640204333723564	0.121999189534648	18270.5401418016	0.0113668867432716	-194.506050527231	25.0001220703125	-4.50425460822103E-06	120.879466429353	-245.267930232197	1.5151649074275	5.59574032594939E-05	-0.0569143953716085	0	64354264.1075096	3601.09750813189	0.508180334960782	0.248102226230272	17870.7363414033	0.0130967320907433	-194.331021030706	25.0001220703125	-3.72850820508805E-06	142.728998497128	-239.936882846886
