Channel A QCM Time [sec],Channel A Fundamental Boffs [mS],Channel A Fundamental Dissipation [ ],Channel A Fundamental Fi [rad],Channel A Flow [ul/min],Channel A Fundamental Frequency [Hz],Channel A Fundamental FWHM [Hz],Channel A Fundamental Gmax [mS],Channel A Fundamental Goffs [mS],Channel A Fundamental Q [ ],Channel A Fundamental Residual [ ],Channel A Fundamental Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A Fundamental Dissipation Variation [ ],Channel A Fundamental Frequency Variation [Hz],Channel A Fundamental FWHM Variation[Hz],Channel A 3. Boffs [mS],Channel A 3. Dissipation  [ ],Channel A 3. Fi [rad],Channel A Flow [ul/min].1,Channel A 3. Overtone [Hz],Channel A 3. FWHM [Hz],Channel A 3. Gmax [mS],Channel A 3. Goffs [mS],Channel A 3. Q  [ ],Channel A 3. Residual  [ ],Channel A 3. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].1,Channel A 3. Dissipation Variation [ ],Channel A 3. Overtone Variation [Hz],Channel A 3. FWHM Variation [Hz],Channel A 5. Boffs [mS],Channel A 5. Dissipation  [ ],Channel A 5. Fi [rad],Channel A Flow [ul/min].2,Channel A 5. Overtone [Hz],Channel A 5. FWHM [Hz],Channel A 5. Gmax [mS],Channel A 5. Goffs [mS],Channel A 5. Q  [ ],Channel A 5. Residual  [ ],Channel A 5. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].2,Channel A 5. Dissipation Variation [ ],Channel A 5. Overtone Variation [Hz],Channel A 5. FWHM Variation [Hz],Channel A 7. Boffs [mS],Channel A 7. Dissipation  [ ],Channel A 7. Fi [rad],Channel A Flow [ul/min].3,Channel A 7. Overtone [Hz],Channel A 7. FWHM [Hz],Channel A 7. Gmax [mS],Channel A 7. Goffs [mS],Channel A 7. Q  [ ],Channel A 7. Residual  [ ],Channel A 7. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].3,Channel A 7. Dissipation Variation [ ],Channel A 7. Overtone Variation [Hz],Channel A 7. FWHM Variation [Hz],Channel A 9. Boffs [mS],Channel A 9. Dissipation  [ ],Channel A 9. Fi [rad],Channel A Flow [ul/min].4,Channel A 9. Overtone [Hz],Channel A 9. FWHM [Hz],Channel A 9. Gmax [mS],Channel A 9. Goffs [mS],Channel A 9. Q  [ ],Channel A 9. Residual  [ ],Channel A 9. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].4,Channel A 9. Dissipation Variation [ ],Channel A 9. Overtone Variation [Hz],Channel A 9. FWHM Variation [Hz],Channel A 11. Boffs [mS],Channel A 11. Dissipation  [ ],Channel A 11. Fi [rad],Channel A Flow [ul/min].5,Channel A 11. Overtone [Hz],Channel A 11. FWHM [Hz],Channel A 11. Gmax [mS],Channel A 11. Goffs [mS],Channel A 11. Q  [ ],Channel A 11. Residual  [ ],Channel A 11. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].5,Channel A 11. Dissipation Variation [ ],Channel A 11. Overtone Variation [Hz],Channel A 11. FWHM Variation [Hz],Channel A 13. Boffs [mS],Channel A 13. Dissipation  [ ],Channel A 13. Fi [rad],Channel A Flow [ul/min].6,Channel A 13. Overtone [Hz],Channel A 13. FWHM [Hz],Channel A 13. Gmax [mS],Channel A 13. Goffs [mS],Channel A 13. Q  [ ],Channel A 13. Residual  [ ],Channel A 13. Sauerbrey Mass [ng/cm2]
5.0394531,0.237154378629184,0.0003392469637988,-0.0039304237002017,0,4998264.61037438,1695.6460933329,1.4475572396857,-0.038543879556363,2947.70508423133,0.005665941623978,0.0,24.9955368041992,0.0,0.0,0.0,0.412830713725352,0.0001637921993706,-0.0078050284833235,0,14973129.3575738,2452.481788938,0.969289901271,-0.0027807372385826,6105.29685688618,0.0041959614894611,0.0,24.9955368041992,0.0,0.0,0.0,0.641595944199938,0.0001282295398315,-0.0169664782546778,0,24948804.4946772,3199.1737196986,0.619283377075888,0.0180531956155026,7798.51507939608,0.0041080821040446,0.0,24.9955368041992,0.0,0.0,0.0,0.863629617991463,0.0001057833178498,-0.0299976593243292,0,34922997.2349481,3694.27051677432,0.453210388054239,0.052925886780023,9453.28640021777,0.0063651377455605,0.0,24.9955368041992,0.0,0.0,0.0,1.06781357819534,9.55414811341489e-05,-0.0347792172082326,0,44898696.6290236,4289.68797692973,0.338830005861676,0.0645393345664116,10466.6579178934,0.0094948784087099,0.0,24.9955368041992,0.0,0.0,0.0,1.32586583717281,8.48874217468327e-05,-0.0300339841385661,0,54874430.11496,4658.14889228571,0.274585356260229,0.062619260212168,11780.3083121359,0.0083308465952338,0.0,24.9955368041992,0.0,0.0,0.0,,,,0,64851584.6511435,,,,,,
10.09946,0.237293197553421,0.0003393102883058,-0.0038429703068135,0,4998264.561348,1695.96258934011,1.44756876550705,-0.0386078111741454,2947.15496247638,0.0061186643088647,0.867766997125,24.9887428283691,6.33245070116102e-08,-0.0490263840183616,0.316496007209025,0.413226380955517,0.0001637909455173,-0.0074999135260305,0,14973129.2755096,2452.46300138898,0.969250725120125,-0.0028328064781844,6105.34359418649,0.0044555749529768,0.484178869053721,24.9887428283691,-1.25385329939956e-09,-0.0820642150938511,-0.018787549022818,0.641889754172919,0.0001280940991947,-0.0170118431975391,0,24948804.7308071,3195.79466797735,0.619225500867245,0.0181766559939406,7806.76086007661,0.0039156726945457,-0.835900078341365,24.9887428283691,-1.35440636797704e-07,0.236129965633154,-3.37905172124465,0.863345759118158,0.0001057910360214,-0.0298021175930748,0,34922996.9655881,3694.54002996291,0.45316064229704,0.0529190680058499,9452.59671903965,0.006528714711668,0.681096090163503,24.9887428283691,7.71817157214016e-09,-0.269360035657883,0.269513188595738,1.06822027776699,9.54897195881733e-05,-0.0322839172149837,0,44898693.8317882,4287.3636838727,0.339189539273858,0.0643020269462009,10472.3315170762,0.0103239988069285,5.50122951641679,24.9887428283691,-5.17615459756437e-08,-2.79723534733057,-2.32429305702863,1.32522333693488,8.51994073820162e-05,-0.0315878609140324,0,54874431.8987001,4675.26907819406,0.274502293185146,0.0619173084237396,11737.1708410624,0.0077855504582106,-2.87019999630072,24.9887428283691,3.11985635183555e-07,1.78374011069536,17.1201859083521,,,,0,64851566.6177969,,,,,,
15.1336543,0.237063379980131,0.000339218379235,-0.003870631397837,0,4998264.53796149,1695.50319555531,1.44735891776685,-0.038394111932239,2947.9534754427,0.005858562664243,1.28170819273219,25.0006809234619,-2.85845638323514e-08,-0.0724128922447562,-0.142897777590179,0.413114609795337,0.0001638392669989,-0.0077986783825072,0,14973129.5009152,2453.18656210994,0.969315012830748,-0.0028571336463313,6103.54293154006,0.0048561873574013,-0.845714269392192,25.0006809234619,4.70676282931647e-08,0.143341401591897,0.704773171937632,0.641601554172079,0.0001282333618661,-0.0176435550965184,0,24948805.6412237,3199.26922191866,0.619230383212844,0.0179738637714113,7798.28264226585,0.0042884514917635,-4.05877457633615,25.0006809234619,3.82203462178906e-09,1.14654649049044,0.0955022200619169,0.863252090874496,0.000105888319838,-0.0293753458951044,0,34922996.3794598,3697.93741032956,0.453005542508284,0.0529181968839194,9443.91224197261,0.0055933667684468,2.16316323599645,25.0006809234619,1.05001988139565e-07,-0.855488285422325,3.66689355524522,1.06870471238325,9.56875524886149e-05,-0.0322374384066198,0,44898693.7908008,4296.2461187775,0.339516126213081,0.063835177552701,10450.6800936201,0.0084304650927431,5.58183800081412,25.0006809234619,1.46071354465937e-07,-2.83822271227837,6.55814184777228,1.32568341690568,8.51021257431306e-05,-0.0317603559983759,0,54874432.3321692,4669.93084041518,0.274584854244088,0.0620704771902947,11750.587793992,0.0090860062302998,-3.56769115139138,25.0006809234619,2.14703996297992e-07,2.21720919013023,11.7819481294719,,,,0,64851530.105316,,,,,,
20.1770626,0.237172903348857,0.0003392513829905,-0.0038579664520579,0,4998264.57410784,1695.66816931884,1.44728037486846,-0.0384481606778541,2947.66668652846,0.0049357495606697,0.641917728167027,25.0005416870117,4.41919168636283e-09,-0.0362665383145213,0.0220759859389545,0.413209501233163,0.000163778704245,-0.0076983711156238,0,14973129.561461,2452.27975806861,0.969323391421343,-0.0027863934285581,6105.79992441553,0.0043333583093835,-1.20293472167104,25.0005416870117,-1.34951256319424e-08,0.203887240961194,-0.202030869395912,0.641665319792812,0.0001282403775516,-0.0167466593303645,0,24948804.3287722,3199.44408658279,0.619471052045907,0.0178345744683669,7797.85601923711,0.0042411335604186,0.587303537428379,25.0005416870117,1.08377200985256e-08,-0.165904954075813,0.270366884192299,0.863308400944326,0.0001058440505298,-0.0292562570428937,0,34922996.2774325,3696.39138264374,0.453005195540651,0.0529037571034776,9447.86216129929,0.0057903666594969,2.42114660069346,25.0005416870117,6.07326800297208e-08,-0.957515604794025,2.12086586941905,1.06799103012217,9.56528350320831e-05,-0.0319826197552378,0,44898693.1238324,4294.68728653006,0.339269198762361,0.064002548663134,10454.473196373,0.009800793702085,6.89354266300797,25.0005416870117,1.11353897934151e-07,-3.50519118458033,4.99930960033089,1.32553457889291,8.48385741889884e-05,-0.0306709106413533,0,54874431.5687465,4655.46853372367,0.274342637155263,0.0625581221194387,11787.091067471,0.0084126343313727,-2.33927461660721,25.0005416870117,-4.8847557844258e-08,1.45378648489714,-2.68035856203824,,,,0,64851530.0321546,,,,,,
25.2081152,0.237289364111313,0.0003392218737222,-0.0038785088101608,0,4998264.61651528,1695.52068857398,1.44724983540836,-0.0383144781495973,2947.92310716012,0.0060138833826978,-0.108693795371801,24.9998054504395,-2.50900766213063e-08,0.006140892393887,-0.125404758922969,0.412963945795404,0.0001638486482784,-0.0076280298202281,0,14973129.31103,2453.32699811037,0.969487426482912,-0.0030129729888704,6103.19346852773,0.0044356557699922,0.274608591943979,24.9998054504395,5.64489077953094e-08,-0.0465438291430473,0.845209172369323,0.641797140605614,0.0001281706238425,-0.0168645730384551,0,24948804.3102081,3197.70381256405,0.619275298503824,0.0180630525830823,7802.09981055221,0.0045416756763127,0.653020548373461,24.9998054504395,-5.89159889942273e-08,-0.18446908146143,-1.46990713454443,0.863088168690646,0.0001059246347987,-0.0297751358884499,0,34922997.9609232,3699.20580508742,0.453119318199239,0.0527342229089619,9440.67451259255,0.0055570926993008,-1.83567982965282,24.9998054504395,1.41316948864843e-07,0.725975073873997,4.93528831310277,1.06809615480012,9.55321109650718e-05,-0.0335643380612263,0,44898696.8974839,4289.26729419756,0.339043282918267,0.064320929184458,10467.6845292953,0.0082369867268358,-0.527972018222014,24.9998054504395,-9.370169077132481e-09,0.268460348248482,-0.420682732173191,1.3253350537058,8.51675257542283e-05,-0.0283285730876213,0,54874426.5376608,4673.51913539473,0.274413622714497,0.0620626643547294,11741.5645358272,0.0075048726884265,5.75619962181557,24.9998054504395,2.80104007395623e-07,-3.57729919999838,15.3702431090296,,,,0,64851607.3607034,,,,,,
30.2486653,0.23752112545762,0.0003392949281368,-0.0038969564346021,0,4998264.73653511,1695.88587459173,1.44752000032315,-0.0386180389042247,2947.28838267988,0.0056988764679306,-2.23304479988292,24.9975757598877,4.79643379893801e-08,0.126160723157227,0.239781258825815,0.412997380653016,0.0001638471627874,-0.0077617186364746,0,14973129.3916725,2453.30476887432,0.969329968918642,-0.0029180783770573,6103.24880204052,0.004726559086195,-0.201182273216546,24.9975757598877,5.49634167774904e-08,0.0340986903756857,0.822979936317097,0.641528209441193,0.0001280672186744,-0.0170059138108163,0,24948804.8585239,3195.12404748371,0.61939020740632,0.0182034840294532,7808.39945108613,0.0043102736270411,-1.28801758401096,24.9975757598877,-1.62321157015535e-07,0.363846775144339,-4.0496722148855,0.863168681076012,0.0001056890685787,-0.0303015276048792,0,34922997.7446821,3690.9791036132,0.452891577777522,0.0532094507509964,9461.7164617635,0.0057828837881608,-1.28889874634998,24.9975757598877,-9.42492711115403e-08,0.509733967483044,-3.29141316111554,1.06784838381659,9.55712629670017e-05,-0.0333642196686934,0,44898693.6824884,4291.02486080396,0.339192354607359,0.0642143947418621,10463.3963071648,0.0085156320467701,5.79485244254271,24.9975757598877,2.97818328527812e-08,-2.94653514027596,1.33688387422899,1.32549150291767,8.49675485759765e-05,-0.0303825564017636,0,54874430.1966274,4662.54581331097,0.274149820534804,0.0624956541238144,11769.1991443747,0.0083447998496858,-0.13141027235172,24.9975757598877,8.01268291438119e-08,0.0816674008965492,4.39692102526442,,,,0,64851527.1454792,,,,,,
35.2929509,0.237118392393172,0.0003391977886584,-0.0038079004127877,0,4998264.5719428,1695.4002899327,1.44736250733605,-0.0383853658450051,2948.13242726366,0.0055584354815658,0.680238936189562,25.01828956604,-4.91751404650773e-08,-0.0384315783157945,-0.245803400203158,0.413033072542332,0.0001639034418633,-0.007505347958837,0,14973129.1294904,2454.14739978784,0.969428858784249,-0.0030726247943057,6101.15314621477,0.0044143081772952,1.34569228012115,25.01828956604,1.11242492715862e-07,-0.228083437308669,1.66561084983323,0.641668425249757,0.0001281367793557,-0.0173057850211816,0,24948804.9548829,3196.8595156928,0.619246143129942,0.0181932501788696,7804.16056208092,0.0038866502930435,-1.62912828437984,25.01828956604,-9.27604757802877e-08,0.460205730050802,-2.31420400579509,0.8634199890693,0.0001058177314612,-0.0292317088541221,0,34922995.8690248,3695.47219869089,0.452947160610588,0.0530388930379233,9450.21204093923,0.005793721473336,3.45383476284998,25.01828956604,3.44136113917658e-08,-1.36592335253954,1.20168191656876,1.06783916855356,9.5810452320519e-05,-0.0357655359604807,0,44898697.9707443,4301.76456117938,0.339426815566297,0.0638937474765575,10437.2745956219,0.0089907023581471,-2.63871742114425,25.01828956604,2.68971186370058e-07,1.34172072261572,12.0765842496476,1.32533249768643,8.49409116835287e-05,-0.0318984441493167,0,54874430.3338824,4661.08414067425,0.27441313053048,0.0624546308026724,11772.8898852155,0.0078319010322499,-0.352265946092931,25.01828956604,5.34899366960522e-08,0.218922339379787,2.9352483885441,,,,0,64851562.3489166,,,,,,
40.336864,0.237482632923945,0.0003391956641481,-0.0037677691081486,0,4998264.56196135,1695.38966768274,1.44731855394965,-0.0383815340989182,2948.15089252784,0.0056370204583935,0.856910678185522,24.9945201873779,-5.1299650710864e-08,-0.0484130326658487,-0.256425650163465,0.413144526118979,0.0001637715823568,-0.0078294731757743,0,14973129.337155,2452.17308438004,0.969324813509082,-0.0027611521371095,6106.0654455966,0.004179974041916,0.120470812544227,24.9945201873779,-2.0617013756619e-08,-0.0204187817871571,-0.308704557960937,0.641681760797002,0.00012810460276,-0.0170775485501929,0,24948804.7392383,3196.05672045781,0.618936102367413,0.0183273035785611,7806.12076736379,0.0039309599401343,-0.865746578872204,24.9945201873779,-1.24937071468328e-07,0.244561180472374,-3.11699924078766,0.863335810079929,0.000105650323148,-0.0298418626350435,0,34922998.2009163,3689.6260452269,0.45305877000616,0.0532163860848717,9465.18638280284,0.0064893967732507,-2.44251957024847,24.9945201873779,-1.32994701772737e-07,0.965968191623688,-4.64447154742038,1.06797541243495,9.52606492500685e-05,-0.0331987573379188,0,44898693.6611273,4277.07870863892,0.338891739694223,0.0646381828397239,10497.5140089052,0.0094059659345825,5.83686255738139,24.9945201873779,-2.80831884080478e-07,-2.96789621561766,-12.6092682908065,1.32537568756778,8.49352423345854e-05,-0.029379732249995,0,54874426.9163582,4660.77274811238,0.274338562537689,0.0626245126620061,11773.6757147369,0.0087405265542566,5.1468411096795,24.9945201873779,4.78205877527311e-08,-3.19860181957483,2.62385582667321,,,,0,64851556.3407156,,,,,,
45.380006,0.237252075274922,0.0003392990860115,-0.0038090987445676,0,4998264.55736118,1695.90659595668,1.44743697769057,-0.0386254213458896,2947.25226570725,0.006079301384493,0.938333622459322,24.9998397827148,5.21222126906025e-08,-0.0530131990090013,0.260502623775892,0.41298761428051,0.0001638053918701,-0.0076489516818155,0,14973129.185193,2452.67929370281,0.969449187384641,-0.0028625163322607,6104.80515069219,0.0042119128485879,1.01704676058143,24.9998397827148,1.31924995098369e-08,-0.172380806878209,0.197504764804762,0.641545200767954,0.0001281808785372,-0.0173504952903438,0,24948805.0180591,3197.95974567034,0.619296264792198,0.0181537269249944,7801.47562890271,0.0041390709152597,-1.85277211077511,24.9998397827148,-4.8661294214426e-08,0.52338195219636,-1.2139740282546,0.863002969135127,0.0001058371945322,-0.0288897342371579,0,34922995.5471142,3696.15187336966,0.453247049901187,0.0530072751770132,9448.47418168348,0.0053890584665913,4.26780855123486,24.9998397827148,5.38766824131822e-08,-1.68783389031887,1.88135659534009,1.06857798955886,9.57141469710828e-05,-0.0330891009139452,0,44898693.1111409,4297.44011124929,0.339274136135175,0.0641781951133557,10447.7763386652,0.0100495920573889,6.91850252076983,24.9998397827148,1.72665836933858e-07,-3.51788263767958,7.75213431955399,1.32551425301798,8.50820767156623e-05,-0.0311742944113087,0,54874431.5812974,4668.83059752831,0.274724911506322,0.0623523231889793,11753.3567421247,0.0076189993703977,-2.35947018827904,24.9998397827148,1.94654968829652e-07,1.46633740514517,10.681705242604,,,,0,64851577.0500475,,,,,,
50.4213001,0.237353703144474,0.0003393178235809,-0.0039824479927164,0,4998264.7288007,1696.00030945791,1.44741715861384,-0.038632907203085,2947.08951462296,0.0055266531465175,-2.09614585004747,25.0064964294434,7.08597820350278e-08,0.118426319211721,0.354216125005451,0.412891287471913,0.0001637904563587,-0.0076389307629255,0,14973129.1787411,2452.45566130391,0.969262238685631,-0.0027189068401497,6105.36182773647,0.0044335283099673,1.05511283390224,25.0064964294434,-1.74301192362313e-09,-0.178832683712244,-0.0261276340911536,0.64169378892044,0.0001281413544368,-0.0170313614276047,0,24948804.9764518,3196.97366126235,0.619257132330759,0.0182224642351471,7803.88192707244,0.0038143327322484,-1.70548232875764,25.0064964294434,-8.81853946942558e-08,0.481774669140577,-2.20005843625404,0.863422522581796,0.000105809068976,-0.0297213329973988,0,34922996.7318532,3695.16977005113,0.453083554568394,0.0530880438739325,9450.98572057488,0.0062449212851867,1.27211136275104,25.0064964294434,2.57511261925354e-08,-0.503094889223576,0.899253276817035,1.06813317660554,9.58030364295995e-05,-0.0317627481962045,0,44898692.2117227,4301.43104560104,0.339648066356,0.0637820665151336,10438.0825208483,0.0095464892825446,8.68735836793979,25.0064964294434,2.61555295450535e-07,-4.41730086505413,11.7430686713124,1.32549176743071,8.50815690759054e-05,-0.0318361081284749,0,54874432.7464434,4668.80284021765,0.274377098841639,0.0622334210135731,11753.4268686071,0.0078375335758036,-4.23429597778754,25.0064964294434,1.94147329072707e-07,2.63148337602615,10.6539479319408,,,,0,64851539.7569426,,,,,,
55.4654799,0.237412093440456,0.0003391928206999,-0.0037002900581723,0,4998264.51031319,1695.37543785762,1.44729112366679,-0.0383739785747191,2948.17560683156,0.0057535690003608,1.77108303559944,25.0044631958008,-5.4143098924674e-08,-0.100061188451946,-0.270655475288095,0.412990070776953,0.0001638218032378,-0.007830115347516,0,14973129.5519265,2452.92508330992,0.969409491819721,-0.0029083963824057,6104.19358251338,0.0044251487151234,-1.14668092671782,25.0044631958008,2.96038671756334e-08,0.194352699443698,0.443294371914817,0.641493408669652,0.0001282081046194,-0.0171434397416919,0,24948804.8282492,3198.63897955114,0.619354234956682,0.0180518787506799,7799.81891915486,0.0037914438230956,-1.18084507875144,25.0044631958008,-2.1435212024302e-08,0.333572056144476,-0.534740147454613,0.863296301674883,0.00010578571114,-0.030780966521255,0,34922999.6302432,3694.35435102774,0.453033752561076,0.0532467742854178,9453.07252958232,0.0060182489334977,-6.05667473003268,25.0044631958008,2.3932901538120604e-09,2.39529509097338,0.0838342534188996,1.0681005358534,9.55209101932009e-05,-0.0331112975265691,0,44898695.3116527,4288.76424265627,0.339390399833324,0.0644936427835746,10468.9119688809,0.0098302758911728,2.59082933217287,25.0044631958008,-2.05709409480326e-08,-1.31737084686756,-0.923734273461378,1.32572427935981,8.51096413333061e-05,-0.0297333195669506,0,54874426.7563488,4670.34277960362,0.274797654355159,0.0622681081140055,11749.5501606428,0.0082921126682942,5.40431076708165,25.0044631958008,2.22219586473461e-07,-3.35861121118069,12.1938873179179,,,,0,64851597.405426,,,,,,
60.5200054,0.237509306345805,0.0003392379247376,-0.0038571283818753,0,4998264.60101834,1695.60091053898,1.44735091049231,-0.0384665540843952,2947.78362641334,0.0060279092873583,0.165601933468133,25.0030765533447,-9.03906125903492e-09,-0.0093560414388775,-0.0451827939261875,0.412933317703247,0.0001638095809339,-0.0074567878350473,0,14973129.1280313,2452.74200773248,0.969515626101352,-0.0028642281522614,6104.64903394944,0.0042631006204918,1.35430063661188,25.0030765533447,1.73815633005918e-08,-0.229542480781674,0.260218794478988,0.641669447766551,0.0001281839522449,-0.0169365032170349,0,24948804.6715554,3198.03638658723,0.619341187794885,0.0180391114364196,7801.28855825165,0.0043320222537673,-0.626149022206664,25.0030765533447,-4.55875865540693e-08,0.17687825486064,-1.1373331113673,0.863437371590552,0.0001058118033877,-0.0305391205578394,0,34922997.606473,3695.26535644782,0.453060043541399,0.0529272380159824,9450.74148613882,0.0059981481941301,-0.939427078089544,25.0030765533447,2.84855379135388e-08,0.371524833142757,0.99483967350352,1.06755040141765,9.564521654071e-05,-0.0329078273365367,0,44898694.3604816,4294.34534450342,0.339494793763652,0.0638184801327431,10455.3059334061,0.0092446236369255,4.4614657998085,25.0030765533447,1.03735406561096e-07,-2.26854193210602,4.65736757369086,1.3253487774153,8.49660942402247e-05,-0.0292755153214959,0,54874429.0740303,4662.46591208258,0.274550012450867,0.06214860211908,11769.4005937557,0.0090892197220205,1.67495051317594,25.0030765533447,7.86724933920228e-08,-1.04092969745398,4.31701979687932,,,,0,64851577.5167273,,,,,,
65.5625209,0.237362687121769,0.0003392649398366,-0.0038279086188199,0,4998264.57935381,1695.73593180232,1.44739569467561,-0.038528550939647,2947.54889933918,0.0056477192835034,0.549064115155488,24.9895763397217,1.79760378069427e-08,-0.0310205714777112,0.0898384694128254,0.412883166304904,0.000163843768313,-0.0076425678057291,0,14973129.3766657,2453.25394051121,0.969423266000217,-0.0029252851819136,6103.37524762953,0.0042672552642149,-0.112642190605402,24.9895763397217,5.15689423815594e-08,0.01909189671278,0.772151573200517,0.641774771614943,0.0001281716737368,-0.0168576876682763,0,24948804.41117,3197.73001911316,0.619223593044972,0.0180639428764027,7802.03590110749,0.0042192764695787,0.295615417957306,24.9895763397217,-5.7866094645766e-08,-0.0835071802139282,-1.44370058544246,0.863060433404841,0.0001058221555736,-0.0305326680132649,0,34922998.5763626,3695.62698844558,0.453095615236141,0.0528458941506587,9449.81695543131,0.0059573817919921,-3.3918622185077,24.9895763397217,3.88377237717555e-08,1.34141443669796,1.35647167126035,1.06810944902135,9.54922025780109e-05,-0.0333673275985748,0,44898695.6311092,4287.47533869434,0.33916647562949,0.0642050318519797,10472.0592153382,0.0089631327351318,1.96256481806437,24.9895763397217,-4.92785561380073e-08,-0.99791431427002,-2.21263823539266,1.32547326157818,8.46018517769158e-05,-0.0325126312159978,0,54874434.5095549,4642.47877471944,0.274197716049753,0.0624369423042895,11820.0722442444,0.0084185085035651,-7.07130267924883,24.9895763397217,-2.85569969916806e-07,4.39459488540888,-15.6701175662656,,,,0,64851608.3896272,,,,,,
70.5965308,0.237300910329113,0.0003392462228626,-0.0038032640602107,0,4998264.61854007,1695.64239270782,1.44727666644066,-0.0384348045628721,2947.71152221443,0.0059736056565153,-0.144532748032361,25.0000038146973,-7.40936216190018e-10,0.0081656919792294,-0.0037006250879585,0.413116162772259,0.0001638884933918,-0.0076055555070829,0,14973129.507274,2453.92363630865,0.96937694524138,-0.0030059276546194,6101.70963991266,0.0045080878903857,-0.883231444843113,25.0000038146973,9.62940212476636e-08,0.149700244888663,1.44184737064961,0.641721205228805,0.000128113908088,-0.0171749618071348,0,24948805.3076719,3196.28895009468,0.619174988502222,0.0180895361291923,7805.55378353166,0.0042733027162224,-2.87800154104829,25.0000038146973,-1.15631743415929e-07,0.812994785606861,-2.88476960392336,0.863006512543808,0.0001057542189796,-0.0298983941232216,0,34922996.9927427,3693.25427139558,0.453017493822713,0.0526768670712665,9455.887525325,0.0062399914381971,0.612433682594981,25.0000038146973,-2.9098870227512e-08,-0.242205411195755,-1.01624537873931,1.06840662406601,9.57033716700906e-05,-0.032691863553916,0,44898695.2709393,4296.95652101684,0.339657933265128,0.0633788880375322,10448.9526601759,0.0089986179102961,2.6708990474542,25.0000038146973,1.61890535941634e-07,-1.35808426141739,7.26854408711097,1.3252857930316,8.48363358583548e-05,-0.0292942688456943,0,54874426.7590349,4655.34529856417,0.274354133295859,0.0618117307979918,11787.4020592972,0.0076806719638978,5.39998861483552,25.0000038146973,-5.10858884778925e-08,-3.35592512786388,-2.8035937215318,,,,0,64851542.3272183,,,,,,
75.6365714,0.237267015443357,0.0003393357692994,-0.0038889694039367,0,4998264.66235253,1696.08998436158,1.44742422345665,-0.0386071428040788,2946.93365825984,0.0053992824253536,-0.920013245288283,24.9999961853027,8.88055005545253e-08,0.0519781494513154,0.443891028673534,0.413076306424042,0.0001638204229014,-0.0076016654880337,0,14973129.2574922,2452.9043671205,0.969334349292247,-0.0029344421734324,6104.24501590716,0.0045611009032276,0.590481419488788,24.9999961853027,2.82235308203256e-08,-0.100081596523523,0.422578182490724,0.64149668562637,0.0001282131073039,-0.0170564732790226,0,24948804.7102614,3198.76377542237,0.619219754343917,0.0177720929269453,7799.51458183783,0.0042175985946447,-0.763168331310153,24.9999961853027,-1.64325275403218e-08,0.215584274381399,-0.409944276226724,0.863148632106561,0.0001058841341944,-0.0299279462371176,0,34922997.6274463,3697.79136725831,0.452885592150995,0.0523164628282692,9444.28556372006,0.0062774400753092,-0.992459684397493,24.9999961853027,1.00816344627465e-07,0.392498180270195,3.52085048399294,1.06795171540894,9.55867135351439e-05,-0.0349533744283897,0,44898697.0001859,4291.71888825799,0.339243700713782,0.0633512733589648,10461.7050112549,0.0096825038413966,-0.729952543477217,24.9999961853027,4.5232400994923e-08,0.371162310242653,2.03091132825921,1.32526427219581,8.48288627228792e-05,-0.0308670098120364,0,54874431.2868275,4654.93559862635,0.274471716736405,0.0613671203579142,11788.4404894926,0.0070318785013859,-1.8856412645768,24.9999961853027,-5.85590239534761e-08,1.17186745256186,-3.21329365935162,,,,0,64851560.7362974,,,,,,
