Time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis,11th_freq,11th_dis,13th_freq,13th_dis,Temp
5.0547253,4960883.12688336,0.0001868559015195,14866043.430629,9.94004691703089e-05,24773492.8356238,7.84802331494313e-05,34679595.0031275,6.71615709135016e-05,44586432.3568918,6.16289441997155e-05,54493088.2224014,5.70969345887775e-05,64400338.3194512,5.47951188740496e-05,25.0044460296631
10.1134594,4960883.24994308,0.0001868664879886,14866043.6608311,9.93800167087298e-05,24773492.6502937,7.84635914058648e-05,34679595.2268706,6.71946791639208e-05,44586432.2421674,6.15946118518218e-05,54493088.9246977,5.70184969815004e-05,64400341.3122723,5.47817120894557e-05,25.0044898986816
15.1649822,4960883.20519675,0.0001868543008623,14866043.7027122,9.93479953633966e-05,24773492.7293111,7.84985944869113e-05,34679595.3777736,6.72542640346662e-05,44586431.6893324,6.15674799139163e-05,54493087.1334809,5.71270396639651e-05,64400341.2094798,5.46960731619776e-05,24.9996700286865
20.2122109,4960883.2902702,0.0001868872498162,14866043.8479236,9.93775791774396e-05,24773493.0336918,7.84793509435084e-05,34679595.0086483,6.71461823291228e-05,44586430.1332315,6.16317628287731e-05,54493089.3137029,5.7051023311657e-05,64400342.8269329,5.48494415756775e-05,24.9957237243652
25.2673595,4960883.19121549,0.0001868440685098,14866043.6089158,9.93637825114313e-05,24773492.9311503,7.84918751444354e-05,34679594.4564133,6.72203126770438e-05,44586432.6174056,6.142619038349e-05,54493088.0793819,5.70607980852029e-05,64400342.5568655,5.45285340427709e-05,24.9997463226318
30.314913,4960883.2448603,0.0001867741025297,14866043.6410763,9.93842420525419e-05,24773493.1212691,7.84622279571481e-05,34679595.3041317,6.71056035272125e-05,44586434.8144103,6.16078609303996e-05,54493087.6971166,5.70285565714752e-05,64400339.3195364,5.48576495705052e-05,25.0061283111572
35.3592744,4960883.25102941,0.0001868670875247,14866043.6162696,9.93866133409312e-05,24773492.8577328,7.84814390420408e-05,34679594.1780258,6.72296545339074e-05,44586431.4807687,6.15669488627953e-05,54493088.4618061,5.7078279421172e-05,64400345.1954165,5.44942580957281e-05,25.0031051635742
40.3965026,4960883.23189442,0.000186876000683,14866043.6556105,9.93829617408848e-05,24773492.6879577,7.84644712730275e-05,34679595.0336245,6.71461131326976e-05,44586431.1914169,6.16295099318922e-05,54493087.2771692,5.70978711827218e-05,64400339.5681366,5.4769362017517e-05,24.9974479675293
45.4340687,4960883.25721823,0.0001868033734847,14866043.6238752,9.93599441014067e-05,24773493.0245332,7.84756477246244e-05,34679594.4311971,6.72164240204539e-05,44586431.4314142,6.15655910361488e-05,54493086.6172748,5.70791833430482e-05,64400342.5612021,5.47536696893246e-05,25.0115432739258
50.4920809,4960883.23455666,0.0001868455117696,14866043.6699776,9.93608284192225e-05,24773492.9765058,7.84525819892108e-05,34679595.1144648,6.7195941521679e-05,44586431.2880495,6.15875937051405e-05,54493088.1703372,5.70365096219922e-05,64400342.8365763,5.46957139853029e-05,24.9938831329346
55.5391659,4960883.27317308,0.0001868371926161,14866043.5747409,9.93586503148568e-05,24773492.8917567,7.84742931391549e-05,34679595.8071502,6.72092013816413e-05,44586433.4693356,6.15235261487035e-05,54493085.9876537,5.70708853561377e-05,64400341.2751042,5.48148350087733e-05,25.0019969940186
60.5940703,4960883.15421796,0.0001869050495119,14866043.5526999,9.93581429051521e-05,24773493.0082495,7.84736436892961e-05,34679594.3779618,6.72334578751279e-05,44586431.706579,6.15012353476259e-05,54493087.462176,5.70870688438107e-05,64400342.6098217,5.47287104933485e-05,24.9897079467773
65.6397912,4960883.27455334,0.0001868524351067,14866043.5868839,9.93683324731839e-05,24773492.8645616,7.85046806684679e-05,34679595.3822254,6.71492881686827e-05,44586433.5328939,6.15635905081801e-05,54493086.5613067,5.70005301165014e-05,64400337.9848267,5.47855878631315e-05,25.0201454162598
70.6892026,4960883.21577867,0.0001868564434963,14866043.5091614,9.93729418465734e-05,24773492.7289115,7.84646994455822e-05,34679594.0589002,6.72090275691564e-05,44586429.3720656,6.16873992504499e-05,54493087.6720481,5.70419651951493e-05,64400342.3086984,5.45093870170212e-05,25.0120677947998
75.7404963,4960883.14046318,0.0001868413343919,14866043.3060925,9.93720322189889e-05,24773492.68209,7.84861537016108e-05,34679594.1089251,6.72144047920165e-05,44586430.0631488,6.1456612570398e-05,54493087.6543881,5.70767792495088e-05,64400337.882723,5.48082022958214e-05,24.9928531646729
80.7857952,4960883.19008812,0.0001868851953799,14866043.3745564,9.93810882288608e-05,24773492.7244271,7.84850834749593e-05,34679594.3873662,6.72460411910322e-05,44586431.8985495,6.16419939894507e-05,54493088.0811721,5.70507351820069e-05,64400341.0557397,5.48254777897575e-05,25.0040187835693
85.8426816,4960883.19184121,0.0001868329315568,14866043.4471355,9.93559361585434e-05,24773492.5877745,7.84589646562665e-05,34679594.5237546,6.71892411735851e-05,44586430.9501835,6.15979810894912e-05,54493086.0652169,5.70817726263743e-05,64400340.3038992,5.47526915767365e-05,25.0014152526855
90.8841714,4960883.06217757,0.0001868701412945,14866043.4500219,9.93738591584811e-05,24773492.5422745,7.84808661802091e-05,34679595.334434,6.71920076787519e-05,44586432.176083,6.15187891594831e-05,54493087.0733303,5.70120192585435e-05,64400341.1514441,5.48440996203171e-05,24.9975967407227
95.9280897,4960883.14444237,0.0001868914365949,14866043.5752663,9.93726235242991e-05,24773492.6781804,7.84569398622632e-05,34679593.9323559,6.71956056161936e-05,44586430.2975789,6.17127421949994e-05,54493087.303508,5.70023696367612e-05,64400342.1391107,5.47395089723363e-05,25.0035400390625
100.9817556,4960883.20242349,0.000186874746882,14866043.5790549,9.93541820579927e-05,24773492.8070701,7.84774633578787e-05,34679594.8126994,6.71702300731189e-05,44586434.3635344,6.1667840989012e-05,54493087.221555,5.71063459574469e-05,64400336.6924619,5.47373907735126e-05,24.9885768890381
106.035856,4960883.13832127,0.0001868247115641,14866043.5591788,9.93483011000147e-05,24773492.5953082,7.84811934714733e-05,34679593.7779279,6.72090689886044e-05,44586434.0174498,6.15427508488483e-05,54493086.7713634,5.70889153323407e-05,64400344.0369451,5.46787688883738e-05,25.0022239685059
111.0790448,4960883.20085933,0.0001868616122521,14866043.4527879,9.9383693843606e-05,24773492.7686638,7.84891775372542e-05,34679594.4099481,6.72371932927858e-05,44586431.277569,6.16785749763931e-05,54493087.4166944,5.71168578090508e-05,64400337.9220396,5.48472632936111e-05,24.9978637695313
116.1304513,4960883.1684696,0.000186896388649,14866043.349238,9.93765539294209e-05,24773491.676038,7.83082245131708e-05,34679593.8635617,6.72306668489619e-05,44586434.0339037,6.16502173579333e-05,54493088.7703964,5.69911007884843e-05,64400340.7193499,5.48394565874343e-05,24.9871520996094
121.187623,4960882.64094695,0.0001871090009701,14866043.0210968,9.93058152046571e-05,24773492.2872492,7.8363420624591e-05,34679594.5843192,6.71578222031511e-05,44586432.5639225,6.16466273088051e-05,54493087.0458414,5.70227894399248e-05,64400340.3719525,5.47596819861601e-05,24.9985256195068
126.2410194,4960882.77640005,0.0001867925903117,14866043.0320345,9.92733940627022e-05,24773492.4579544,7.83890461325346e-05,34679594.8639883,6.71247830413015e-05,44586432.5892054,6.15386622553725e-05,54493088.4280129,5.69902420198283e-05,64400341.2907362,5.46756071690485e-05,24.9892539978027
131.2941288,4960882.72178753,0.0001867246252365,14866043.1101251,9.92602060625526e-05,24773492.4594918,7.83933772798341e-05,34679593.9821191,6.71260983183377e-05,44586430.5144172,6.1623355691494e-05,54493087.3135466,5.69527808926553e-05,64400343.5194156,5.47515741423338e-05,24.9950866699219
136.3493147,4960882.68171813,0.0001867341992681,14866043.1945072,9.92368693796998e-05,24773492.7591331,7.83763612646649e-05,34679595.8693591,6.70792158659608e-05,44586431.4029396,6.14849896412876e-05,54493086.9771331,5.70068588808636e-05,64400337.7711008,5.45809939770712e-05,25.0205345153809
141.3984942,4960882.78075691,0.0001867370829721,14866043.2591247,9.92283263820539e-05,24773492.5965514,7.83777389952762e-05,34679593.7132503,6.70979991252586e-05,44586429.9929502,6.14931665314815e-05,54493087.400434,5.69517709854929e-05,64400344.5331865,5.45469286010772e-05,25.0018310546875
146.4405229,4960882.86817628,0.0001867253734174,14866043.1929952,9.92003600702141e-05,24773492.9524474,7.83460677728912e-05,34679594.9462664,6.70671983697103e-05,44586429.6615431,6.16044168237846e-05,54493088.4776802,5.69299648101649e-05,64400339.2278525,5.46564298374451e-05,24.990327835083
