Time,fundamental_dis,fundamental_freq,3rd_dis,3rd_freq,5th_dis,5th_freq,7th_dis,7th_freq,9th_dis,9th_freq,11th_dis,11th_freq,13th_dis,13th_freq,Temp
5.0599956,0.0002619360795731,5001554.05317117,6.50908212949951e-06,14991215.1297498,1.68376326957122e-05,24981119.4332644,2.86648549182829e-05,34967858.3838954,4.45011080502488e-05,44963398.0439723,2.22752218665272e-05,54956094.5504931,3.3440817463891e-05,64945980.4392845,24.9937648773193
5.0300473,0.0002619248244376,5001555.21829771,6.50369685280334e-06,14991215.9503854,1.69389774368821e-05,24981121.5096986,2.86046195149081e-05,34967862.6186392,4.43204267156311e-05,44963405.6206973,2.22250644185235e-05,54956098.6851364,3.32356699253617e-05,64945989.5873091,25.0075359344482
10.0899926,0.0002619611268447,5001555.33381339,6.49954421991513e-06,14991216.0522529,1.69656168591326e-05,24981122.4571227,2.85935880412437e-05,34967863.0053578,4.43300908857782e-05,44963406.1036229,2.22331839929708e-05,54956099.4530191,3.32258254982557e-05,64945988.334363,24.9994831085205
15.1399944,0.0002619507391632,5001555.34462973,6.50742469807662e-06,14991216.0433495,1.69940147889145e-05,24981122.6119118,2.85732749540202e-05,34967863.031323,4.42455539548594e-05,44963407.3985242,2.22294580418384e-05,54956099.5391506,3.3186444603527e-05,64945989.6127019,25.0152931213379
20.1980186,0.0002619519674766,5001555.43491035,6.50107878442931e-06,14991216.1567289,1.70364599113687e-05,24981122.776102,2.85813698528946e-05,34967863.1981068,4.42218676669073e-05,44963406.4361025,2.2246868384047e-05,54956099.783926,3.32262291432777e-05,64945988.1553371,25.0238800048828
25.2480154,0.0002619325657719,5001555.54554907,6.49701357997167e-06,14991216.1193034,1.70479341890856e-05,24981122.8653651,2.85828647092404e-05,34967863.3049887,4.42040196127656e-05,44963407.5063031,2.22418308312243e-05,54956100.3326791,3.32110115879215e-05,64945989.5027942,25.0006446838379
30.2980597,0.0002619164823699,5001555.64889114,6.50103066328464e-06,14991216.191088,1.70875789594662e-05,24981123.1249762,2.85595786318459e-05,34967863.8474144,4.4247678842686e-05,44963408.1247282,2.22309203104438e-05,54956100.7007245,3.32305424585426e-05,64945989.491427,24.9894180297852
35.3580089,0.0002619918625197,5001555.76457215,6.4969638384866e-06,14991216.2168912,1.71070694566315e-05,24981123.1953683,2.85708196176281e-05,34967863.8854738,4.41330354895241e-05,44963409.1979951,2.22341417681507e-05,54956101.1094246,3.32246546627771e-05,64945989.9326779,24.9966640472412
40.4080052,0.0002619957816678,5001555.85154871,6.4974355724437e-06,14991216.2428707,1.71468467915322e-05,24981123.2654671,2.85626069223779e-05,34967863.9751434,4.41369815235185e-05,44963410.0075208,2.22209887743929e-05,54956101.7709214,3.31539848805656e-05,64945991.7657036,25.0153293609619
45.4580025,0.0002619008258976,5001555.79789993,6.49448479555103e-06,14991216.2941883,1.71525893633988e-05,24981123.382835,2.85537415472248e-05,34967863.9527983,4.4160886715651e-05,44963410.4479783,2.22213588532642e-05,54956101.5627433,3.3161674753091e-05,64945990.7772308,25.014045715332
