Channel A QCM Time [sec]	Channel A Fundamental Boffs [mS]	Channel A Fundamental Dissipation [ ]	Channel A Fundamental Fi [rad]	Channel A Flow [ul/min]	Channel A Fundamental Frequency [Hz]	Channel A Fundamental FWHM [Hz]	Channel A Fundamental Gmax [mS]	Channel A Fundamental Goffs [mS]	Channel A Fundamental Q [ ]	Channel A Fundamental Residual [ ]	Channel A Fundamental Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A Fundamental Dissipation Variation [ ]	Channel A Fundamental Frequency Variation [Hz]	Channel A Fundamental FWHM Variation[Hz]	Channel A 3. Boffs [mS]	Channel A 3. Dissipation  [ ]	Channel A 3. Fi [rad]	Channel A Flow [ul/min]	Channel A 3. Overtone [Hz]	Channel A 3. FWHM [Hz]	Channel A 3. Gmax [mS]	Channel A 3. Goffs [mS]	Channel A 3. Q  [ ]	Channel A 3. Residual  [ ]	Channel A 3. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 3. Dissipation Variation [ ]	Channel A 3. Overtone Variation [Hz]	Channel A 3. FWHM Variation [Hz]	Channel A 5. Boffs [mS]	Channel A 5. Dissipation  [ ]	Channel A 5. Fi [rad]	Channel A Flow [ul/min]	Channel A 5. Overtone [Hz]	Channel A 5. FWHM [Hz]	Channel A 5. Gmax [mS]	Channel A 5. Goffs [mS]	Channel A 5. Q  [ ]	Channel A 5. Residual  [ ]	Channel A 5. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 5. Dissipation Variation [ ]	Channel A 5. Overtone Variation [Hz]	Channel A 5. FWHM Variation [Hz]	Channel A 7. Boffs [mS]	Channel A 7. Dissipation  [ ]	Channel A 7. Fi [rad]	Channel A Flow [ul/min]	Channel A 7. Overtone [Hz]	Channel A 7. FWHM [Hz]	Channel A 7. Gmax [mS]	Channel A 7. Goffs [mS]	Channel A 7. Q  [ ]	Channel A 7. Residual  [ ]	Channel A 7. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 7. Dissipation Variation [ ]	Channel A 7. Overtone Variation [Hz]	Channel A 7. FWHM Variation [Hz]	Channel A 9. Boffs [mS]	Channel A 9. Dissipation  [ ]	Channel A 9. Fi [rad]	Channel A Flow [ul/min]	Channel A 9. Overtone [Hz]	Channel A 9. FWHM [Hz]	Channel A 9. Gmax [mS]	Channel A 9. Goffs [mS]	Channel A 9. Q  [ ]	Channel A 9. Residual  [ ]	Channel A 9. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 9. Dissipation Variation [ ]	Channel A 9. Overtone Variation [Hz]	Channel A 9. FWHM Variation [Hz]	Channel A 11. Boffs [mS]	Channel A 11. Dissipation  [ ]	Channel A 11. Fi [rad]	Channel A Flow [ul/min]	Channel A 11. Overtone [Hz]	Channel A 11. FWHM [Hz]	Channel A 11. Gmax [mS]	Channel A 11. Goffs [mS]	Channel A 11. Q  [ ]	Channel A 11. Residual  [ ]	Channel A 11. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 11. Dissipation Variation [ ]	Channel A 11. Overtone Variation [Hz]	Channel A 11. FWHM Variation [Hz]	Channel A 13. Boffs [mS]	Channel A 13. Dissipation  [ ]	Channel A 13. Fi [rad]	Channel A Flow [ul/min]	Channel A 13. Overtone [Hz]	Channel A 13. FWHM [Hz]	Channel A 13. Gmax [mS]	Channel A 13. Goffs [mS]	Channel A 13. Q  [ ]	Channel A 13. Residual  [ ]	Channel A 13. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 13. Dissipation Variation [ ]	Channel A 13. Overtone Variation [Hz]	Channel A 13. FWHM Variation [Hz]
5.0547253	0.304441652255282	0.000186855901519568	-0.00371119628498873	0	4960883.12688336	926.970289007005	2.413200433892	-0.0380845608241704	5351.71750995125	0.0113199163126189	0	25.0044460296631	0	0	0	0.422384833368279	9.94004691703089E-05	-0.0111094176393587	0	14866043.430629	1477.69169171071	1.67503997216611	0.0262734100803272	10060.3146881192	0.00764143574587676	0	25.0044460296631	0	0	0	0.626761438234952	7.84802331494313E-05	-0.0238787155015148	0	24773492.8356238	1944.22949366552	1.20472090316687	0.0532566102189176	12742.0620437752	0.00476859639289781	0	25.0044460296631	0	0	0	0.835232083856306	6.71615709135016E-05	-0.0379120201394266	0	34679595.0031275	2329.13607905406	0.944781999213148	0.09594289118407	14889.4670925419	0.00613124826964999	0	25.0044460296631	0	0	0	1.03212930816083	6.16289441997155E-05	-0.0424286244940023	0	44586432.3568918	2747.81475178727	0.756278524607636	0.117625605298749	16226.1420017093	0.0157619255185289	0	25.0044460296631	0	0	0	1.27865797689497	5.70969345887775E-05	-0.0369727204205942	0	54493088.2224014	3111.38829377493	0.638837125168744	0.126335057212723	17514.0750935612	0.0083902335751529	0	25.0044460296631	0	0	0	1.55535930981555	5.47951188740496E-05	-0.0441153430886999	0	64400338.3194512	3528.82419374334	0.549525993328633	0.249677014835816	18249.8007221878	0.011490945103738	0	25.0044460296631	0	0	0
10.1134594	0.304696228330576	0.000186866487988653	-0.00372798481560555	0	4960883.24994308	927.022830238598	2.41309000463034	-0.0381071463431668	5351.41432133472	0.0110065886849111	-2.17815694157034	25.0044898986816	1.0586469084906E-08	0.123059714213014	0.0525412315931817	0.422524665868032	9.93800167087298E-05	-0.0112420999275517	0	14866043.6608311	1477.3876674061	1.67512623754771	0.0263845898388175	10062.3851063627	0.00770663116659458	-1.35819229800254	25.0044898986816	-2.04524615790845E-08	0.23020208440721	-0.304024304610948	0.6268411549919	7.84635914058648E-05	-0.0234922855619891	0	24773492.6502937	1943.81720500884	1.20475548619223	0.0531836778918877	12744.7645727475	0.00499656774181008	0.656068476140499	25.0044898986816	-1.66417435664578E-08	-0.185330078005791	-0.412288656679493	0.835149243721628	6.71946791639208E-05	-0.0377796942401587	0	34679595.2268706	2330.28427480421	0.945210046312281	0.0955118805704838	14882.1307347939	0.00654102467472046	-0.565750286834581	25.0044898986816	3.31082504192532E-08	0.223743051290512	1.14819575014462	1.03157655090537	6.15946118518218E-05	-0.0421149069623642	0	44586432.2421674	2746.28398781385	0.755969173431388	0.117529666665954	16235.1863245068	0.0149936474535194	0.225624604771535	25.0044898986816	-3.43323478937599E-08	-0.11472437530756	-1.53076397342147	1.2791803395349	5.70184969815004E-05	-0.0369165452458319	0	54493088.9246977	3107.11402636551	0.639030493348822	0.126301094763569	17538.1683653368	0.00934100298779018	-1.13005858260122	25.0044898986816	-7.84376072771311E-08	0.702296294271946	-4.27426740942747	1.55521550219595	5.47817120894557E-05	-0.0468211627680499	0	64400341.3122723	3527.96095623158	0.549089008863286	0.249982967067069	18254.267014639	0.0114091785453256	-4.07484102243414	25.0044898986816	-1.34067845939393E-08	2.99282108992338	-0.863237511762236
15.1649822	0.304590236006621	0.000186854300862338	-0.0036406427703377	0	4960883.20519675	926.962362966754	2.41329986105402	-0.0381899309002355	5351.76335457611	0.0113859164760634	-1.38614698285237	24.9996700286865	-1.60065722997057E-09	0.0783133888617158	-0.00792604025059518	0.422456189225489	9.93479953633966E-05	-0.011234368028288	0	14866043.7027122	1476.9116408491	1.67514200264792	0.0264938095741003	10065.6283636342	0.00680895568526551	-1.6052907731384	24.9996700286865	-5.24738069122756E-08	0.272083181887865	-0.780050861609652	0.626786097558261	7.84985944869113E-05	-0.0235322189038725	0	24773492.7293111	1944.68435978264	1.20501412326944	0.0528332618638121	12739.0815916677	0.00505851628734242	0.376346732452512	24.9996700286865	1.83613374800504E-08	-0.10631263628602	0.45486611712181	0.834998772775796	6.72542640346662E-05	-0.0379765456897297	0	34679595.3777736	2332.35066415218	0.945275348175707	0.0950369401462468	14868.9456996295	0.00642158048703825	-0.947319455444813	24.9996700286865	9.26931211646284E-08	0.374646112322807	3.21458509811373	1.03122866510447	6.15674799139163E-05	-0.0418414573849571	0	44586431.6893324	2745.07423746617	0.755185051856184	0.117915974931923	16242.3409468473	0.0155624531814497	1.31286680574218	24.9996700286865	-6.14642857992036E-08	-0.667559392750263	-2.74051432109991	1.27849514060887	5.71270396639651E-05	-0.0358481006032592	0	54493087.1334809	3113.02875008627	0.639248930866667	0.125635545438659	17504.8454441581	0.00831151910685855	1.75217202353207	24.9996700286865	3.01050751875422E-08	-1.08892046660185	1.64045631133422	1.55554106524138	5.46960731619776E-05	-0.0468686140037154	0	64400341.2094798	3522.44577445003	0.548156697853413	0.250427828553823	18282.8481496028	0.0110322568749673	-3.93488511872979	24.9996700286865	-9.90457120720808E-08	2.89002861827612	-6.37841929331626
20.2122109	0.304578419045327	0.000186887249816284	-0.00376839097382462	0	4960883.2902702	927.125834778155	2.41312866241227	-0.0382654491158726	5350.81981774054	0.0112098818222875	-2.89194695921615	24.9957237243652	3.13482967158503E-08	0.16338683385402	0.155545771150173	0.422292883524021	9.93775791774396E-05	-0.0113741732088688	0	14866043.8479236	1477.35144955231	1.6750586313679	0.0262959770676439	10062.6319163449	0.00734118288373393	-2.46203786004335	24.9957237243652	-2.28899928693128E-08	0.41729455254972	-0.340242158399633	0.626856932299388	7.84793509435084E-05	-0.0237633505784288	0	24773493.0336918	1944.20765388766	1.20466601577259	0.0531072716791836	12742.205280467	0.00495938788010254	-0.701160892769694	24.9957237243652	-8.82205922816135E-10	0.198068048804998	-0.0218397778564849	0.835500199924666	6.71461823291228E-05	-0.0378210864969359	0	34679595.0086483	2328.60240955083	0.945382683316569	0.0955063966740312	14892.8794655579	0.00655439994358817	-0.0139596385615213	24.9957237243652	-1.53885843788185E-08	0.00552076101303101	-0.533669503230612	1.03134229617965	6.16317628287731E-05	-0.0414922608738665	0	44586430.1332315	2747.94028735299	0.756433560871705	0.117213435166137	16225.3999253311	0.0190598561959756	4.3731986147662	24.9957237243652	2.81862905762611E-09	-2.22366031259298	0.125535565712198	1.2789449104189	5.7051023311657E-05	-0.0371757659627851	0	54493089.3137029	3108.88650876027	0.638549142923175	0.126463790329669	17528.1693815942	0.00866511264347291	-1.75600332401016	24.9957237243652	-4.59112771205802E-08	1.09130150079727	-2.50178501466735	1.55530728730836	5.48494415756775E-05	-0.0475889913709828	0	64400342.8269329	3532.32284133946	0.549244691774144	0.249581366865444	18231.7261812095	0.010574187214127	-6.13710969136311	24.9957237243652	5.432270162784E-08	4.5074816942215	3.49864759611319
25.2673595	0.304503316513879	0.000186844068509809	-0.00358616878727577	0	4960883.19121549	926.911598848628	2.41308529245667	-0.0380841095542318	5352.05643923077	0.011171668334157	-1.13867860855535	24.9997463226318	-1.18330097587571E-08	0.0643321247771382	-0.0586901583766348	0.42237080331782	9.93637825114313E-05	-0.0110304116491848	0	14866043.6089158	1477.14632396177	1.67483436732086	0.0265487822869008	10064.0291132733	0.00784069519830851	-1.05189215391874	24.9997463226318	-3.66866588776097E-08	0.17828680574894	-0.545367748947911	0.626795274868302	7.84918751444354E-05	-0.0237348567972504	0	24773492.9311503	1944.5179140434	1.204989300128	0.0529414588973996	12740.1721281326	0.00479993830846507	-0.338163960501552	24.9997463226318	1.16419950041386E-08	0.0955265425145626	0.288420377884677	0.835064137555388	6.72203126770438E-05	-0.0373732949938177	0	34679594.4564133	2331.17318287318	0.944711463899094	0.0954795338989212	14876.4556452518	0.00624397726752253	1.38240592852235	24.9997463226318	5.87417635422095E-08	-0.546714209020138	2.03710381911333	1.03135601418989	6.142619038349E-05	-0.0425609943174285	0	44586432.6174056	2738.7746984774	0.755637573772249	0.118432417715025	16279.7007881638	0.0200445680374253	-0.512343816210826	24.9997463226318	-2.02753816225514E-07	0.260513804852962	-9.04005330986956	1.27869085087638	5.70607980852029E-05	-0.0368790005793677	0	54493088.0793819	3109.41909593678	0.639069440758982	0.126088782916098	17525.1667266694	0.00902945474689531	0.230131385069002	24.9997463226318	-3.61365035746631E-08	-0.143019504845142	-1.96919783815019	1.55522639817001	5.45285340427709E-05	-0.0476744118843313	0	64400342.5568655	3511.65627147815	0.548774119062565	0.2506159222093	18339.0222670505	0.0127120613348707	-5.76940259824579	24.9997463226318	-2.66584831278708E-07	4.23741433769464	-17.1679222651906
30.314913	0.304444664980528	0.000186774102529775	-0.00375200975735192	0	4960883.2448603	926.564515813782	2.41302834511697	-0.037700938438203	5354.06133107014	0.0108874629926225	-2.0881917597726	25.0061283111572	-8.17989897926774E-08	0.117976935580373	-0.405773193222331	0.422455650883984	9.93842420525419E-05	-0.0110734513980337	0	14866043.6410763	1477.45047958838	1.67510629764005	0.026325143353043	10061.9573017554	0.00702936098340505	-1.24163913726807	25.0061283111572	-1.62271177670383E-08	0.210447311401367	-0.241212122332172	0.626879432278499	7.84622279571481E-05	-0.0238673536478384	0	24773493.1212691	1943.78346457586	1.20463507838148	0.0531720922577481	12744.9860402402	0.0052506739608658	-1.01118454188108	25.0061283111572	-1.80051922831664E-08	0.285645350813866	-0.446029089660442	0.835007806812097	6.71056035272125E-05	-0.037687754016393	0	34679595.3041317	2327.19517296325	0.944676176310412	0.0959813972622408	14901.8851994153	0.00617288468714873	-0.761110679485968	25.0061283111572	-5.59673862890746E-08	0.301004223525524	-1.94090609081832	1.03154504698771	6.16078609303996E-05	-0.0439530943438357	0	44586434.8144103	2746.87487542852	0.756261438109021	0.117544651554415	16231.6948664998	0.0173903726113763	-4.83311972270409	25.0061283111572	-2.10832693158729E-08	2.45751850306988	-0.93987635875601	1.27898531966124	5.70285565714752E-05	-0.0365681609870763	0	54493087.6971166	3107.66213448937	0.638766930124206	0.126251685984979	17535.0747085222	0.00901706849170793	0.845230979472399	25.0061283111572	-6.83780173023495E-08	-0.525284789502621	-3.72615928556297	1.55429974620724	5.48576495705052E-05	-0.0459403438533316	0	64400339.3195364	3532.85124661275	0.547580568186628	0.249855609407969	18228.9982860961	0.0110304825994146	-1.36165442048357	25.0061283111572	6.25306964555108E-08	1.0000851675868	4.02705286940727
35.3592744	0.304723944405015	0.00018686708752472	-0.0037311674169346	0	4960883.25102941	927.025804670031	2.41300276878752	-0.0380994268063454	5351.3971520946	0.0116687884543869	-2.19738501626998	25.0031051635742	1.1186005152155E-08	0.124146046116948	0.0555156630265401	0.422333871008753	9.93866133409312E-05	-0.0110575188204266	0	14866043.6162696	1477.48572879961	1.67498473617688	0.0262572520592958	10061.7172311692	0.00775640674958218	-1.09527957048267	25.0031051635742	-1.3855829377718E-08	0.185640605166554	-0.205962911105644	0.626710100485816	7.84814390420408E-05	-0.0236519712516297	0	24773492.8577328	1944.25936957259	1.20469207329006	0.0531013249540364	12741.8662578845	0.00531247049049112	-0.0782660380750894	25.0031051635742	1.20589260952308E-09	0.0221090503036976	0.0298759070726646	0.834807957493887	6.72296545339074E-05	-0.0368978164985456	0	34679594.1780258	2331.49713596478	0.945439976460039	0.0950776170700869	14874.3884961606	0.0056857630584056	2.08632868709309	25.0031051635742	6.80836204057929E-08	-0.825101740658283	2.36105691071452	1.0303789065798	6.15669488627953E-05	-0.041611735921841	0	44586431.4807687	2745.05054695101	0.7555439363289	0.117849639930384	16242.4810465847	0.0175754684047198	1.72304209768772	25.0031051635742	-6.19953369201959E-08	-0.87612310051918	-2.76420483626089	1.27890737448137	5.7078279421172E-05	-0.0364451971750337	0	54493088.4618061	3110.37172974561	0.63877505269174	0.126224769044683	17519.7993026586	0.00891042582631614	-0.385223987427625	25.0031051635742	-1.86551676055845E-08	0.239404737949371	-1.0165640293244	1.55543550790499	5.44942580957281E-05	-0.0468555253719145	0	64400345.1954165	3509.44903253301	0.54752680817289	0.251394619890432	18350.5571952798	0.00904179755232313	-9.36189115150617	25.0031051635742	-3.00860778321499E-07	6.87596525251865	-19.3751612103329
40.3965026	0.304301014661052	0.00018687600068309	-0.0037172968461214	0	4960883.23189442	927.070018232233	2.41280681827185	-0.038134058591279	5351.14191412855	0.0111525710868009	-1.85869571082294	24.9974479675293	2.00991635223267E-08	0.105011057108641	0.099729225228657	0.422386942219066	9.93829617408848E-05	-0.0111726169234597	0	14866043.6556105	1477.43144786386	1.67511724815451	0.0262165456224576	10062.0869259988	0.00701918076730398	-1.32739075012505	24.9974479675293	-1.75074294240781E-08	0.224981483072042	-0.260243846850926	0.626598813631891	7.84644712730275E-05	-0.0234693003265408	0	24773492.6879577	1943.83900534682	1.20452917057172	0.0532650756089498	12744.6216583856	0.00558775869100923	0.522737771272659	24.9974479675293	-1.5761876403768E-08	-0.147666037082672	-0.39048831870241	0.835296587146893	6.71461131326976E-05	-0.037584278544293	0	34679595.0336245	2328.60001152389	0.944894083047657	0.0957997431910091	14892.8948131927	0.00675380176584847	-0.0771139172571046	24.9974479675293	-1.54577808040332E-08	0.0304970294237137	-0.536067530174023	1.0315996953765	6.16295099318922E-05	-0.0411705222019743	0	44586431.1914169	2747.83990393905	0.756297443558841	0.117335568879639	16225.9930527619	0.015814732946404	2.29210064957539	24.9974479675293	5.65732176640503E-10	-1.16547490656376	0.0251521517789115	1.27850247506275	5.70978711827218E-05	-0.0361363515463886	0	54493087.2771692	3111.43927770062	0.638869711241501	0.126011083610407	17513.7878048001	0.00888179866680522	1.52096453620629	24.9974479675293	9.36593944246425E-10	-0.945232197642326	0.0509839256860687	1.55496529713806	5.4769362017517E-05	-0.0450008157780144	0	64400339.5681366	3527.1655118583	0.54934180965958	0.2496699126863	18258.3832121354	0.0137674973098933	-1.70013321494827	24.9974479675293	-2.57568565326745E-08	1.2486854121089	-1.65868188504646
45.4340687	0.304819917478037	0.000186803373484765	-0.00378579773257708	0	4960883.25721823	926.709727912457	2.41299265179231	-0.0378422486280782	5353.22238215122	0.010771788267801	-2.30692721474916	25.0115432739258	-5.25280348027913E-08	0.130334870889783	-0.260561094547938	0.422142668832837	9.93599441014067E-05	-0.0111773267366246	0	14866043.6238752	1477.08926347731	1.67524726536557	0.0264198240489339	10064.4179004308	0.00732384448790219	-1.14015213344246	25.0115432739258	-4.05250689022228E-08	0.193246124312282	-0.60242823340559	0.626761628030053	7.84756477246244E-05	-0.0239519155382007	0	24773493.0245332	1944.11591150171	1.20460963537329	0.0531660590530898	12742.8065775138	0.00464511736607769	-0.668739474713802	25.0115432739258	-4.58542480689331E-09	0.188909456133842	-0.113582163810179	0.834792969900206	6.72164240204539E-05	-0.0371637123848955	0	34679594.4311971	2331.03832414472	0.945114985173465	0.0953779563427782	14877.3162894786	0.0059172646142453	1.44616677697216	25.0115432739258	5.48531069522921E-08	-0.5719303637743	1.90224509065501	1.03270369041905	6.15655910361488E-05	-0.0415591975395026	0	44586431.4314142	2744.99000326774	0.75631730341346	0.117821966053491	16242.8392738541	0.0174810968699964	1.82010583256682	25.0115432739258	-6.33531635666986E-08	-0.925477541983128	-2.82474851953339	1.27842116499895	5.70791833430482E-05	-0.0358026342440846	0	54493086.6172748	3110.42088195604	0.639066983087657	0.126140137379338	17519.5218542276	0.00927111953519428	2.58279454322024	25.0115432739258	-1.77512457293243E-08	-1.60512655228376	-0.967411818898199	1.55550882995872	5.47536696893246E-05	-0.0474355586008722	0	64400342.5612021	3526.15508447541	0.548518698185429	0.250522416568493	18263.6160402409	0.0115665880853635	-5.77530698913794	25.0115432739258	-4.14491847250685E-08	4.24175089597702	-2.66910926793253
50.4920809	0.304488578770455	0.000186845511769681	-0.00374209834807538	0	4960883.23455666	926.918766790372	2.41307422285804	-0.0380631596792215	5352.01509808097	0.0107372060130251	-1.90581743409857	24.9938831329346	-1.03897498867646E-08	0.107673301361501	-0.0515222166327476	0.422404773355195	9.93608284192225E-05	-0.0111715216198653	0	14866043.6699776	1477.10241436531	1.67484074155737	0.0265249961370317	10064.3283264589	0.0068347011370064	-1.41215628758073	24.9938831329346	-3.9640751086403E-08	0.239348523318768	-0.589277345405662	0.626543933832037	7.84525819892108E-05	-0.0238906207306173	0	24773492.9765058	1943.54448889846	1.20467325051555	0.0532651251854168	12746.5530724983	0.00542855484060297	-0.498722399845719	24.9938831329346	-2.7651160220462E-08	0.140882033854723	-0.685004767059127	0.834763206516874	6.7195941521679E-05	-0.0378252427852506	0	34679595.1144648	2330.32804530709	0.945212997893389	0.0953999631983876	14881.8511558079	0.00658085309282318	-0.28152442031673	24.9938831329346	3.43706081774544E-08	0.111337341368198	1.19196625302266	1.0316612399775	6.15875937051405E-05	-0.0413061032775869	0	44586431.2880495	2745.97101493056	0.756453219229058	0.117511493643419	16237.036387355	0.0184089736228901	2.1020564340055	24.9938831329346	-4.1350494574968E-08	-1.06884225457907	-1.84373685671289	1.2788771795172	5.70365096219922E-05	-0.0364847106127092	0	54493088.1703372	3108.09554775951	0.638992003531932	0.126292543358042	17532.6296547154	0.00827852369082205	0.0837759154086763	24.9938831329346	-6.04249667852957E-08	-0.0520641282200813	-3.29274601542284	1.55531093125814	5.46957139853029E-05	-0.0478821581275965	0	64400342.8365763	3522.42273234483	0.548947899818781	0.250348684963498	18282.9682096975	0.0107758136768757	-6.15023960981232	24.9938831329346	-9.94048887467572E-08	4.51712513715029	-6.40146139851413
