Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()
12658.05742	0.14012648	-0.052039314	0.069883169	-0.152139884	0.146136211	-1.59E-08	-1.05E-07	-1.68E-08	-3.43E-08	1.05E-07
12658.85943	0.067767356	0.006704395	-0.129217784	-0.189461117	-0.126575592	-4.04E-08	-8.50E-08	3.74E-08	-7.05E-08	-3.20E-08
12659.66156	0.055046361	0.004445434	-0.035913697	0.04137868	-0.116846229	-4.35E-08	-1.54E-08	-1.51E-08	-5.22E-08	7.25E-09
12660.46359	0.171961468	0.073960979	0.128240464	-0.047491706	-0.035114114	-4.68E-09	-6.39E-08	-4.01E-09	-1.01E-07	9.35E-08
12661.26564	0.186953506	0.055078224	0.291004441	0.086782836	-0.230415232	-1.58E-08	-8.88E-08	-6.90E-08	-1.23E-07	-1.40E-08
12662.06772	0.132157926	0.039659461	0.063785215	0.065128013	0.081644701	-8.51E-09	-1.80E-09	-1.10E-07	-1.16E-07	1.31E-07
12662.8697	0.185608181	0.122835664	0.072384241	0.19657586	0.147461876	-6.35E-09	-5.46E-09	-5.28E-08	-9.07E-08	9.34E-08
12663.6718	0.116460193	0.055303543	-0.023798873	0.161903401	-0.148906239	-3.92E-08	-2.80E-08	-1.75E-08	-8.83E-08	-1.78E-08
12664.47392	0.129456233	0.042330154	0.092683467	0.216445318	0.002377612	-2.66E-08	-5.86E-08	-1.47E-08	-9.13E-08	9.23E-09
12665.27596	0.162270735	0.040672386	-0.039998299	-0.031888461	0.011555748	-1.36E-09	-3.58E-08	-2.26E-09	-1.99E-07	-2.63E-08
12666.07805	0.120594325	0.044420139	-0.031282982	0.007644464	-0.249028298	1.05E-08	-4.70E-08	-3.20E-08	-9.36E-09	-5.41E-08
12666.88018	0.205961695	-0.068933059	0.080814822	-0.009323626	-0.024370623	1.90E-08	-9.04E-08	-2.01E-09	-1.18E-08	9.31E-09
12667.68235	0.077078734	0.036567819	0.010903225	-0.142327909	-0.089067368	-1.03E-08	5.54E-09	3.76E-09	-1.08E-07	8.90E-08
12668.48437	0.014778995	-0.004459864	0.071144266	-0.147473401	-0.084235903	-3.40E-09	-7.71E-08	-9.91E-09	5.86E-09	5.92E-08
12669.28643	0.055581247	0.011299659	0.006373156	-0.138808752	-0.296649457	1.75E-08	-8.06E-08	-9.42E-08	-1.17E-07	8.35E-08
12670.08843	6.17E-04	0.025227574	0.052154434	-0.029872204	-0.060211226	-4.18E-09	-8.51E-08	-1.32E-08	-5.74E-08	7.36E-08
12670.89046	0.096592141	-0.04967003	0.005611917	-0.157036488	-0.183920358	2.28E-08	-5.41E-08	-2.73E-08	-8.53E-08	7.03E-08
12671.69258	-0.002606491	-0.015111861	-0.028089433	0.077327505	0.007935556	1.12E-08	-4.51E-08	-6.68E-08	-1.96E-08	1.85E-07
12672.49469	0.019407454	-0.048859511	-0.058939286	0.049676023	-0.306311725	-9.45E-09	-5.39E-08	5.21E-08	-8.43E-08	5.99E-08
12673.29668	0.08854765	-0.125671624	0.009395197	-0.097672252	-0.05391398	2.55E-09	-4.74E-08	7.01E-09	-7.65E-08	1.02E-07
12674.09881	0.030986821	0.066902214	0.08803908	0.012452482	-0.263639813	-3.60E-09	-2.64E-08	-1.68E-08	-6.19E-08	-1.38E-08
12674.90083	0.084692177	0.031420656	-0.016076313	0.227118264	-0.50436076	6.47E-09	-7.84E-08	-6.03E-08	-4.08E-08	6.38E-08
12675.70283	0.125028414	0.044309484	3.97E-04	0.009010216	-0.121999919	2.01E-08	-5.31E-08	-3.13E-08	-1.75E-07	4.32E-08
12676.50486	0.102133652	-0.053392329	-0.033261931	0.044619195	-0.035017431	2.67E-09	-7.04E-08	2.21E-08	2.14E-08	-7.24E-09
12677.30692	0.114286721	-0.011593957	-0.051844824	0.060156667	-0.1016159	-3.47E-08	-3.27E-08	-7.99E-08	-1.45E-08	7.94E-08
12678.10895	0.10051887	0.03511994	-0.03651588	0.140002001	-0.31091625	-2.02E-08	-2.03E-08	-2.62E-08	-1.60E-07	8.06E-08
12678.91104	0.026460652	-0.019834753	0.022121109	-0.002385504	-0.339991692	-2.75E-09	-6.78E-08	4.42E-08	-1.15E-07	5.93E-08
12679.71302	0.112972014	0.082614525	-0.021826063	0.227558235	-0.229335148	-8.86E-09	-3.97E-08	-4.05E-08	-8.77E-08	7.72E-08
12680.51503	0.09153177	0.031103601	0.035469181	-0.044794947	-0.217508438	-1.16E-08	-5.42E-08	7.32E-09	-1.61E-07	1.54E-07
12681.31704	0.125934418	0.022887378	-0.041329553	-0.092935972	-0.003910431	-3.90E-08	-7.07E-08	-1.49E-08	-1.51E-07	8.69E-08
12682.119	0.095672575	0.02968872	-0.061075853	0.006938602	-0.17781363	2.49E-08	-3.43E-08	-2.55E-08	-1.48E-07	1.36E-07
12682.92102	0.062697212	-0.114304181	0.041126377	-0.122099532	-0.016999921	-2.91E-08	-6.18E-08	-1.10E-07	-9.79E-08	2.71E-08
12683.72305	0.142870945	-0.132777613	-0.123374481	0.015685773	-0.137338595	-3.49E-09	-4.88E-08	-4.10E-09	-1.09E-07	8.86E-08
12684.5251	0.081541275	0.029813746	-0.023002074	-0.094813828	-0.093693197	-1.59E-09	-6.19E-08	9.19E-09	-6.57E-08	-3.82E-09
12685.32712	-1.88E-04	0.066364311	0.143429254	-0.137100675	-0.074777649	2.93E-08	-4.79E-08	-4.35E-08	-2.47E-07	1.21E-07
12686.12907	0.027561103	-0.071688735	-0.067263419	0.118927853	-0.264890174	-3.20E-08	-1.23E-08	-2.69E-08	-4.90E-09	2.24E-08
12686.9311	0.120977202	-0.0869813	0.075845359	0.086442025	-0.156612499	-1.12E-08	-4.03E-08	4.96E-09	-5.21E-08	1.50E-07
12687.73318	0.095644936	-0.030459436	0.043344982	-0.083860002	-0.054780785	4.15E-09	-4.49E-08	-3.92E-08	-1.80E-07	1.04E-08
12688.5353	0.0477486	-0.05374452	-0.142585933	-0.168846914	-0.134120985	-3.17E-08	-2.93E-08	-6.36E-10	-1.26E-08	-6.06E-09
12689.3374	0.046329215	-6.01E-04	2.07E-04	0.046437807	-0.372401623	1.92E-08	-3.74E-08	3.65E-08	3.66E-09	1.23E-07
12690.13946	0.096055367	-0.03084799	0.025470729	0.113324358	-0.280638403	-1.57E-08	-2.65E-10	-4.22E-08	-1.55E-07	1.53E-07
12690.94154	0.11688813	-0.022974727	0.052056385	-0.064200319	-0.222647939	-1.11E-08	-9.04E-08	1.33E-08	-4.00E-08	7.79E-09
12691.74355	0.141899526	-0.053264129	-0.087031551	0.048426462	-0.353989867	-3.00E-08	-4.69E-08	-6.46E-08	-1.22E-07	2.66E-08
12692.54561	0.119097732	-0.01055297	-0.069743931	0.046200693	-0.213326195	-2.22E-08	-2.83E-08	-1.02E-07	-7.15E-08	1.46E-07
12693.34759	0.108794735	-0.031064826	0.001347397	-0.014198314	-0.111345237	-3.21E-08	-1.43E-08	1.24E-08	-8.03E-08	1.73E-07
12694.14958	0.048755769	-0.081275722	-0.081825898	-0.068307182	-0.02204104	-3.35E-08	-5.93E-08	5.19E-08	-2.03E-07	1.25E-07
12694.95166	0.074022104	0.025055824	-0.062019193	-0.139060909	-0.267628085	-1.76E-08	-4.65E-08	2.12E-08	-3.68E-08	1.21E-07
12695.75369	0.061221819	-0.080485827	0.030856046	-0.024541512	-0.188982874	-2.20E-08	2.68E-11	-3.45E-08	-2.21E-08	-1.53E-08
12696.55565	-0.021177872	0.110535021	0.047256762	-0.126748398	-0.300410166	-3.32E-08	-2.17E-08	-1.52E-08	-1.17E-07	3.64E-08
12697.35764	1.26E-04	0.052965277	-0.144505754	0.022574059	-0.121755133	2.69E-08	-7.56E-08	2.75E-08	-1.18E-07	1.16E-07
12698.15972	0.067641892	-0.043722007	-0.109129079	0.116357015	-0.150067921	-2.63E-08	-3.02E-08	1.98E-08	-2.58E-08	8.04E-08
12698.96176	0.099682533	0.009104526	-0.038463589	-0.071251017	-0.085580615	5.49E-09	-7.37E-08	4.76E-08	-5.63E-08	1.98E-07
12699.76379	0.027954694	0.061410311	-0.080729673	-0.011079467	-0.165104768	-1.47E-08	-1.31E-08	-3.28E-08	-7.25E-08	6.49E-09
12700.56581	0.184782806	0.006781539	-0.064254593	-0.011813499	-0.185294667	-4.17E-10	-8.44E-09	-4.01E-08	-7.22E-08	1.71E-07
12701.36794	0.01853788	0.024176414	0.049553969	-0.039814899	-0.077930534	-3.21E-08	-6.08E-08	1.68E-08	-6.55E-08	6.80E-08
12702.17002	0.053645033	-0.013035434	-0.085887959	-0.016747822	-0.092249566	-1.34E-08	-2.83E-08	-6.71E-08	8.31E-09	4.09E-08
12702.9721	0.065043661	-0.019412081	-0.119075499	-0.079607459	-0.18280249	3.87E-08	-1.18E-08	-5.35E-08	-7.94E-08	1.47E-07
12703.77413	0.062652564	-0.053473132	-0.060127289	0.161497391	-0.192134751	1.02E-08	-8.52E-09	-2.15E-08	-6.41E-08	2.91E-08
12704.5761	0.087262992	0.008472859	-0.076498849	-0.134239111	-0.021546953	1.88E-08	-1.72E-08	-1.53E-08	-5.04E-08	5.49E-08
12705.37819	0.051017689	-0.008126938	0.055349469	-0.015939424	-0.258468299	7.30E-09	-1.05E-07	-3.01E-08	-1.09E-07	5.20E-08
12706.18027	0.022802602	-0.076217014	-0.145333708	-0.076818352	-0.197966203	1.79E-09	-3.45E-08	-3.35E-08	-8.44E-08	1.92E-08
12706.98228	-0.007019735	0.06032197	-0.007748266	0.035386363	-0.372449023	-4.73E-08	8.97E-09	-7.55E-08	-6.99E-08	-2.72E-08
12707.78435	0.108185288	-0.090367747	0.022533112	-0.090739744	-0.28265499	-2.18E-08	-2.91E-08	-2.00E-08	-2.25E-08	-5.47E-08
12708.5864	0.050864904	-0.055318329	0.018526768	-0.086298076	-0.224031795	-2.21E-08	-9.32E-08	-6.04E-08	-5.39E-08	2.58E-08
12709.38849	0.12158729	-0.028605711	-0.055273194	0.036670859	-0.16073322	1.38E-08	-5.02E-08	5.41E-08	-6.98E-08	1.14E-07
12710.19047	0.124931453	-0.099333771	0.009535414	-9.29E-04	-0.260106532	-4.95E-09	-1.25E-08	-1.27E-08	-2.87E-08	1.62E-07
12710.99251	0.158002504	-0.065109473	0.066878307	-0.057401362	-0.216573737	2.04E-08	-8.48E-08	2.71E-09	-8.96E-08	4.45E-08
12711.79466	0.113315074	0.064484878	-0.077156889	0.178293915	-0.029883741	-1.33E-08	-7.06E-08	5.82E-09	4.23E-08	6.72E-08
12712.59672	0.038763504	-0.051764494	-0.009636617	0.073071556	-0.259672895	-5.99E-09	-6.03E-08	4.92E-08	-4.14E-08	-1.13E-08
12713.3988	0.074767303	-0.034538568	-0.104850444	-0.058387669	-0.14970184	-1.81E-08	-3.55E-08	-1.33E-09	-9.99E-08	1.22E-07
12714.20086	0.03667524	-0.029905045	-0.254676225	0.09986306	0.025860154	6.75E-09	-7.31E-08	-5.06E-08	-8.91E-08	-5.32E-08
12715.00289	0.032163764	0.046636114	-0.086386794	0.044933404	-0.147116417	-4.96E-08	-2.33E-08	-3.24E-08	-1.09E-07	1.68E-07
12715.80496	0.048924546	-0.004314352	-1.36E-05	0.002074093	-0.318207689	-1.95E-08	-1.48E-08	2.09E-08	-8.99E-08	1.10E-08
12716.60699	0.039849999	0.07626631	0.029854572	0.117859135	-0.013267346	1.24E-08	-5.88E-08	-1.07E-08	-6.05E-08	1.67E-09
12717.40899	0.028905238	-0.047504146	0.073493352	0.078543837	-0.300532377	8.04E-09	-6.75E-08	-1.45E-08	-1.96E-07	-5.95E-08
12718.21107	0.039399454	-0.082386903	-0.022550733	-0.096167057	0.121311025	-8.21E-09	-4.34E-08	-2.79E-08	-1.16E-07	2.13E-07
12719.01363	0.113757168	-0.0408588	-0.006129068	-0.029411238	-0.233936944	5.76E-09	-1.84E-08	-3.20E-08	-6.12E-08	1.39E-07
12719.81567	0.01234156	-0.082568576	-0.088108569	-0.068068624	-0.236498558	-3.87E-08	-1.07E-07	4.15E-08	-6.40E-08	2.03E-08
12720.61782	0.035422538	0.010771517	-0.10239007	-0.159970049	-0.255223826	-7.09E-08	-1.76E-08	-6.69E-09	-1.27E-07	5.90E-08
12721.41987	0.102822589	-0.051186986	-0.052085259	-0.134819029	-0.10841208	-3.45E-09	-3.69E-08	5.37E-09	-1.35E-07	-3.14E-08
12722.22193	0.096544474	0.047825184	0.067228789	-0.015480357	-0.097854024	-2.85E-08	-4.40E-08	-7.85E-08	-9.08E-08	9.43E-08
12723.0239	0.012290901	0.093543186	0.010974311	0.082358609	-0.192909506	2.06E-08	-3.77E-08	-3.73E-08	-1.18E-08	2.80E-08
12723.82598	0.104221577	0.039118177	-0.079370078	-0.122562052	-0.009252406	-1.44E-08	-5.67E-08	-3.69E-08	-1.50E-07	1.38E-07
12724.628	0.113109424	-0.00655527	-0.014700555	-0.039160348	-0.237293201	-2.39E-08	-2.87E-08	-2.54E-08	-1.19E-08	1.58E-07
12725.43	0.077545376	-0.03397975	-0.014555471	-0.083526818	-0.130445642	-3.41E-08	-2.21E-08	-2.58E-08	-1.30E-07	7.08E-08
12726.23206	0.037717173	-0.057023785	0.118036628	-0.106959331	-0.213663799	-2.46E-08	-3.38E-08	-2.14E-08	-9.83E-08	8.88E-08
12727.03404	0.123913555	0.043613777	0.112858157	0.078710381	-0.015109043	2.20E-08	-4.62E-08	-1.58E-08	-2.09E-08	4.26E-09
12727.83606	0.007479308	-0.06111454	0.0279404	0.062243935	-0.099444909	-2.66E-08	-1.13E-07	3.79E-08	-1.48E-07	1.05E-07
12728.6382	0.109387153	-0.070983386	-0.064354445	-0.111284412	-0.27231282	-2.66E-09	-3.93E-08	-2.53E-08	5.51E-08	2.59E-08
12729.44022	0.077694077	-0.086463343	0.030001882	0.152243343	-0.110280614	-3.29E-08	-5.66E-08	-6.64E-09	-1.00E-07	1.06E-07
12730.24223	0.143230277	-0.047735002	-0.028400597	-0.013734011	-0.091465418	-5.04E-08	-3.82E-08	1.54E-08	-1.37E-07	2.42E-07
12731.04426	0.114519553	0.017312649	-0.155071771	0.018768761	-0.267496593	-1.68E-08	-9.84E-09	-4.61E-08	-2.15E-07	1.05E-07
12731.84633	0.040074011	-0.014043017	-0.126700116	-0.019391575	-0.151478242	-1.90E-08	-2.77E-08	-3.43E-08	-1.87E-07	8.93E-08
12732.64835	0.092601675	0.009916614	0.084388639	0.003182887	-0.130416548	-1.13E-09	-6.25E-08	-4.79E-08	-1.28E-07	1.31E-07
12733.4503	0.024520946	0.010151476	-0.119560055	0.114837545	-0.167152331	-4.80E-08	-9.15E-09	3.64E-09	-8.97E-08	5.61E-08
