Channel A QCM Time [sec]	Channel A Fundamental Boffs [mS]	Channel A Fundamental Dissipation [ ]	Channel A Fundamental Fi [rad]	Channel A Flow [ul/min]	Channel A Fundamental Frequency [Hz]	Channel A Fundamental FWHM [Hz]	Channel A Fundamental Gmax [mS]	Channel A Fundamental Goffs [mS]	Channel A Fundamental Q [ ]	Channel A Fundamental Residual [ ]	Channel A Fundamental Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A Fundamental Dissipation Variation [ ]	Channel A Fundamental Frequency Variation [Hz]	Channel A Fundamental FWHM Variation[Hz]	Channel A 3. Boffs [mS]	Channel A 3. Dissipation  [ ]	Channel A 3. Fi [rad]	Channel A Flow [ul/min]	Channel A 3. Overtone [Hz]	Channel A 3. FWHM [Hz]	Channel A 3. Gmax [mS]	Channel A 3. Goffs [mS]	Channel A 3. Q  [ ]	Channel A 3. Residual  [ ]	Channel A 3. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 3. Dissipation Variation [ ]	Channel A 3. Overtone Variation [Hz]	Channel A 3. FWHM Variation [Hz]	Channel A 5. Boffs [mS]	Channel A 5. Dissipation  [ ]	Channel A 5. Fi [rad]	Channel A Flow [ul/min]	Channel A 5. Overtone [Hz]	Channel A 5. FWHM [Hz]	Channel A 5. Gmax [mS]	Channel A 5. Goffs [mS]	Channel A 5. Q  [ ]	Channel A 5. Residual  [ ]	Channel A 5. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 5. Dissipation Variation [ ]	Channel A 5. Overtone Variation [Hz]	Channel A 5. FWHM Variation [Hz]	Channel A 7. Boffs [mS]	Channel A 7. Dissipation  [ ]	Channel A 7. Fi [rad]	Channel A Flow [ul/min]	Channel A 7. Overtone [Hz]	Channel A 7. FWHM [Hz]	Channel A 7. Gmax [mS]	Channel A 7. Goffs [mS]	Channel A 7. Q  [ ]	Channel A 7. Residual  [ ]	Channel A 7. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 7. Dissipation Variation [ ]	Channel A 7. Overtone Variation [Hz]	Channel A 7. FWHM Variation [Hz]	Channel A 9. Boffs [mS]	Channel A 9. Dissipation  [ ]	Channel A 9. Fi [rad]	Channel A Flow [ul/min]	Channel A 9. Overtone [Hz]	Channel A 9. FWHM [Hz]	Channel A 9. Gmax [mS]	Channel A 9. Goffs [mS]	Channel A 9. Q  [ ]	Channel A 9. Residual  [ ]	Channel A 9. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 9. Dissipation Variation [ ]	Channel A 9. Overtone Variation [Hz]	Channel A 9. FWHM Variation [Hz]	Channel A 11. Boffs [mS]	Channel A 11. Dissipation  [ ]	Channel A 11. Fi [rad]	Channel A Flow [ul/min]	Channel A 11. Overtone [Hz]	Channel A 11. FWHM [Hz]	Channel A 11. Gmax [mS]	Channel A 11. Goffs [mS]	Channel A 11. Q  [ ]	Channel A 11. Residual  [ ]	Channel A 11. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 11. Dissipation Variation [ ]	Channel A 11. Overtone Variation [Hz]	Channel A 11. FWHM Variation [Hz]	Channel A 13. Boffs [mS]	Channel A 13. Dissipation  [ ]	Channel A 13. Fi [rad]	Channel A Flow [ul/min]	Channel A 13. Overtone [Hz]	Channel A 13. FWHM [Hz]	Channel A 13. Gmax [mS]	Channel A 13. Goffs [mS]	Channel A 13. Q  [ ]	Channel A 13. Residual  [ ]	Channel A 13. Sauerbrey Mass [ng/cm2]	Channel A Temp [Celsius]	Channel A 13. Dissipation Variation [ ]	Channel A 13. Overtone Variation [Hz]	Channel A 13. FWHM Variation [Hz]
5.0599956	0.118689666096017	0.000261936079573146	0.0118171749194795	0	5001554.05317117	1310.08746046084	2.13325929449049	-0.0223022155400381	3817.72530775298	0.00944131648874671	0	24.9937648773193	0	0	0	-0.210228600499956	6.50908212949951E-06	-0.00729925834207232	0	14991215.1297498	97.5790505005371	29.7913800591363	-0.0368428554583025	153631.492137416	0.0921788789653521	0	24.9937648773193	0	0	0	0.431070381040899	1.68376326957122E-05	0.0508628022755856	0	24981119.4332644	420.622913345025	6.72038300134432	-0.313809080178492	59390.7717356642	0.307474507471115	0	24.9937648773193	0	0	0	0.806394805233146	2.86648549182829E-05	0.00720197147574256	0	34967858.3838954	1002.34858737742	1.79534971075284	-0.0221574589398559	34885.9257390549	0.00962256726598962	0	24.9937648773193	0	0	0	0.994469369838684	4.45011080502488E-05	0.0225490561263551	0	44963398.0439723	2000.92103466116	0.761990232964067	0.0316789688431328	22471.3505756046	0.0542414698799822	0	24.9937648773193	0	0	0	1.1652688805292	2.22752218665272E-05	-0.260080963883215	0	54956094.5504931	1224.15919903008	1.24414225956687	0.000299997581808917	44892.9310779477	0.0143161485460185	0	24.9937648773193	0	0	0	1.44510621676751	3.3440817463891E-05	-0.108083624495929	0	64945980.4392845	2171.84667688355	0.607791082225406	0.0614090311394776	29903.5752065507	0.0181473206809284	0	24.9937648773193	0	0	0
5.0300473	0.131633645982115	0.000261924824437674	0.0117506381055212	0	5001555.21829771	1310.03147246796	2.13164452166124	-0.0260286373087248	3817.88935870015	0.00963080451638774	-20.622739786841	25.0075359344482	-1.12551354724383E-08	1.16512654162943	-0.0559879928762257	-0.226288333472747	6.50369685280334E-06	-0.0080528051592568	0	14991215.9503854	97.4983239962165	29.7850976960751	-0.0255190099476968	153758.704108258	0.0840589784357403	-4.84174978733063	25.0075359344482	-5.38527669616403E-09	0.820635557174683	-0.0807265043205376	0.441601229045243	1.69389774368821E-05	0.0491209708372678	0	24981121.5096986	423.154653600794	6.69674392680806	-0.31344914680478	59035.4408184434	0.3075442576105	-7.35057694494724	25.0075359344482	1.0134474116986E-07	2.07643416523933	2.53174025576902	0.806400308391862	2.86046195149081E-05	0.00563071207818599	0	34967862.6186392	1000.24240545575	1.79942645738516	-0.0149405669323207	34959.3882721923	0.00983088431997129	-10.707852208295	25.0075359344482	-6.0235403374788E-08	4.23474381119013	-2.1061819216709	0.993500054686735	4.43204267156311E-05	0.0201921755300482	0	44963405.6206973	1992.79732369731	0.766774237551062	0.0394369062640276	22562.9596577715	0.0528401764581109	-14.9008925413092	25.0075359344482	-1.80681334617748E-07	7.57672502100468	-8.123710963848	1.16465317008551	2.22250644185235E-05	-0.260236709256816	0	54956098.6851364	1221.40283346789	1.24817663777511	0.0100902011606977	44994.2452885107	0.0134920956544349	-6.65301681668921	25.0075359344482	-5.01574480037055E-08	4.13464321941137	-2.75636556219115	1.44590879596517	3.32356699253617E-05	-0.111867231965348	0	64945989.5873091	2158.52347289979	0.610474509968285	0.0781100647812742	30088.1553537427	0.0192732213295755	-12.4553873146383	25.0075359344482	-2.05147538529281E-07	9.14802458137274	-13.3232039837644
10.0899926	0.132646368996299	0.000261961126844734	0.0117242820538554	0	5001555.33381339	1310.21307122204	2.13151166331416	-0.0265262791966198	3817.36027801067	0.00920130440690532	-22.6673673402518	24.9994831085205	2.50472715873748E-08	1.2806422226131	0.125610761208463	-0.211073735546899	6.49954421991513E-06	-0.00780851292228986	0	14991216.0522529	97.4360716419192	29.8056437904295	-0.0275588911345373	153856.942296957	0.0909244815250917	-5.44276816230267	24.9994831085205	-9.53790958437465E-09	0.922503078356385	-0.142978858617909	0.455161982109875	1.69656168591326E-05	0.0470088533675742	0	24981122.4571227	423.820152318616	6.68647726048004	-0.31147287991149	58942.7433321825	0.289919235354135	-10.7044582812488	24.9994831085205	1.27984163420359E-07	3.02385827153921	3.19723897359131	0.806383571500865	2.85935880412437E-05	0.00537107467288438	0	34967863.0053578	999.856669457847	1.80005315485022	-0.0145261786469142	34972.8756865906	0.00992130263447004	-11.6856977948121	24.9994831085205	-7.12668770391749E-08	4.62146240472794	-2.49191791957617	0.993644094295883	4.43300908857782E-05	0.0197401309958854	0	44963406.1036229	1993.23187910776	0.766737037754241	0.0398195957811301	22558.040825511	0.0534142018678976	-15.8506460773448	24.9994831085205	-1.71017164470585E-07	8.05965054780245	-7.68915555340118	1.16490301876027	2.22331839929708E-05	-0.260662459798223	0	54956099.4530191	1221.84907067497	1.24814409139152	0.0105789907798052	44977.8133584537	0.0133375084843875	-7.88860988413746	24.9994831085205	-4.20378735564645E-08	4.90252591669559	-2.31012835511001	1.44544825595442	3.32258254982557E-05	-0.11001320948485	0	64945988.334363	2157.8840752093	0.611094487157343	0.0792268366111445	30097.0701255413	0.0188870322179028	-10.7494530178606	24.9994831085205	-2.14991965635313E-07	7.89507848769426	-13.9626016742541
15.1399944	0.133832575351264	0.000261950739163212	0.0118361493277444	0	5001555.34462973	1310.16111949147	2.1312459602007	-0.0267010568318994	3817.51165579623	0.00909362745303531	-22.858816514723	25.0152931213379	1.46595900655123E-08	1.29145856015384	0.0736590306346443	-0.226147935539923	6.50742469807662E-06	-0.00804163541994711	0	14991216.0433495	97.5542095346949	29.7986626744561	-0.0355020742256048	153670.621850694	0.107164479458272	-5.39023819547146	25.0152931213379	-1.65743142288859E-09	0.913599694147706	-0.0248409658421167	0.455582223679666	1.69940147889145E-05	0.0467444634182281	0	24981122.6119118	424.529567110516	6.67701606606507	-0.311973007396175	58844.2467787139	0.284802406693534	-11.2524116208404	25.0152931213379	1.56382093202327E-07	3.1786473505199	3.90665376549134	0.806529533827103	2.85732749540202E-05	0.00542996238720985	0	34967863.031323	999.146364948509	1.80043680505518	-0.0136675162079729	34997.7383274822	0.00931452374878026	-11.7513526548232	25.0152931213379	-9.15799642627139E-08	4.64742760360241	-3.20222242891396	0.993322989273963	4.42455539548594E-05	0.0191477411532855	0	44963407.3985242	1989.43086804572	0.767308798397344	0.0406247387056091	22601.1409196103	0.0529685752719957	-18.3972853084405	25.0152931213379	-2.55554095389434E-07	9.35455185174942	-11.4901666154335	1.16468002099533	2.22294580418384E-05	-0.260635262970024	0	54956099.5391506	1221.64430884865	1.2481976681394	0.0111519410664931	44985.3522347636	0.0130544054704317	-8.02720337882638	25.0152931213379	-4.57638246887916E-08	4.98865746706724	-2.51489018143752	1.44581872118231	3.3186444603527E-05	-0.11117131905578	0	64945989.6127019	2155.32648650317	0.611417942665627	0.0801988799145789	30132.7849954051	0.018110714024516	-12.4899605791156	25.0152931213379	-2.54372860364025E-07	9.17341737449169	-16.5201903803791
20.1980186	0.134662316234618	0.00026195196747664	0.0117984854270671	0	5001555.43491035	1310.16728661825	2.13132750808953	-0.0270787739022854	3817.4937551831	0.00891201444815923	-24.4567835778929	25.0238800048828	1.58879034934788E-08	1.38173918519169	0.0798261574125263	-0.201809506958454	6.50107878442931E-06	-0.00841462736289044	0	14991216.1567289	97.4590773093044	29.8007600800248	-0.02543354584866	153820.624723868	0.113853077997374	-6.05917685460299	25.0238800048828	-8.00334507019481E-09	1.02697912789881	-0.119973191232688	0.458194621513475	1.70364599113687E-05	0.0464448130032605	0	24981122.776102	425.58989671604	6.66783580034205	-0.314391573988164	58697.6405428388	0.284667182665481	-11.8336450447887	25.0238800048828	1.98827215656441E-07	3.34283758327365	4.96698337101549	0.806674329809161	2.85813698528946E-05	0.00520844786684776	0	34967863.1981068	999.429431030513	1.800758098003	-0.0134709396198618	34987.8261660269	0.00929213698857978	-12.1730773364859	25.0238800048828	-8.34850653882355E-08	4.81421137601137	-2.9191563469102	0.99268076946134	4.42218676669073E-05	0.0195597594168225	0	44963406.4361025	1988.36580927069	0.767632401945406	0.0411713472875129	22613.2466302036	0.0532273989528683	-16.5045227336387	25.0238800048828	-2.7924038334153E-07	8.39213020354509	-12.5552253904652	1.16479076981477	2.2246868384047E-05	-0.260294706054825	0	54956099.783926	1222.60111879355	1.2482658994313	0.0114648047864443	44950.1468133416	0.014307159739459	-8.42106927301396	25.0238800048828	-2.8353482480266E-08	5.2334328815341	-1.55808023652867	1.44570711204807	3.32262291432777E-05	-0.109736901200436	0	64945988.1553371	2157.91028438583	0.611735014685213	0.0808053384019198	30096.7044947476	0.0192875099872407	-10.5057024662884	25.0238800048828	-2.14588320613365E-07	7.71605265885592	-13.9363924977206
25.2480154	0.135708032041517	0.000261932565771936	0.0117242828064842	0	5001555.54554907	1310.07027689652	2.13127360554662	-0.0273386977421536	3817.77652218586	0.0091944698719363	-26.4150887732394	25.0006446838379	-3.51380121088032E-09	1.49237789679319	-0.0171835643166105	-0.23425339540446	6.49701357997167E-06	-0.00782911440472966	0	14991216.1193034	97.3981347074047	29.7982233998943	-0.0230783713441024	153916.870834732	0.0877389004041076	-5.83836640808731	25.0006446838379	-1.20685495278324E-08	0.989553628489375	-0.180915793132414	0.459317410564825	1.70479341890856E-05	0.0459349141493297	0	24981122.8653651	425.876538578206	6.6631063365248	-0.314145657657124	58658.1335256573	0.286008196433842	-12.1496364985406	25.0006446838379	2.10301493373374E-07	3.43210070580244	5.25362523318114	0.806170820267254	2.85828647092404E-05	0.00547623588536242	0	34967863.3049887	999.481706017706	1.80165420834068	-0.0134001700140599	34985.9963363545	0.00995761074980624	-12.4433360475515	25.0006446838379	-8.19902090424759E-08	4.921093352139	-2.8668813597177	0.992643702437235	4.42040196127656E-05	0.0190945404554782	0	44963407.5063031	1987.5633472654	0.768209380349974	0.0415369010919587	22622.3770770206	0.0528618550545465	-18.60925060908	25.0006446838379	-2.97088437483188E-07	9.46233081817627	-13.3576873957613	1.16450743739546	2.22418308312243E-05	-0.260724967910775	0	54956100.3326791	1222.32428674324	1.24817930500318	0.011980227255634	44960.3275732205	0.0149886001636056	-9.30406280986287	25.0006446838379	-3.33910353029246E-08	5.78218592703342	-1.83491228684511	1.4457103882089	3.32110115879215E-05	-0.111734499763787	0	64945989.5027942	2156.92200996632	0.61184831182167	0.0816885542685037	30110.4950492893	0.0193045170764255	-12.3403171175948	25.0006446838379	-2.29805875969574E-07	9.06350974738598	-14.9246669172253
30.2980597	0.136683103384117	0.00026191648236994	0.0116804983805132	0	5001555.64889114	1309.98986193507	2.13093891185087	-0.0274925409915917	3818.01095888102	0.00912161797123125	-28.2442434825003	24.9894180297852	-1.95972032059695E-08	1.59571997076273	-0.0975985257639422	-0.210645091059826	6.50103066328464E-06	-0.00850036384082544	0	14991216.191088	97.4583561381925	29.7912284425886	-0.0237474261364866	153821.763316334	0.114259835345603	-6.26189551874995	24.9894180297852	-8.05146621486335E-09	1.06133822351694	-0.120694362344594	0.460902608151114	1.70875789594662E-05	0.0460239373327513	0	24981123.1249762	426.866913894177	6.64996149689508	-0.313902903662206	58522.041207366	0.286090653250554	-13.0686596605182	24.9894180297852	2.49946263753973E-07	3.69171176850796	6.24400054915259	0.806361048184186	2.85595786318459E-05	0.00503088122543661	0	34967863.8474144	998.667457137912	1.80171009801846	-0.0124937637206673	35014.5221990401	0.00994923135539554	-13.8148979851178	24.9894180297852	-1.05276286437003E-07	5.46351897716522	-3.68113023951173	0.992382780061998	4.4247678842686E-05	0.0191107508354071	0	44963408.1247282	1989.52644237559	0.768195431732497	0.0415867400891335	22600.0555544463	0.0525454788071024	-19.8254866850873	24.9894180297852	-2.53429207562855E-07	10.0807559415698	-11.3945922855655	1.16487578870645	2.22309203104438E-05	-0.26065516239253	0	54956100.7007245	1221.72469525053	1.24806908496983	0.0128887283405835	44982.3932628742	0.0135724551325214	-9.89628143236041	24.9894180297852	-4.43015560834267E-08	6.15023139864206	-2.4345037795506	1.44580858821887	3.32305424585426E-05	-0.110508036447885	0	64945989.491427	2158.19046130692	0.611964734678087	0.0825563888367994	30092.7979507879	0.019040366289517	-12.3248401641273	24.9894180297852	-2.10275005348456E-07	9.0521424934268	-13.6562155766255
35.3580089	0.137572315381804	0.000261991862519732	0.0115828170649711	0	5001555.76457215	1310.36691025656	2.13102563503532	-0.0281000242997715	3816.91244293775	0.0087471409703189	-30.2917974307202	24.9966640472412	5.5782946585493E-08	1.71140098478645	0.279449795724076	-0.2214538715098	6.4969638384866E-06	-0.00818702622838707	0	14991216.2168912	97.3973896560758	29.7991640718965	-0.0224326866277261	153918.049239588	0.100312422362221	-6.41413411833346	24.9966640472412	-1.21182910129086E-08	1.08714137598872	-0.18166084446122	0.461866320302249	1.71070694566315E-05	0.0453693598155752	0	24981123.1953683	427.353809607834	6.64690967460157	-0.315587315448142	58455.3656332033	0.28889052392207	-13.3178477411717	24.9966640472412	2.69436760919302E-07	3.76210388168693	6.73089626280938	0.806282776472501	2.85708196176281E-05	0.00514130669820759	0	34967863.8854738	999.060531485643	1.80210580411576	-0.0124017650774526	35000.745984305	0.00897552359921552	-13.9111339305128	24.9966640472412	-9.40353006547937E-08	5.5015783905983	-3.28805589178	0.992864193379789	4.41330354895241E-05	0.0190904470830452	0	44963409.1979951	1984.37173386511	0.768731607686967	0.0428070443917548	22658.7631897056	0.0523179520174568	-21.9362448506057	24.9966640472412	-3.68072560724743E-07	11.1540228053927	-16.5493007960463	1.16472008364414	2.22341417681507E-05	-0.261021066584354	0	54956101.1094246	1221.90174309177	1.2480467168413	0.0136413369049865	44975.8758591911	0.0127114167184314	-10.5539170135829	24.9966640472412	-4.10800983765857E-08	6.55893147736788	-2.25745593831493	1.44511081518863	3.32246546627771E-05	-0.110212025704208	0	64945989.9326779	2157.80808724542	0.612472642229504	0.0834296652712793	30098.130745068	0.0181313361183099	-12.9256202328664	24.9966640472412	-2.16162801113898E-07	9.49339339137077	-14.0385896381272
40.4080052	0.138619500858753	0.00026199578166783	0.0115887123056847	0	5001555.85154871	1310.38653488181	2.13103686960385	-0.0283894527244457	3816.85534642632	0.00905045411453939	-31.8312824408524	25.0153293609619	5.9702094683668E-08	1.79837753903121	0.299074420977149	-0.223444668935456	6.4974355724437E-06	-0.00808471404325277	0	14991216.2428707	97.4044616906237	29.8031185954514	-0.0254963227229981	153906.874312245	0.0846921041331961	-6.5674130929634	25.0153293609619	-1.16465570558062E-08	1.11312086321414	-0.174588809913402	0.459516761895837	1.71468467915322E-05	0.0453919242581371	0	24981123.2654671	428.347493313344	6.64488632341935	-0.320526592801458	58319.7606042553	0.295479579506053	-13.5659973303974	25.0153293609619	3.09214095819981E-07	3.83220263570547	7.72457996831929	0.806480779112162	2.85626069223779E-05	0.00507775643919906	0	34967863.9751434	998.7733536372	1.80230563487675	-0.0119260737967197	35010.8098577141	0.00915255684657018	-14.1378699570894	25.0153293609619	-1.02247995904984E-07	5.59124800562859	-3.57523374022355	0.992530963652496	4.41369815235185E-05	0.0183417267174145	0	44963410.0075208	1984.54919673633	0.768864524244701	0.0431175479479795	22656.7373998411	0.0531107803824276	-23.5283120428522	25.0153293609619	-3.64126526730288E-07	11.9635484963655	-16.3718379248241	1.16492828891641	2.22209887743929E-05	-0.261604346216001	0	54956101.7709214	1221.17892053604	1.24766728007276	0.0146446883740249	45002.4978704991	0.0141982569806761	-11.6183254579929	25.0153293609619	-5.42330921343492E-08	7.22042825073004	-2.98027849404571	1.44508986983367	3.31539848805656E-05	-0.112955010634271	0	64945991.7657036	2153.21842905348	0.612146751048976	0.0849401721722729	30162.2867839994	0.0196611038346904	-15.4213552465233	25.0153293609619	-2.86832583325387E-07	11.3264191076159	-18.6282478300723
45.4580025	0.13933274054688	0.000261900825897604	0.0117027606044348	0	5001555.79789993	1309.91159424294	2.13061945199826	-0.0283099420945627	3818.23920017333	0.00908502822575362	-30.8816991484724	25.014045715332	-3.52536755426577E-08	1.74472876545042	-0.175866217894736	-0.220543763549665	6.49448479555103E-06	-0.0082628342540331	0	14991216.2941883	97.3602262894229	29.8103891363476	-0.0206971630565406	153976.802083675	0.0869867048352649	-6.87018727678806	25.014045715332	-1.45973339484755E-08	1.1644385214895	-0.218824211114125	0.461013453122461	1.71525893633988E-05	0.0454656366958324	0	24981123.382835	428.490951222169	6.64143238012388	-0.320192607653113	58300.235539589	0.303230685908338	-13.9814798842371	25.014045715332	3.14956667686598E-07	3.94957058876753	7.86803787714433	0.80654590771333	2.85537415472248E-05	0.00532448507377464	0	34967863.9527983	998.463349766719	1.80216526058412	-0.0111117250266878	35021.6800255795	0.00965076415160873	-14.0813687107393	25.014045715332	-1.11113371058119E-07	5.56890287995338	-3.88523761070394	0.992420022007623	4.4160886715651E-05	0.0181936532107521	0	44963410.4479783	1985.62407514249	0.769662453479194	0.0431208679584453	22644.4728440109	0.052332818827865	-24.3945450685918	25.014045715332	-3.40221334597792E-07	12.4040059670806	-15.2969595186696	1.16491539980849	2.22213588532642E-05	-0.261233229323755	0	54956101.5627433	1221.19925400215	1.24825942334235	0.0150258556189927	45001.7483900678	0.0129451887703672	-11.2833479650319	25.014045715332	-5.38630132630673E-08	7.01225014775991	-2.95994502793269	1.44564059386242	3.3161674753091E-05	-0.111103011565056	0	64945990.7772308	2153.71782267177	0.612533248276744	0.085802464131964	30155.2924406145	0.0184449492045482	-14.0755115051109	25.014045715332	-2.79142710800055E-07	10.3379463031888	-18.1288542117763
