Time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis,11th_freq,11th_dis,13th_freq,13th_dis,Temp_Time,Temp
0.07979,0.0,0.0,-2.74667e-10,0.0,2.74667e-10,0.0,-8.6402e-12,0.0,-5.8526e-10,0.0,-1.16415e-10,0.0,6.00267e-11,0.0,0.46595,25.05328
0.46608,-0.07203,-0.03915,-0.00353,0.000489577,0.01426,-0.03811,0.07948,0.0245,0.06069,0.02988,-0.19765,0.04283,-0.17121,0.01445,1.47985,25.05348
0.8539,0.02095,-0.02212,0.08097,-0.03074,0.11327,-0.00698,0.094,0.02662,0.09844,0.01976,-0.19121,0.03614,-0.31924,-0.04204,2.49687,25.05348
1.24086,-0.11039,-0.0131,0.09572,-0.0392,0.11709,-0.00951,0.07836,0.0423,0.0489,0.05538,-0.127,0.02947,-0.08667,0.01435,3.51085,25.05328
1.58883,-0.01335,-0.03258,0.06247,-0.02142,0.22991,-0.0131,0.11843,-0.03094,0.22791,0.01958,-0.02017,0.03425,-0.39407,-0.01036,4.52482,25.05358
1.9391,-0.07894,-0.05732,0.13359,0.0328,0.1002,-0.03929,0.20037,0.02785,0.12897,-0.0129,0.01356,-0.000841501,-0.20231,0.000273597,5.53875,25.05388
2.32642,-0.27747,-0.07019,0.10661,-0.03698,0.10866,-0.05629,0.06513,0.01531,-0.0354,0.00355,-0.04694,-4.90754e-05,-0.107,0.00135,6.55274,25.05368
2.71499,-0.02126,-0.05421,0.02252,-0.00687,0.09242,0.01001,0.10046,-0.02503,-0.05307,0.05256,-0.14756,0.03448,-0.0599,0.07928,7.57067,25.05368
3.1015,-0.032,-0.01323,0.07703,-0.02902,0.07723,0.0573,0.07388,0.02285,0.15031,0.0263,-0.03625,0.02606,-0.11081,0.06298,8.58562,25.05378
3.49203,-0.02523,-0.01815,0.08276,-0.00782,0.23433,-0.03443,0.08306,-0.0163,-0.00491,0.00346,-0.11352,0.03135,-0.01477,-0.05493,9.59957,25.05408
3.88313,-0.00587,-0.03991,0.09359,0.00807,0.10834,-0.05078,0.03791,0.00453,0.3446,0.00382,-0.06965,0.01214,-0.11866,-0.05903,10.61359,25.05428
4.27486,0.09345,-0.01624,-0.01226,-0.02528,0.12638,-0.02426,0.08961,0.0047,-0.04785,0.00114,-0.08763,0.0142,-0.26074,-0.06785,11.62755,25.05438
4.66683,-0.09734,-0.04099,-0.01083,-0.02922,0.22892,-0.00211,-0.11221,0.03901,-0.13358,0.0199,-0.05365,0.03884,0.18342,0.04975,12.64146,25.05428
5.0542,0.06629,0.01748,0.00778,-0.04621,0.06784,0.02443,-0.01929,0.02802,0.20784,-0.01417,-0.08963,0.04399,-0.10893,-0.07254,13.65543,25.05428
5.44603,-0.08745,0.0086,0.02859,0.03104,0.14665,0.000985318,-0.10968,-0.01167,0.04922,0.06283,-0.04076,0.02004,-0.34583,0.00604,14.66942,25.05428
5.83504,-0.08265,-0.01746,-0.04173,-0.04401,0.2371,-0.06373,0.19243,-0.03108,-0.00855,0.05418,0.00436,0.06529,-0.0855,-0.01822,15.68338,25.05478
6.22464,-0.09373,0.02082,0.01102,-0.02661,0.18209,0.00451,0.08235,0.03811,-0.05143,-0.04154,-0.11432,0.03109,-0.21157,-0.08504,16.69735,25.05468
6.6141,0.02025,-0.01234,-0.04435,-0.02994,0.00477,-0.07125,-0.04729,0.03299,-0.0146,0.01136,-0.16451,0.01797,-0.51029,0.02293,17.71129,25.05478
7.00171,-0.10289,0.01928,0.07736,-0.03514,0.14981,-0.03679,0.02548,-0.03489,-0.02613,-0.00395,0.08063,0.02733,-0.19276,0.00919,18.71265,25.05468
7.38394,-0.07973,-0.02207,0.1227,0.04538,0.22598,-0.04362,0.06238,-0.06811,0.1151,0.02831,-0.07445,0.04725,0.06556,-0.02922,19.72664,25.05448
7.77399,-0.08396,-0.00832,0.05229,0.00012522,0.03753,-0.03196,0.21539,-0.00562,-0.01872,0.01905,-0.17577,0.02815,-0.25132,0.06691,20.74056,25.05438
8.16201,-0.18713,0.00825,0.17628,-0.01411,0.14702,-0.03723,0.08764,0.00925,-0.06371,-0.04121,-0.02916,0.0089,-0.19705,0.09971,21.75453,25.05418
8.55087,-0.02451,-0.00348,0.06894,-0.03339,0.22373,-0.02432,0.05085,0.04069,0.06769,-0.03288,-0.09205,0.04377,-0.01344,0.07161,22.76848,25.05428
8.93887,-0.15413,-0.06732,0.09786,-0.02504,0.1956,-0.0645,0.12396,-0.04748,0.07729,0.01005,-0.18334,-0.01858,0.22106,0.0375,23.78244,25.05428
9.32834,0.01884,-0.00624,-0.045,0.01479,0.10999,-0.06174,0.03558,-0.00189,0.03072,0.02054,-0.23743,0.00423,-0.03976,-0.00963,24.79643,25.05428
9.71809,-0.04828,-0.02344,-0.05757,-0.00181,0.20416,-0.05082,0.16755,-0.04514,0.16764,0.04404,-0.0545,0.01202,-0.41472,-0.0231,25.8104,25.05468
10.10467,-0.20302,-0.000386291,0.14401,-0.0163,0.12917,-0.00271,0.05622,-0.02189,-0.04071,0.07108,-0.21284,0.04601,-0.01148,-0.000952997,26.82434,25.05468
10.49127,-0.14661,0.00436,0.02688,-0.01307,0.000110158,-0.0482,0.22451,0.03972,0.0458,0.02729,-0.05982,-0.02579,-0.43759,-0.046,27.83832,25.05468
10.87877,-0.10983,0.03099,0.09307,0.01005,0.07999,-0.03946,0.05625,-0.00124,0.03135,0.0573,-0.11027,0.04157,-0.29379,-0.06599,28.85328,25.05438
11.26799,-0.11341,0.01113,-0.04473,-0.01147,0.19786,-0.00548,0.16019,-0.02208,0.09313,0.01454,-0.09987,0.01753,-0.274,0.05739,29.86727,25.05428
11.65709,-0.12129,0.01189,-0.08376,-0.01761,0.06772,-0.02619,-0.05217,0.05502,0.11672,0.02928,-0.11443,-0.01007,-0.20386,0.01983,30.88117,25.05408
12.04358,-0.17935,0.01266,-0.10203,-0.02593,0.19516,-0.07194,-0.0161,0.02308,0.14705,0.02511,-0.14078,0.00158,-0.22603,-0.06631,31.90155,25.05388
12.43319,-0.24888,0.03258,-0.0359,-0.01004,0.05109,-0.05168,0.01723,0.01893,0.06594,0.07108,-0.10441,-0.00831,-0.16856,-0.07143,32.9091,25.05428
12.82293,-0.19242,-0.0093,0.05463,-0.01431,0.10665,-0.05682,0.09104,-0.00912,-0.03857,0.08821,-0.1177,0.02347,-0.06819,-0.01733,33.92309,25.05408
13.2097,-0.07361,0.03432,0.000632962,0.000670716,0.14275,-0.06607,0.04702,0.02811,-0.08555,0.03573,-0.1201,0.06937,-0.27387,-0.03798,34.937,25.05428
13.59827,-0.18852,-0.00977,0.14645,-0.0367,0.16347,-0.03571,-0.01398,0.0021,-0.09852,0.03856,-0.02218,-0.01002,-0.15001,-0.01909,35.95097,25.05438
13.99476,-0.11563,0.01551,-0.03047,-0.000827566,0.13867,-0.00921,0.19454,0.01682,0.08293,0.04079,-0.11388,0.03198,-0.197,0.01467,36.96497,25.05418
14.38437,-0.06297,0.02446,-0.02051,-0.01344,0.13944,-0.03019,0.09776,0.00801,0.10828,0.01382,-0.0702,0.01905,-0.35876,0.07072,37.97991,25.05418
14.77444,-0.18839,0.03918,-0.005,-0.00192,0.0657,-0.03108,0.1156,0.023,0.11301,0.07875,-0.06897,0.09734,-0.20746,-0.03285,38.99392,25.05418
15.16194,-0.20048,0.02546,-0.01267,-0.01822,0.06599,-0.04852,0.09325,0.00759,0.14994,0.08309,-0.11812,0.0417,-0.09783,0.05118,40.00784,25.05398
15.55156,-0.2601,0.03094,-0.03897,-0.02895,-0.05062,-0.03134,-0.04096,0.02868,-0.09053,0.07448,-0.22248,0.02766,-0.17467,-0.05211,41.02182,25.05378
