Date,Time,Relative_time,Temperature,Frequency_0,Dissipation_0,Frequency_1,Dissipation_1,Frequency_2,Dissipation_2,Frequency_3,Dissipation_3,Frequency_4,Dissipation_4,,,,,
,,,,,,,,,,,,,,,,18-36 min,1080-2160,
12/6/2022,11:24:58,1.382,37.02,4961707.42,0.000671151,14869769.01,0.00193402,24778804.07,0.00201024,34686188.97,0.001559787,44594462.83,0.00154588,,,11:42,,
12/6/2022,11:24:59,2.825,37.02,4961707.77,0.000670827,14869770.92,0.001934073,24778808.52,0.0020131,34686193.25,0.001559607,44594469.09,0.001546307,,,,11:42:57,12:00:57
12/6/2022,11:25:01,3.891,37.02,4961708.07,0.000670589,14869772.83,0.001934393,24778809.23,0.002008367,34686197.6,0.00155982,44594475.31,0.001547007,,,,,
12/6/2022,11:25:02,5.192,37.02,4961708.41,0.000670415,14869774.41,0.001934007,24778820.23,0.00202474,34686202.04,0.001560673,44594479.99,0.001544947,,,,,
12/6/2022,11:25:03,6.403,37.02,4961708.75,0.00067031,14869776.3,0.001934507,24778820.76,0.002020153,34686206.14,0.00156084,44594484.94,0.001545507,,,,,
12/6/2022,11:25:04,7.731,37.02,4961709.03,0.000670302,14869777.65,0.001934007,24778831.8,0.00203674,34686210.03,0.001560873,44594489.62,0.001545007,,,,,
12/6/2022,11:25:06,8.988,37.02,4961709.25,0.000670328,14869779.32,0.00193438,24778842.78,0.002053427,34686213.42,0.001560093,44594493.84,0.001543447,,,,,
12/6/2022,11:25:07,10.349,37.02,4961709.43,0.0006704,14869813.39,0.00199962,24778853.8,0.00207052,34686216.78,0.001559667,44594498.07,0.001543827,,,,,
12/6/2022,11:25:08,11.607,37.02,4961709.57,0.000670504,14869814.81,0.0019997,24778853.71,0.002065767,34686219.82,0.001559093,44594501.72,0.00154238,,,,,
12/6/2022,11:25:10,12.906,37.02,4961709.66,0.000670632,14869832.11,0.002031893,24778858.74,0.002071313,34686222.81,0.001558827,44594505.83,0.00154332,,,,,
12/6/2022,11:25:11,14.201,37.02,4961709.77,0.000670786,14869833.14,0.002031767,24778861.03,0.002071893,34686225.68,0.001558713,44594509.52,0.001543033,,,,,
12/6/2022,11:25:12,15.478,37.02,4961709.86,0.000670932,14869834.12,0.002031393,24778869.18,0.00208398,34686228.85,0.00155898,44594513.02,0.001542193,,,,,
12/6/2022,11:25:13,16.717,37.02,4961709.97,0.000671087,14869835.15,0.002031367,24778885.46,0.002112513,34686231.78,0.00155878,44594516.45,0.001541827,,,,,
12/6/2022,11:25:15,18.207,37.02,4961710.07,0.000671266,14869836.1,0.00203112,24778893.25,0.002124227,34686234.61,0.001558793,44594519.63,0.001541027,,,,,
12/6/2022,11:25:16,19.492,37.02,4961710.17,0.000671454,14869836.92,0.002030833,24778898.33,0.002130833,34686237.08,0.001558067,44594522.36,0.00153982,,,,,
12/6/2022,11:25:17,20.575,37.02,4961710.27,0.000671608,14869837.57,0.002030187,24778898.12,0.00212658,34686239.69,0.001557893,44594524.95,0.001538287,,,,,
12/6/2022,11:25:19,21.892,37.02,4961710.35,0.000671811,14869838.16,0.002029587,24778910.63,0.002148367,34686242.32,0.00155792,44594527.83,0.001537707,,,,,
12/6/2022,11:25:20,23.178,37.02,4961710.42,0.000671998,14869838.92,0.002029293,24778918.01,0.002159873,34686244.91,0.0015578,44594530.6,0.001536727,,,,,
12/6/2022,11:25:21,24.479,37.02,4961710.48,0.000672194,14869839.61,0.002028893,24778910.04,0.00214034,34686247.07,0.00155698,44594532.93,0.001534907,,,,,
12/6/2022,11:25:22,25.764,37.02,4961710.52,0.000672375,14869840.36,0.002028713,24778911.59,0.002140253,34686249.3,0.001556413,44594535.21,0.001533147,,,,,
12/6/2022,11:25:24,27.003,37.02,4961710.63,0.000672572,14869841,0.002028327,24778912.49,0.002139327,34686251.64,0.001556107,44594537.48,0.001531693,,,,,
12/6/2022,11:25:25,28.477,37.02,4961710.67,0.000672757,14869841.6,0.002027847,24778903.22,0.002117587,34686254.15,0.00155598,44594539.78,0.00153024,,,,,
12/6/2022,11:25:26,29.607,37.01,4961710.75,0.000672946,14869842.14,0.002027307,24778905.19,0.002118393,34686256.39,0.001555773,44594542.03,0.001529713,,,,,
12/6/2022,11:25:28,30.861,37.01,4961710.85,0.000673168,14869842.84,0.00202712,24778910.47,0.002125707,34686258.33,0.00155472,44594544.12,0.001528453,,,,,
12/6/2022,11:25:29,32.161,37.01,4961710.91,0.000673397,14869843.65,0.002027073,24778912.86,0.002127313,34686260.58,0.001554567,44594545.99,0.001527007,,,,,
12/6/2022,11:25:30,33.449,37.01,4961711.01,0.000673603,14869844.36,0.002026693,24778912.59,0.002124073,34686262.55,0.001553573,44594547.84,0.00152526,,,,,
12/6/2022,11:25:31,34.748,37.01,4961711.09,0.000673836,14869844.78,0.002026007,24778903.84,0.002103587,34686264.39,0.001552573,44594549.65,0.00152394,,,,,
12/6/2022,11:25:33,36.051,37.01,4961711.17,0.00067408,14869845.47,0.002025813,24778903.86,0.002100947,34686266.19,0.00155148,44594551.73,0.00152258,,,,,
12/6/2022,11:25:34,37.319,37.01,4961711.23,0.000674272,14869846.02,0.002025433,24778907.35,0.002105053,34686267.8,0.00155036,44594553.58,0.001521407,,,,,
12/6/2022,11:25:35,38.584,37.01,4961711.39,0.000674495,14869846.55,0.00202494,24778898.89,0.00208504,34686269.51,0.001549393,44594555.89,0.001521167,,,,,
12/6/2022,11:25:36,39.846,37.01,4961711.45,0.000674716,14869862.02,0.00205434,24778895.23,0.002074927,34686271.41,0.001548427,44594557.56,0.001519367,,,,,
12/6/2022,11:25:38,41.32,37.01,4961711.56,0.000674931,14869862.48,0.002053887,24778894.17,0.0020699,34686273.18,0.001547533,44594559.24,0.00151776,,,,,
12/6/2022,11:25:39,42.59,37.01,4961711.67,0.00067515,14869803.54,0.001934593,24778898.76,0.00207636,34686274.86,0.001546733,44594560.64,0.001515793,,,,,
12/6/2022,11:25:41,43.86,37.01,4961711.8,0.00067539,14869804.15,0.001934493,24778900.67,0.002077507,34686276.29,0.001545173,44594562.02,0.001513953,,,,,
12/6/2022,11:25:42,44.973,37.01,4961711.87,0.000675626,14869804.62,0.00193424,24778902.73,0.002079047,34686277.76,0.001544087,44594563.85,0.00151342,,,,,
12/6/2022,11:25:43,46.259,37.01,4961711.97,0.00067587,14869805.25,0.001934207,24778904.82,0.002080627,34686279.23,0.00154288,44594566.13,0.001514053,,,,,
12/6/2022,11:25:44,47.574,37.01,4961712.11,0.000676088,14869806.02,0.001934387,24778906.92,0.002082367,34686280.65,0.001541707,44594568.06,0.001514007,,,,,
12/6/2022,11:25:45,48.831,37.01,4961712.26,0.000676296,14869806.62,0.001934167,24778909.11,0.002084213,34686282.04,0.00154034,44594569.93,0.001513253,,,,,
12/6/2022,11:25:47,50.115,37.01,4961712.41,0.000676493,14869807.28,0.00193422,24778913.42,0.002090293,34686283.38,0.001539327,44594571.15,0.001511427,,,,,
12/6/2022,11:25:48,51.417,37.01,4961712.49,0.000676673,14869807.96,0.001934353,24778912.26,0.002085533,34686284.54,0.001538,44594572.65,0.001510473,,,,,
12/6/2022,11:25:49,52.67,37.01,4961712.58,0.000676848,14869808.22,0.001933567,24778924.4,0.002107287,34686286.05,0.00153736,44594574.28,0.001509587,,,,,
12/6/2022,11:25:51,53.929,37.01,4961712.68,0.000677032,14869808.83,0.001933567,24778934.31,0.002124733,34686287.41,0.001536347,44594575.44,0.001507927,,,,,
12/6/2022,11:25:52,55.181,37.01,4961712.79,0.000677225,14869811.96,0.001938487,24778936.48,0.002126473,34686288.84,0.001535593,44594576.78,0.001506853,,,,,
12/6/2022,11:25:53,56.481,37.01,4961712.9,0.000677406,14869844.6,0.002002607,24778931.75,0.002114907,34686290.06,0.001534313,44594578.4,0.001506113,,,,,
12/6/2022,11:25:54,57.752,37.01,4961713.03,0.000677584,14869834.97,0.001982207,24778927.82,0.002104873,34686291.38,0.00153368,44594580.51,0.001506753,,,,,
12/6/2022,11:25:56,59.099,37.01,4961713.23,0.000677774,14869883.7,0.00207848,24778926.59,0.002099947,34686292.67,0.001532967,44594582.34,0.00150672,,,,,
