Channel A QCM Time [sec],Channel A Fundamental Boffs [mS],Channel A Fundamental Dissipation [ ],Channel A Fundamental Fi [rad],Channel A Flow [ul/min],Channel A Fundamental Frequency [Hz],Channel A Fundamental FWHM [Hz],Channel A Fundamental Gmax [mS],Channel A Fundamental Goffs [mS],Channel A Fundamental Q [ ],Channel A Fundamental Residual [ ],Channel A Fundamental Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A Fundamental Dissipation Variation [ ],Channel A Fundamental Frequency Variation [Hz],Channel A Fundamental FWHM Variation[Hz],Channel A 3. Boffs [mS],Channel A 3. Dissipation  [ ],Channel A 3. Fi [rad],Channel A Flow [ul/min].1,Channel A 3. Overtone [Hz],Channel A 3. FWHM [Hz],Channel A 3. Gmax [mS],Channel A 3. Goffs [mS],Channel A 3. Q  [ ],Channel A 3. Residual  [ ],Channel A 3. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].1,Channel A 3. Dissipation Variation [ ],Channel A 3. Overtone Variation [Hz],Channel A 3. FWHM Variation [Hz],Channel A 5. Boffs [mS],Channel A 5. Dissipation  [ ],Channel A 5. Fi [rad],Channel A Flow [ul/min].2,Channel A 5. Overtone [Hz],Channel A 5. FWHM [Hz],Channel A 5. Gmax [mS],Channel A 5. Goffs [mS],Channel A 5. Q  [ ],Channel A 5. Residual  [ ],Channel A 5. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].2,Channel A 5. Dissipation Variation [ ],Channel A 5. Overtone Variation [Hz],Channel A 5. FWHM Variation [Hz],Channel A 7. Boffs [mS],Channel A 7. Dissipation  [ ],Channel A 7. Fi [rad],Channel A Flow [ul/min].3,Channel A 7. Overtone [Hz],Channel A 7. FWHM [Hz],Channel A 7. Gmax [mS],Channel A 7. Goffs [mS],Channel A 7. Q  [ ],Channel A 7. Residual  [ ],Channel A 7. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].3,Channel A 7. Dissipation Variation [ ],Channel A 7. Overtone Variation [Hz],Channel A 7. FWHM Variation [Hz],Channel A 9. Boffs [mS],Channel A 9. Dissipation  [ ],Channel A 9. Fi [rad],Channel A Flow [ul/min].4,Channel A 9. Overtone [Hz],Channel A 9. FWHM [Hz],Channel A 9. Gmax [mS],Channel A 9. Goffs [mS],Channel A 9. Q  [ ],Channel A 9. Residual  [ ],Channel A 9. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].4,Channel A 9. Dissipation Variation [ ],Channel A 9. Overtone Variation [Hz],Channel A 9. FWHM Variation [Hz],Channel A 11. Boffs [mS],Channel A 11. Dissipation  [ ],Channel A 11. Fi [rad],Channel A Flow [ul/min].5,Channel A 11. Overtone [Hz],Channel A 11. FWHM [Hz],Channel A 11. Gmax [mS],Channel A 11. Goffs [mS],Channel A 11. Q  [ ],Channel A 11. Residual  [ ],Channel A 11. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].5,Channel A 11. Dissipation Variation [ ],Channel A 11. Overtone Variation [Hz],Channel A 11. FWHM Variation [Hz],Channel A 13. Boffs [mS],Channel A 13. Dissipation  [ ],Channel A 13. Fi [rad],Channel A Flow [ul/min].6,Channel A 13. Overtone [Hz],Channel A 13. FWHM [Hz],Channel A 13. Gmax [mS],Channel A 13. Goffs [mS],Channel A 13. Q  [ ],Channel A 13. Residual  [ ],Channel A 13. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius].6,Channel A 13. Dissipation Variation [ ],Channel A 13. Overtone Variation [Hz],Channel A 13. FWHM Variation [Hz]
5.0394531,0.237154379,0.000339247,-0.003930424,0,4998264.61,1695.646093,1.44755724,-0.03854388,2947.705084,0.005665942,0,24.9955368,0,0,0,0.412830714,0.000163792,-0.007805028,0,14973129.36,2452.481789,0.969289901,-0.002780737,6105.296857,0.004195961,0,24.9955368,0,0,0,0.641595944,0.00012823,-0.016966478,0,24948804.49,3199.17372,0.619283377,0.018053196,7798.515079,0.004108082,0,24.9955368,0,0,0,0.863629618,0.000105783,-0.029997659,0,34922997.23,3694.270517,0.453210388,0.052925887,9453.2864,0.006365138,0,24.9955368,0,0,0,1.067813578,9.55E-05,-0.034779217,0,44898696.63,4289.687977,0.338830006,0.064539335,10466.65792,0.009494878,0,24.9955368,0,0,0,1.325865837,8.49E-05,-0.030033984,0,54874430.11,4658.148892,0.274585356,0.06261926,11780.30831,0.008330847,0,24.9955368,0,0,0,,,,0,64851584.65,,,,,,,24.9955368,,,
10.09946,0.237293198,0.00033931,-0.00384297,0,4998264.561,1695.962589,1.447568766,-0.038607811,2947.154962,0.006118664,0.867766997,24.98874283,6.33E-08,-0.049026384,0.316496007,0.413226381,0.000163791,-0.007499914,0,14973129.28,2452.463001,0.969250725,-0.002832806,6105.343594,0.004455575,0.484178869,24.98874283,-1.25E-09,-0.082064215,-0.018787549,0.641889754,0.000128094,-0.017011843,0,24948804.73,3195.794668,0.619225501,0.018176656,7806.76086,0.003915673,-0.835900078,24.98874283,-1.35E-07,0.236129966,-3.379051721,0.863345759,0.000105791,-0.029802118,0,34922996.97,3694.54003,0.453160642,0.052919068,9452.596719,0.006528715,0.68109609,24.98874283,7.72E-09,-0.269360036,0.269513189,1.068220278,9.55E-05,-0.032283917,0,44898693.83,4287.363684,0.339189539,0.064302027,10472.33152,0.010323999,5.501229516,24.98874283,-5.18E-08,-2.797235347,-2.324293057,1.325223337,8.52E-05,-0.031587861,0,54874431.9,4675.269078,0.274502293,0.061917308,11737.17084,0.00778555,-2.870199996,24.98874283,3.12E-07,1.783740111,17.12018591,,,,0,64851566.62,,,,,,,24.98874283,,,
15.1336543,0.23706338,0.000339218,-0.003870631,0,4998264.538,1695.503196,1.447358918,-0.038394112,2947.953475,0.005858563,1.281708193,25.00068092,-2.86E-08,-0.072412892,-0.142897778,0.41311461,0.000163839,-0.007798678,0,14973129.5,2453.186562,0.969315013,-0.002857134,6103.542932,0.004856187,-0.845714269,25.00068092,4.71E-08,0.143341402,0.704773172,0.641601554,0.000128233,-0.017643555,0,24948805.64,3199.269222,0.619230383,0.017973864,7798.282642,0.004288451,-4.058774576,25.00068092,3.82E-09,1.14654649,0.09550222,0.863252091,0.000105888,-0.029375346,0,34922996.38,3697.93741,0.453005543,0.052918197,9443.912242,0.005593367,2.163163236,25.00068092,1.05E-07,-0.855488285,3.666893555,1.068704712,9.57E-05,-0.032237438,0,44898693.79,4296.246119,0.339516126,0.063835178,10450.68009,0.008430465,5.581838001,25.00068092,1.46E-07,-2.838222712,6.558141848,1.325683417,8.51E-05,-0.031760356,0,54874432.33,4669.93084,0.274584854,0.062070477,11750.58779,0.009086006,-3.567691151,25.00068092,2.15E-07,2.21720919,11.78194813,,,,0,64851530.11,,,,,,,25.00068092,,,
20.1770626,0.237172903,0.000339251,-0.003857966,0,4998264.574,1695.668169,1.447280375,-0.038448161,2947.666687,0.00493575,0.641917728,25.00054169,4.42E-09,-0.036266538,0.022075986,0.413209501,0.000163779,-0.007698371,0,14973129.56,2452.279758,0.969323391,-0.002786393,6105.799924,0.004333358,-1.202934722,25.00054169,-1.35E-08,0.203887241,-0.202030869,0.64166532,0.00012824,-0.016746659,0,24948804.33,3199.444087,0.619471052,0.017834574,7797.856019,0.004241134,0.587303537,25.00054169,1.08E-08,-0.165904954,0.270366884,0.863308401,0.000105844,-0.029256257,0,34922996.28,3696.391383,0.453005196,0.052903757,9447.862161,0.005790367,2.421146601,25.00054169,6.07E-08,-0.957515605,2.120865869,1.06799103,9.57E-05,-0.03198262,0,44898693.12,4294.687287,0.339269199,0.064002549,10454.4732,0.009800794,6.893542663,25.00054169,1.11E-07,-3.505191185,4.9993096,1.325534579,8.48E-05,-0.030670911,0,54874431.57,4655.468534,0.274342637,0.062558122,11787.09107,0.008412634,-2.339274617,25.00054169,-4.88E-08,1.453786485,-2.680358562,,,,0,64851530.03,,,,,,,25.00054169,,,
25.2081152,0.237289364,0.000339222,-0.003878509,0,4998264.617,1695.520689,1.447249835,-0.038314478,2947.923107,0.006013883,-0.108693795,24.99980545,-2.51E-08,0.006140892,-0.125404759,0.412963946,0.000163849,-0.00762803,0,14973129.31,2453.326998,0.969487426,-0.003012973,6103.193469,0.004435656,0.274608592,24.99980545,5.64E-08,-0.046543829,0.845209172,0.641797141,0.000128171,-0.016864573,0,24948804.31,3197.703813,0.619275299,0.018063053,7802.099811,0.004541676,0.653020548,24.99980545,-5.89E-08,-0.184469081,-1.469907135,0.863088169,0.000105925,-0.029775136,0,34922997.96,3699.205805,0.453119318,0.052734223,9440.674513,0.005557093,-1.83567983,24.99980545,1.41E-07,0.725975074,4.935288313,1.068096155,9.55E-05,-0.033564338,0,44898696.9,4289.267294,0.339043283,0.064320929,10467.68453,0.008236987,-0.527972018,24.99980545,-9.37E-09,0.268460348,-0.420682732,1.325335054,8.52E-05,-0.028328573,0,54874426.54,4673.519135,0.274413623,0.062062664,11741.56454,0.007504873,5.756199622,24.99980545,2.80E-07,-3.5772992,15.37024311,,,,0,64851607.36,,,,,,,24.99980545,,,
30.2486653,0.237521125,0.000339295,-0.003896956,0,4998264.737,1695.885875,1.44752,-0.038618039,2947.288383,0.005698876,-2.2330448,24.99757576,4.80E-08,0.126160723,0.239781259,0.412997381,0.000163847,-0.007761719,0,14973129.39,2453.304769,0.969329969,-0.002918078,6103.248802,0.004726559,-0.201182273,24.99757576,5.50E-08,0.03409869,0.822979936,0.641528209,0.000128067,-0.017005914,0,24948804.86,3195.124047,0.619390207,0.018203484,7808.399451,0.004310274,-1.288017584,24.99757576,-1.62E-07,0.363846775,-4.049672215,0.863168681,0.000105689,-0.030301528,0,34922997.74,3690.979104,0.452891578,0.053209451,9461.716462,0.005782884,-1.288898746,24.99757576,-9.42E-08,0.509733967,-3.291413161,1.067848384,9.56E-05,-0.03336422,0,44898693.68,4291.024861,0.339192355,0.064214395,10463.39631,0.008515632,5.794852443,24.99757576,2.98E-08,-2.94653514,1.336883874,1.325491503,8.50E-05,-0.030382556,0,54874430.2,4662.545813,0.274149821,0.062495654,11769.19914,0.0083448,-0.131410272,24.99757576,8.01E-08,0.081667401,4.396921025,,,,0,64851527.15,,,,,,,24.99757576,,,
35.2929509,0.237118392,0.000339198,-0.0038079,0,4998264.572,1695.40029,1.447362507,-0.038385366,2948.132427,0.005558435,0.680238936,25.01828957,-4.92E-08,-0.038431578,-0.2458034,0.413033073,0.000163903,-0.007505348,0,14973129.13,2454.1474,0.969428859,-0.003072625,6101.153146,0.004414308,1.34569228,25.01828957,1.11E-07,-0.228083437,1.66561085,0.641668425,0.000128137,-0.017305785,0,24948804.95,3196.859516,0.619246143,0.01819325,7804.160562,0.00388665,-1.629128284,25.01828957,-9.28E-08,0.46020573,-2.314204006,0.863419989,0.000105818,-0.029231709,0,34922995.87,3695.472199,0.452947161,0.053038893,9450.212041,0.005793721,3.453834763,25.01828957,3.44E-08,-1.365923353,1.201681917,1.067839169,9.58E-05,-0.035765536,0,44898697.97,4301.764561,0.339426816,0.063893747,10437.2746,0.008990702,-2.638717421,25.01828957,2.69E-07,1.341720723,12.07658425,1.325332498,8.49E-05,-0.031898444,0,54874430.33,4661.084141,0.274413131,0.062454631,11772.88989,0.007831901,-0.352265946,25.01828957,5.35E-08,0.218922339,2.935248389,,,,0,64851562.35,,,,,,,25.01828957,,,
40.336864,0.237482633,0.000339196,-0.003767769,0,4998264.562,1695.389668,1.447318554,-0.038381534,2948.150893,0.00563702,0.856910678,24.99452019,-5.13E-08,-0.048413033,-0.25642565,0.413144526,0.000163772,-0.007829473,0,14973129.34,2452.173084,0.969324814,-0.002761152,6106.065446,0.004179974,0.120470813,24.99452019,-2.06E-08,-0.020418782,-0.308704558,0.641681761,0.000128105,-0.017077549,0,24948804.74,3196.05672,0.618936102,0.018327304,7806.120767,0.00393096,-0.865746579,24.99452019,-1.25E-07,0.24456118,-3.116999241,0.86333581,0.00010565,-0.029841863,0,34922998.2,3689.626045,0.45305877,0.053216386,9465.186383,0.006489397,-2.44251957,24.99452019,-1.33E-07,0.965968192,-4.644471547,1.067975412,9.53E-05,-0.033198757,0,44898693.66,4277.078709,0.33889174,0.064638183,10497.51401,0.009405966,5.836862557,24.99452019,-2.81E-07,-2.967896216,-12.60926829,1.325375688,8.49E-05,-0.029379732,0,54874426.92,4660.772748,0.274338563,0.062624513,11773.67571,0.008740527,5.14684111,24.99452019,4.78E-08,-3.19860182,2.623855827,,,,0,64851556.34,,,,,,,24.99452019,,,
45.380006,0.237252075,0.000339299,-0.003809099,0,4998264.557,1695.906596,1.447436978,-0.038625421,2947.252266,0.006079301,0.938333622,24.99983978,5.21E-08,-0.053013199,0.260502624,0.412987614,0.000163805,-0.007648952,0,14973129.19,2452.679294,0.969449187,-0.002862516,6104.805151,0.004211913,1.017046761,24.99983978,1.32E-08,-0.172380807,0.197504765,0.641545201,0.000128181,-0.017350495,0,24948805.02,3197.959746,0.619296265,0.018153727,7801.475629,0.004139071,-1.852772111,24.99983978,-4.87E-08,0.523381952,-1.213974028,0.863002969,0.000105837,-0.028889734,0,34922995.55,3696.151873,0.45324705,0.053007275,9448.474182,0.005389058,4.267808551,24.99983978,5.39E-08,-1.68783389,1.881356595,1.06857799,9.57E-05,-0.033089101,0,44898693.11,4297.440111,0.339274136,0.064178195,10447.77634,0.010049592,6.918502521,24.99983978,1.73E-07,-3.517882638,7.75213432,1.325514253,8.51E-05,-0.031174294,0,54874431.58,4668.830598,0.274724912,0.062352323,11753.35674,0.007618999,-2.359470188,24.99983978,1.95E-07,1.466337405,10.68170524,,,,0,64851577.05,,,,,,,24.99983978,,,
50.4213001,0.237353703,0.000339318,-0.003982448,0,4998264.729,1696.000309,1.447417159,-0.038632907,2947.089515,0.005526653,-2.09614585,25.00649643,7.09E-08,0.118426319,0.354216125,0.412891287,0.00016379,-0.007638931,0,14973129.18,2452.455661,0.969262239,-0.002718907,6105.361828,0.004433528,1.055112834,25.00649643,-1.74E-09,-0.178832684,-0.026127634,0.641693789,0.000128141,-0.017031361,0,24948804.98,3196.973661,0.619257132,0.018222464,7803.881927,0.003814333,-1.705482329,25.00649643,-8.82E-08,0.481774669,-2.200058436,0.863422523,0.000105809,-0.029721333,0,34922996.73,3695.16977,0.453083555,0.053088044,9450.985721,0.006244921,1.272111363,25.00649643,2.58E-08,-0.503094889,0.899253277,1.068133177,9.58E-05,-0.031762748,0,44898692.21,4301.431046,0.339648066,0.063782067,10438.08252,0.009546489,8.687358368,25.00649643,2.62E-07,-4.417300865,11.74306867,1.325491767,8.51E-05,-0.031836108,0,54874432.75,4668.80284,0.274377099,0.062233421,11753.42687,0.007837534,-4.234295978,25.00649643,1.94E-07,2.631483376,10.65394793,,,,0,64851539.76,,,,,,,25.00649643,,,
