Channel A QCM Time [sec],Channel A Fundamental Boffs [mS],Channel A Fundamental Dissipation [ ],Channel A Fundamental Fi [rad],Channel A Flow [ul/min],Channel A Fundamental Frequency [Hz],Channel A Fundamental FWHM [Hz],Channel A Fundamental Gmax [mS],Channel A Fundamental Goffs [mS],Channel A Fundamental Q [ ],Channel A Fundamental Residual [ ],Channel A Fundamental Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A Fundamental Dissipation Variation [ ],Channel A Fundamental Frequency Variation [Hz],Channel A Fundamental FWHM Variation[Hz],Channel A 3. Boffs [mS],Channel A 3. Dissipation  [ ],Channel A 3. Fi [rad],Channel A Flow [ul/min],Channel A 3. Overtone [Hz],Channel A 3. FWHM [Hz],Channel A 3. Gmax [mS],Channel A 3. Goffs [mS],Channel A 3. Q  [ ],Channel A 3. Residual  [ ],Channel A 3. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 3. Dissipation Variation [ ],Channel A 3. Overtone Variation [Hz],Channel A 3. FWHM Variation [Hz],Channel A 5. Boffs [mS],Channel A 5. Dissipation  [ ],Channel A 5. Fi [rad],Channel A Flow [ul/min],Channel A 5. Overtone [Hz],Channel A 5. FWHM [Hz],Channel A 5. Gmax [mS],Channel A 5. Goffs [mS],Channel A 5. Q  [ ],Channel A 5. Residual  [ ],Channel A 5. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 5. Dissipation Variation [ ],Channel A 5. Overtone Variation [Hz],Channel A 5. FWHM Variation [Hz],Channel A 7. Boffs [mS],Channel A 7. Dissipation  [ ],Channel A 7. Fi [rad],Channel A Flow [ul/min],Channel A 7. Overtone [Hz],Channel A 7. FWHM [Hz],Channel A 7. Gmax [mS],Channel A 7. Goffs [mS],Channel A 7. Q  [ ],Channel A 7. Residual  [ ],Channel A 7. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 7. Dissipation Variation [ ],Channel A 7. Overtone Variation [Hz],Channel A 7. FWHM Variation [Hz],Channel A 9. Boffs [mS],Channel A 9. Dissipation  [ ],Channel A 9. Fi [rad],Channel A Flow [ul/min],Channel A 9. Overtone [Hz],Channel A 9. FWHM [Hz],Channel A 9. Gmax [mS],Channel A 9. Goffs [mS],Channel A 9. Q  [ ],Channel A 9. Residual  [ ],Channel A 9. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 9. Dissipation Variation [ ],Channel A 9. Overtone Variation [Hz],Channel A 9. FWHM Variation [Hz],Channel A 11. Boffs [mS],Channel A 11. Dissipation  [ ],Channel A 11. Fi [rad],Channel A Flow [ul/min],Channel A 11. Overtone [Hz],Channel A 11. FWHM [Hz],Channel A 11. Gmax [mS],Channel A 11. Goffs [mS],Channel A 11. Q  [ ],Channel A 11. Residual  [ ],Channel A 11. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 11. Dissipation Variation [ ],Channel A 11. Overtone Variation [Hz],Channel A 11. FWHM Variation [Hz],Channel A 13. Boffs [mS],Channel A 13. Dissipation  [ ],Channel A 13. Fi [rad],Channel A Flow [ul/min],Channel A 13. Overtone [Hz],Channel A 13. FWHM [Hz],Channel A 13. Gmax [mS],Channel A 13. Goffs [mS],Channel A 13. Q  [ ],Channel A 13. Residual  [ ],Channel A 13. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 13. Dissipation Variation [ ],Channel A 13. Overtone Variation [Hz],Channel A 13. FWHM Variation [Hz]
5.0547253,0.304441652,0.000186856,-0.003711196,0,4960883.127,926.970289,2.413200434,-0.038084561,5351.71751,0.011319916,0,25.00444603,0,0,0,0.422384833,9.94E-05,-0.011109418,0,14866043.43,1477.691692,1.675039972,0.02627341,10060.31469,0.007641436,0,25.00444603,0,0,0,0.626761438,7.85E-05,-0.023878716,0,24773492.84,1944.229494,1.204720903,0.05325661,12742.06204,0.004768596,0,25.00444603,0,0,0,0.835232084,6.72E-05,-0.03791202,0,34679595,2329.136079,0.944781999,0.095942891,14889.46709,0.006131248,0,25.00444603,0,0,0,1.032129308,6.16E-05,-0.042428624,0,44586432.36,2747.814752,0.756278525,0.117625605,16226.142,0.015761926,0,25.00444603,0,0,0,1.278657977,5.71E-05,-0.03697272,0,54493088.22,3111.388294,0.638837125,0.126335057,17514.07509,0.008390234,0,25.00444603,0,0,0,1.55535931,5.48E-05,-0.044115343,0,64400338.32,3528.824194,0.549525993,0.249677015,18249.80072,0.011490945,0,25.00444603,0,0,0
10.1134594,0.304696228,0.000186866,-0.003727985,0,4960883.25,927.0228302,2.413090005,-0.038107146,5351.414321,0.011006589,-2.178156942,25.0044899,1.06E-08,0.123059714,0.052541232,0.422524666,9.94E-05,-0.0112421,0,14866043.66,1477.387667,1.675126238,0.02638459,10062.38511,0.007706631,-1.358192298,25.0044899,-2.05E-08,0.230202084,-0.304024305,0.626841155,7.85E-05,-0.023492286,0,24773492.65,1943.817205,1.204755486,0.053183678,12744.76457,0.004996568,0.656068476,25.0044899,-1.66E-08,-0.185330078,-0.412288657,0.835149244,6.72E-05,-0.037779694,0,34679595.23,2330.284275,0.945210046,0.095511881,14882.13073,0.006541025,-0.565750287,25.0044899,3.31E-08,0.223743051,1.14819575,1.031576551,6.16E-05,-0.042114907,0,44586432.24,2746.283988,0.755969173,0.117529667,16235.18632,0.014993647,0.225624605,25.0044899,-3.43E-08,-0.114724375,-1.530763973,1.27918034,5.70E-05,-0.036916545,0,54493088.92,3107.114026,0.639030493,0.126301095,17538.16837,0.009341003,-1.130058583,25.0044899,-7.84E-08,0.702296294,-4.274267409,1.555215502,5.48E-05,-0.046821163,0,64400341.31,3527.960956,0.549089009,0.249982967,18254.26701,0.011409179,-4.074841022,25.0044899,-1.34E-08,2.99282109,-0.863237512
15.1649822,0.304590236,0.000186854,-0.003640643,0,4960883.205,926.962363,2.413299861,-0.038189931,5351.763355,0.011385916,-1.386146983,24.99967003,-1.60E-09,0.078313389,-0.00792604,0.422456189,9.93E-05,-0.011234368,0,14866043.7,1476.911641,1.675142003,0.02649381,10065.62836,0.006808956,-1.605290773,24.99967003,-5.25E-08,0.272083182,-0.780050862,0.626786098,7.85E-05,-0.023532219,0,24773492.73,1944.68436,1.205014123,0.052833262,12739.08159,0.005058516,0.376346732,24.99967003,1.84E-08,-0.106312636,0.454866117,0.834998773,6.73E-05,-0.037976546,0,34679595.38,2332.350664,0.945275348,0.09503694,14868.9457,0.00642158,-0.947319455,24.99967003,9.27E-08,0.374646112,3.214585098,1.031228665,6.16E-05,-0.041841457,0,44586431.69,2745.074237,0.755185052,0.117915975,16242.34095,0.015562453,1.312866806,24.99967003,-6.15E-08,-0.667559393,-2.740514321,1.278495141,5.71E-05,-0.035848101,0,54493087.13,3113.02875,0.639248931,0.125635545,17504.84544,0.008311519,1.752172024,24.99967003,3.01E-08,-1.088920467,1.640456311,1.555541065,5.47E-05,-0.046868614,0,64400341.21,3522.445774,0.548156698,0.250427829,18282.84815,0.011032257,-3.934885119,24.99967003,-9.90E-08,2.890028618,-6.378419293
20.2122109,0.304578419,0.000186887,-0.003768391,0,4960883.29,927.1258348,2.413128662,-0.038265449,5350.819818,0.011209882,-2.891946959,24.99572372,3.13E-08,0.163386834,0.155545771,0.422292884,9.94E-05,-0.011374173,0,14866043.85,1477.35145,1.675058631,0.026295977,10062.63192,0.007341183,-2.46203786,24.99572372,-2.29E-08,0.417294553,-0.340242158,0.626856932,7.85E-05,-0.023763351,0,24773493.03,1944.207654,1.204666016,0.053107272,12742.20528,0.004959388,-0.701160893,24.99572372,-8.82E-10,0.198068049,-0.021839778,0.8355002,6.71E-05,-0.037821086,0,34679595.01,2328.60241,0.945382683,0.095506397,14892.87947,0.0065544,-0.013959639,24.99572372,-1.54E-08,0.005520761,-0.533669503,1.031342296,6.16E-05,-0.041492261,0,44586430.13,2747.940287,0.756433561,0.117213435,16225.39993,0.019059856,4.373198615,24.99572372,2.82E-09,-2.223660313,0.125535566,1.27894491,5.71E-05,-0.037175766,0,54493089.31,3108.886509,0.638549143,0.12646379,17528.16938,0.008665113,-1.756003324,24.99572372,-4.59E-08,1.091301501,-2.501785015,1.555307287,5.48E-05,-0.047588991,0,64400342.83,3532.322841,0.549244692,0.249581367,18231.72618,0.010574187,-6.137109691,24.99572372,5.43E-08,4.507481694,3.498647596
25.2673595,0.304503317,0.000186844,-0.003586169,0,4960883.191,926.9115988,2.413085292,-0.03808411,5352.056439,0.011171668,-1.138678609,24.99974632,-1.18E-08,0.064332125,-0.058690158,0.422370803,9.94E-05,-0.011030412,0,14866043.61,1477.146324,1.674834367,0.026548782,10064.02911,0.007840695,-1.051892154,24.99974632,-3.67E-08,0.178286806,-0.545367749,0.626795275,7.85E-05,-0.023734857,0,24773492.93,1944.517914,1.2049893,0.052941459,12740.17213,0.004799938,-0.338163961,24.99974632,1.16E-08,0.095526543,0.288420378,0.835064138,6.72E-05,-0.037373295,0,34679594.46,2331.173183,0.944711464,0.095479534,14876.45565,0.006243977,1.382405929,24.99974632,5.87E-08,-0.546714209,2.037103819,1.031356014,6.14E-05,-0.042560994,0,44586432.62,2738.774698,0.755637574,0.118432418,16279.70079,0.020044568,-0.512343816,24.99974632,-2.03E-07,0.260513805,-9.04005331,1.278690851,5.71E-05,-0.036879001,0,54493088.08,3109.419096,0.639069441,0.126088783,17525.16673,0.009029455,0.230131385,24.99974632,-3.61E-08,-0.143019505,-1.969197838,1.555226398,5.45E-05,-0.047674412,0,64400342.56,3511.656271,0.548774119,0.250615922,18339.02227,0.012712061,-5.769402598,24.99974632,-2.67E-07,4.237414338,-17.16792227
30.314913,0.304444665,0.000186774,-0.00375201,0,4960883.245,926.5645158,2.413028345,-0.037700938,5354.061331,0.010887463,-2.08819176,25.00612831,-8.18E-08,0.117976936,-0.405773193,0.422455651,9.94E-05,-0.011073451,0,14866043.64,1477.45048,1.675106298,0.026325143,10061.9573,0.007029361,-1.241639137,25.00612831,-1.62E-08,0.210447311,-0.241212122,0.626879432,7.85E-05,-0.023867354,0,24773493.12,1943.783465,1.204635078,0.053172092,12744.98604,0.005250674,-1.011184542,25.00612831,-1.80E-08,0.285645351,-0.44602909,0.835007807,6.71E-05,-0.037687754,0,34679595.3,2327.195173,0.944676176,0.095981397,14901.8852,0.006172885,-0.761110679,25.00612831,-5.60E-08,0.301004224,-1.940906091,1.031545047,6.16E-05,-0.043953094,0,44586434.81,2746.874875,0.756261438,0.117544652,16231.69487,0.017390373,-4.833119723,25.00612831,-2.11E-08,2.457518503,-0.939876359,1.27898532,5.70E-05,-0.036568161,0,54493087.7,3107.662134,0.63876693,0.126251686,17535.07471,0.009017068,0.845230979,25.00612831,-6.84E-08,-0.52528479,-3.726159286,1.554299746,5.49E-05,-0.045940344,0,64400339.32,3532.851247,0.547580568,0.249855609,18228.99829,0.011030483,-1.36165442,25.00612831,6.25E-08,1.000085168,4.027052869
35.3592744,0.304723944,0.000186867,-0.003731167,0,4960883.251,927.0258047,2.413002769,-0.038099427,5351.397152,0.011668788,-2.197385016,25.00310516,1.12E-08,0.124146046,0.055515663,0.422333871,9.94E-05,-0.011057519,0,14866043.62,1477.485729,1.674984736,0.026257252,10061.71723,0.007756407,-1.09527957,25.00310516,-1.39E-08,0.185640605,-0.205962911,0.6267101,7.85E-05,-0.023651971,0,24773492.86,1944.25937,1.204692073,0.053101325,12741.86626,0.00531247,-0.078266038,25.00310516,1.21E-09,0.02210905,0.029875907,0.834807957,6.72E-05,-0.036897816,0,34679594.18,2331.497136,0.945439976,0.095077617,14874.3885,0.005685763,2.086328687,25.00310516,6.81E-08,-0.825101741,2.361056911,1.030378907,6.16E-05,-0.041611736,0,44586431.48,2745.050547,0.755543936,0.11784964,16242.48105,0.017575468,1.723042098,25.00310516,-6.20E-08,-0.876123101,-2.764204836,1.278907374,5.71E-05,-0.036445197,0,54493088.46,3110.37173,0.638775053,0.126224769,17519.7993,0.008910426,-0.385223987,25.00310516,-1.87E-08,0.239404738,-1.016564029,1.555435508,5.45E-05,-0.046855525,0,64400345.2,3509.449033,0.547526808,0.25139462,18350.5572,0.009041798,-9.361891152,25.00310516,-3.01E-07,6.875965253,-19.37516121
40.3965026,0.304301015,0.000186876,-0.003717297,0,4960883.232,927.0700182,2.412806818,-0.038134059,5351.141914,0.011152571,-1.858695711,24.99744797,2.01E-08,0.105011057,0.099729225,0.422386942,9.94E-05,-0.011172617,0,14866043.66,1477.431448,1.675117248,0.026216546,10062.08693,0.007019181,-1.32739075,24.99744797,-1.75E-08,0.224981483,-0.260243847,0.626598814,7.85E-05,-0.0234693,0,24773492.69,1943.839005,1.204529171,0.053265076,12744.62166,0.005587759,0.522737771,24.99744797,-1.58E-08,-0.147666037,-0.390488319,0.835296587,6.71E-05,-0.037584279,0,34679595.03,2328.600012,0.944894083,0.095799743,14892.89481,0.006753802,-0.077113917,24.99744797,-1.55E-08,0.030497029,-0.53606753,1.031599695,6.16E-05,-0.041170522,0,44586431.19,2747.839904,0.756297444,0.117335569,16225.99305,0.015814733,2.29210065,24.99744797,5.66E-10,-1.165474907,0.025152152,1.278502475,5.71E-05,-0.036136352,0,54493087.28,3111.439278,0.638869711,0.126011084,17513.7878,0.008881799,1.520964536,24.99744797,9.37E-10,-0.945232198,0.050983926,1.554965297,5.48E-05,-0.045000816,0,64400339.57,3527.165512,0.54934181,0.249669913,18258.38321,0.013767497,-1.700133215,24.99744797,-2.58E-08,1.248685412,-1.658681885
45.4340687,0.304819917,0.000186803,-0.003785798,0,4960883.257,926.7097279,2.412992652,-0.037842249,5353.222382,0.010771788,-2.306927215,25.01154327,-5.25E-08,0.130334871,-0.260561095,0.422142669,9.94E-05,-0.011177327,0,14866043.62,1477.089263,1.675247265,0.026419824,10064.4179,0.007323844,-1.140152133,25.01154327,-4.05E-08,0.193246124,-0.602428233,0.626761628,7.85E-05,-0.023951916,0,24773493.02,1944.115912,1.204609635,0.053166059,12742.80658,0.004645117,-0.668739475,25.01154327,-4.59E-09,0.188909456,-0.113582164,0.83479297,6.72E-05,-0.037163712,0,34679594.43,2331.038324,0.945114985,0.095377956,14877.31629,0.005917265,1.446166777,25.01154327,5.49E-08,-0.571930364,1.902245091,1.03270369,6.16E-05,-0.041559198,0,44586431.43,2744.990003,0.756317303,0.117821966,16242.83927,0.017481097,1.820105833,25.01154327,-6.34E-08,-0.925477542,-2.82474852,1.278421165,5.71E-05,-0.035802634,0,54493086.62,3110.420882,0.639066983,0.126140137,17519.52185,0.00927112,2.582794543,25.01154327,-1.78E-08,-1.605126552,-0.967411819,1.55550883,5.48E-05,-0.047435559,0,64400342.56,3526.155084,0.548518698,0.250522417,18263.61604,0.011566588,-5.775306989,25.01154327,-4.14E-08,4.241750896,-2.669109268
50.4920809,0.304488579,0.000186846,-0.003742098,0,4960883.235,926.9187668,2.413074223,-0.03806316,5352.015098,0.010737206,-1.905817434,24.99388313,-1.04E-08,0.107673301,-0.051522217,0.422404773,9.94E-05,-0.011171522,0,14866043.67,1477.102414,1.674840742,0.026524996,10064.32833,0.006834701,-1.412156288,24.99388313,-3.96E-08,0.239348523,-0.589277345,0.626543934,7.85E-05,-0.023890621,0,24773492.98,1943.544489,1.204673251,0.053265125,12746.55307,0.005428555,-0.4987224,24.99388313,-2.77E-08,0.140882034,-0.685004767,0.834763207,6.72E-05,-0.037825243,0,34679595.11,2330.328045,0.945212998,0.095399963,14881.85116,0.006580853,-0.28152442,24.99388313,3.44E-08,0.111337341,1.191966253,1.03166124,6.16E-05,-0.041306103,0,44586431.29,2745.971015,0.756453219,0.117511494,16237.03639,0.018408974,2.102056434,24.99388313,-4.14E-08,-1.068842255,-1.843736857,1.27887718,5.70E-05,-0.036484711,0,54493088.17,3108.095548,0.638992004,0.126292543,17532.62965,0.008278524,0.083775915,24.99388313,-6.04E-08,-0.052064128,-3.292746015,1.555310931,5.47E-05,-0.047882158,0,64400342.84,3522.422732,0.5489479,0.250348685,18282.96821,0.010775814,-6.15023961,24.99388313,-9.94E-08,4.517125137,-6.401461399
