overtone,Ddis_mean,Ddis_std_dev,Ddis_median,range_name,x_lower,x_upper,data_source
fundamental_dis,1.8658383865102576E-06,4.1572502341742938E-08,1.8690221644739155E-06,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
3rd_dis,1.7054016844777903E-06,3.9579959867793584E-08,1.7060780641086986E-06,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
5th_dis,1.9100028396410923E-06,5.0934888910486286E-08,1.9110525718956512E-06,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
7th_dis,1.6639603391784083E-06,8.9856869117440784E-08,1.6534654451347782E-06,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
9th_dis,1.5076043292592820E-06,1.4731038191057362E-07,1.4942593143146328E-06,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
11th_dis,1.7002817491844268E-06,1.4407398623970794E-07,1.7010403616021655E-06,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
13th_dis,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,x,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-qcmi_sample.csv
fundamental_dis,7.2066004634293325E-06,4.8916878773991822E-08,7.2162514733239015E-06,y,1472.8042293,1931.9490173000002,raw_data/Formatted-qcmi_sample.csv
3rd_dis,4.6641742560130493E-06,4.0132127805146985E-08,4.6631402887087022E-06,y,1472.8042293,1931.9490173000002,raw_data/Formatted-qcmi_sample.csv
5th_dis,4.2389577710836816E-06,4.4393944551102964E-08,4.2368316134956414E-06,y,1472.8042293,1931.9490173000002,raw_data/Formatted-qcmi_sample.csv
7th_dis,3.5061325653489027E-06,8.3977081353318460E-08,3.5023270830847732E-06,y,1472.8042293,1931.9490173000002,raw_data/Formatted-qcmi_sample.csv
9th_dis,3.0048246741108435E-06,1.6218127922159925E-07,2.9808639681319833E-06,y,1472.8042293,1931.9490173000002,raw_data/Formatted-qcmi_sample.csv
11th_dis,3.0709412220946838E-06,1.6263791738282299E-07,3.0765677697201641E-06,y,1472.8042293,1931.9490173000002,raw_data/Formatted-qcmi_sample.csv
13th_dis,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,y,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-qcmi_sample.csv
