overtone,Dfreq_mean,Dfreq_std_dev,Dfreq_median,range_name,x_lower,x_upper,data_source
fundamental_freq,-4.0858582960458641E+01,9.0258159370346563E-02,-4.0858028634451330E+01,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
3rd_freq,-1.1448599175323140E+02,2.1161750098183729E-01,-1.1450056279078126E+02,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
5th_freq,-1.8279264542981983E+02,4.1883654936371201E-01,-1.8277064607664943E+02,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
7th_freq,-2.5174878393452275E+02,1.1155446820244848E+00,-2.5174667141586545E+02,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
9th_freq,-3.1956627592457966E+02,2.4576401336879798E+00,-3.1930020161718130E+02,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
11th_freq,-3.7911699834696270E+02,2.6364323221166281E+00,-3.7902459425479168E+02,x,3.5009681810000002E+03,3.7733818522000001E+03,raw_data/Formatted-qcmi_sample.csv
13th_freq,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,x,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-qcmi_sample.csv
fundamental_freq,9.9200756683429734E-03,8.3827242822114470E-02,-1.6586812993432086E-03,y,5.0600069,499.2488989,raw_data/Formatted-qcmi_sample.csv
3rd_freq,1.5248263398533859E-01,1.6831184584123596E-01,1.4071251906284321E-01,y,5.0600069,499.2488989,raw_data/Formatted-qcmi_sample.csv
5th_freq,1.4652703166223507E-01,3.6913466603075851E-01,1.3274902664084595E-01,y,5.0600069,499.2488989,raw_data/Formatted-qcmi_sample.csv
7th_freq,2.4385030716912254E-01,1.0165786122772580E+00,2.4177140290972501E-01,y,5.0600069,499.2488989,raw_data/Formatted-qcmi_sample.csv
9th_freq,-2.5888362520283321E-02,2.1690839745097796E+00,-1.3877508822915730E-01,y,5.0600069,499.2488989,raw_data/Formatted-qcmi_sample.csv
11th_freq,-1.1653910870412801E-01,2.3194199413756516E+00,3.1279469644090924E-02,y,5.0600069,499.2488989,raw_data/Formatted-qcmi_sample.csv
13th_freq,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,y,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-qcmi_sample.csv
