overtone,Ddis_average,Ddis_std_dev,Ddis_median,range_name,x_lower,x_upper,data_source
fundamental_dis,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,qcmi,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
3rd_dis,1.0253206521739129E-06,1.7338090292763768E-08,1.0291956521739121E-06,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
5th_dis,1.2055706521739058E-06,1.7399263633844241E-08,1.2086956521739059E-06,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
7th_dis,1.4036684782608895E-06,5.2197790901532722E-08,1.4130434782608898E-06,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
9th_dis,1.5930706521739131E-06,7.9488108387353975E-08,1.6086956521739156E-06,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
11th_dis,1.8691576086956506E-06,5.3673637616615913E-08,1.8347826086956523E-06,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
13th_dis,2.0858695652173841E-06,1.1456439237389677E-07,2.0608695652173822E-06,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
fundamental_dis,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,qcmitest,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
3rd_dis,9.8672791023842922E-07,1.4421050632764859E-08,9.8669565217390700E-07,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
5th_dis,1.1086956521739035E-06,0.0000000000000000E+00,1.1086956521739035E-06,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
7th_dis,1.2904628330995964E-06,4.1811230312309799E-08,1.3130434782608873E-06,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
9th_dis,1.4538569424964920E-06,9.1011199868813143E-08,1.4086956521739108E-06,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
11th_dis,1.7444600280504887E-06,5.3005408790823816E-08,1.7347826086956499E-06,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
13th_dis,1.9124824684431908E-06,1.0432878470191141E-07,1.8608695652173841E-06,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
