overtone,Dfreq_average,Dfreq_std_dev,Dfreq_median,range_name,x_lower,x_upper,data_source
fundamental_freq,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,qcmi,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
3rd_freq,-5.5025652173440903E+01,7.1019363633095925E-02,-5.5025652173906565E+01,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
5th_freq,-8.7731644020997919E+01,1.1913711569247573E-01,-8.7756956521421671E+01,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
7th_freq,-1.2324786684126593E+02,6.0675164499173051E-01,-1.2323130434006453E+02,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
9th_freq,-1.5781551630189642E+02,9.0607131826245291E-01,-1.5791239130124450E+02,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
11th_freq,-1.9580330163240433E+02,6.8995973287527557E-01,-1.9572173913195729E+02,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
13th_freq,-2.3599313860200346E+02,2.3004265698329407E+00,-2.3562282610312104E+02,qcmi,3138.8177387,3295.2175857,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
fundamental_freq,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,qcmitest,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
3rd_freq,-5.0147265076457010E+01,1.9581256292399896E-01,-5.0205652173608541E+01,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
5th_freq,-8.0746956521585105E+01,2.8925934328690889E-01,-8.0786956522613764E+01,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
7th_freq,-1.1306775595319849E+02,7.2239989084144252E-01,-1.1316130433976650E+02,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
9th_freq,-1.4462061710775859E+02,1.4344390544981140E+00,-1.4468739130347967E+02,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
11th_freq,-1.8103431977692151E+02,1.1352759149922333E+00,-1.8122173912823200E+02,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
13th_freq,-2.1823169707002180E+02,2.3752088903444832E+00,-2.1830782610177994E+02,qcmitest,878.0879658,1029.4395177000001,raw_data/Formatted-QSM-I-BSA_1mgpml.csv
