overtone,Dfreq_mean,Dfreq_std_dev,Dfreq_median,range_name,x_lower,x_upper,data_source
fundamental_freq,4.9982127708917735E+06,8.1954314486842622E-02,4.9982127808772894E+06,rawY,1.8007819216000000E+03,1.9874218820000001E+03,raw_data/Formatted-qcmi_sample.csv
3rd_freq,1.4972996479398442E+07,2.3747987529387105E-01,1.4972996525614999E+07,rawY,1.8007819216000000E+03,1.9874218820000001E+03,raw_data/Formatted-qcmi_sample.csv
5th_freq,2.4948598343924645E+07,3.5411694450311210E-01,2.4948598297364701E+07,rawY,1.8007819216000000E+03,1.9874218820000001E+03,raw_data/Formatted-qcmi_sample.csv
7th_freq,3.4922717550747849E+07,1.0243641017811402E+00,3.4922717676448397E+07,rawY,1.8007819216000000E+03,1.9874218820000001E+03,raw_data/Formatted-qcmi_sample.csv
9th_freq,4.4898340629858486E+07,2.7029739459619515E+00,4.4898340477485798E+07,rawY,1.8007819216000000E+03,1.9874218820000001E+03,raw_data/Formatted-qcmi_sample.csv
11th_freq,5.4874010608336419E+07,2.2075470465200246E+00,5.4874010501906544E+07,rawY,1.8007819216000000E+03,1.9874218820000001E+03,raw_data/Formatted-qcmi_sample.csv
13th_freq,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,rawY,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-qcmi_sample.csv
fundamental_freq,4.9982127793479152E+06,1.0573401178177286E-01,4.9982127943082899E+06,y,1.6240992154000000E+03,2.0378664624000000E+03,raw_data/Formatted-qcmi_sample.csv
3rd_freq,1.4972996577476049E+07,3.0626171505358346E-01,1.4972996554879000E+07,y,1.6240992154000000E+03,2.0378664624000000E+03,raw_data/Formatted-qcmi_sample.csv
5th_freq,2.4948598448215403E+07,4.4438139737963200E-01,2.4948598395709701E+07,y,1.6240992154000000E+03,2.0378664624000000E+03,raw_data/Formatted-qcmi_sample.csv
7th_freq,3.4922717928922437E+07,1.2966517125891377E+00,3.4922717906531103E+07,y,1.6240992154000000E+03,2.0378664624000000E+03,raw_data/Formatted-qcmi_sample.csv
9th_freq,4.4898340779598273E+07,2.6103241372483481E+00,4.4898340539000899E+07,y,1.6240992154000000E+03,2.0378664624000000E+03,raw_data/Formatted-qcmi_sample.csv
11th_freq,5.4874011472504206E+07,2.5420757408867929E+00,5.4874011219817802E+07,y,1.6240992154000000E+03,2.0378664624000000E+03,raw_data/Formatted-qcmi_sample.csv
13th_freq,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,y,0.0000000000000000E+00,0.0000000000000000E+00,raw_data/Formatted-qcmi_sample.csv
fundamental_freq,4.9608648309496399E+06,6.7085663814039548E-02,4.9608648148345351E+06,test,2573.6505472,3012.6729761,raw_data/Formatted-BSA_1mgpml.csv
3rd_freq,1.4865989170932211E+07,2.4588105013708922E-01,1.4865989120103300E+07,test,2573.6505472,3012.6729761,raw_data/Formatted-BSA_1mgpml.csv
5th_freq,2.4773405996242747E+07,3.5478563871375135E-01,2.4773405950453699E+07,test,2573.6505472,3012.6729761,raw_data/Formatted-BSA_1mgpml.csv
7th_freq,3.4679472890408292E+07,6.7055708319296803E-01,3.4679472859473854E+07,test,2573.6505472,3012.6729761,raw_data/Formatted-BSA_1mgpml.csv
9th_freq,4.4586275949562691E+07,1.2629356773645020E+00,4.4586276175891601E+07,test,2573.6505472,3012.6729761,raw_data/Formatted-BSA_1mgpml.csv
11th_freq,5.4492893340720370E+07,9.8564176161839268E-01,5.4492893362320252E+07,test,2573.6505472,3012.6729761,raw_data/Formatted-BSA_1mgpml.csv
13th_freq,6.4400107757687815E+07,2.6136652420896209E+00,6.4400107530675098E+07,test,2573.6505472,3012.6729761,raw_data/Formatted-BSA_1mgpml.csv
