overtone,avg_Df,avg_Df_err,avg_Df_FIT,avg_Dm,avg_Dm_err,C,range_name,data_source
1,-4.09042812E+01,1.21386653E-01,-4.49636887E+01,7.24005778E+02,2.14854377E+00,-1.77000000E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
3,-1.14591313E+02,2.75365395E-01,-1.13029612E+02,6.76088744E+02,1.62465583E+00,-1.77000000E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
5,-1.82954976E+02,5.41172047E-01,-1.81095535E+02,6.47660615E+02,1.91574905E+00,-1.77000000E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
7,-2.52025178E+02,1.18384763E+00,-2.49161458E+02,6.37263664E+02,2.99344329E+00,-1.77000000E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
9,-3.19971850E+02,2.54514190E+00,-3.17227381E+02,6.29277973E+02,5.00544573E+00,-1.77000000E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
11,-3.80323379E+02,3.09325602E+00,-3.85293304E+02,6.11974892E+02,4.97733015E+00,-1.77000000E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
1,-5.18023992E+01,1.00052928E-01,-5.68813115E+01,9.16902466E+02,1.77093683E+00,-1.77000000E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
3,-1.32636989E+02,3.22228139E-01,-1.30240098E+02,7.82558235E+02,1.90114602E+00,-1.77000000E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
5,-2.06138264E+02,5.51297439E-01,-2.03598885E+02,7.29729454E+02,1.95159294E+00,-1.77000000E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
7,-2.79357757E+02,1.14145438E+00,-2.76957671E+02,7.06376042E+02,2.88624892E+00,-1.77000000E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
9,-3.53705148E+02,2.65186905E+00,-3.50316458E+02,6.95620124E+02,5.21534247E+00,-1.77000000E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
11,-4.18029111E+02,2.85268472E+00,-4.23675244E+02,6.72646843E+02,4.59022904E+00,-1.77000000E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
