sq_overtones,delta_gamma_norm,delta_gamma_norm_fit,delta_freqs_norm,delta_freq_norm_fit,range_name,data_source
1,1.78548957E+01,1.36863912E+01,1.78548957E+01,1.36863912E+01,x,raw_data/Formatted-qcmi_sample.csv
9,1.15518445E+01,1.31579555E+01,1.15518445E+01,1.31579555E+01,x,raw_data/Formatted-qcmi_sample.csv
25,1.05398177E+01,1.21010841E+01,1.05398177E+01,1.21010841E+01,x,raw_data/Formatted-qcmi_sample.csv
49,8.69974288E+00,1.05157771E+01,8.69974288E+00,1.05157771E+01,x,raw_data/Formatted-qcmi_sample.csv
81,7.40953255E+00,8.40203433E+00,7.40953255E+00,8.40203433E+00,x,raw_data/Formatted-qcmi_sample.csv
121,7.56726478E+00,5.75985591E+00,7.56726478E+00,5.75985591E+00,x,raw_data/Formatted-qcmi_sample.csv
1,4.63285193E+00,4.48207455E+00,4.63285193E+00,4.48207455E+00,y,raw_data/Formatted-qcmi_sample.csv
9,4.24412774E+00,4.44506145E+00,4.24412774E+00,4.44506145E+00,y,raw_data/Formatted-qcmi_sample.csv
25,4.70554278E+00,4.37103526E+00,4.70554278E+00,4.37103526E+00,y,raw_data/Formatted-qcmi_sample.csv
49,4.12826027E+00,4.25999597E+00,4.12826027E+00,4.25999597E+00,y,raw_data/Formatted-qcmi_sample.csv
81,3.65653203E+00,4.11194358E+00,3.65653203E+00,4.11194358E+00,y,raw_data/Formatted-qcmi_sample.csv
121,4.22967415E+00,3.92687809E+00,4.22967415E+00,3.92687809E+00,y,raw_data/Formatted-qcmi_sample.csv
