n*Df,bandwidth_shift,bandwidth_shift_FIT,range_name,data_source
-4.09042812E+01,4.58404818E+00,1.00526548E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
-3.43773938E+02,1.25895376E+01,1.27846683E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
-9.14774880E+02,2.37138211E+01,1.79353404E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
-1.76417625E+03,2.87851371E+01,2.55973032E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
-2.87974665E+03,3.32078881E+01,3.56602243E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
-4.18355717E+03,4.65709103E+01,4.74211514E+01,cleanY,raw_data/Formatted-qcmi_sample.csv
-5.18023992E+01,1.77665132E+01,2.96606470E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
-3.97910967E+02,3.45250983E+01,3.40337265E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
-1.03069132E+03,5.24088502E+01,4.20289021E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
-1.95550430E+03,6.06939034E+01,5.37139081E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
-3.18334633E+03,6.67783689E+01,6.92276842E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
-4.59832022E+03,8.35980042E+01,8.71058703E+01,cleanX,raw_data/Formatted-qcmi_sample.csv
